Date,ATLS
2015-02-24,9.5
2015-02-25,10.01
2015-02-26,10.0
2015-02-27,9.58
2015-03-02,9.07
2015-03-03,8.89
2015-03-04,8.48
2015-03-05,8.59
2015-03-06,8.44
2015-03-09,8.04
2015-03-10,7.84
2015-03-11,8.18
2015-03-12,7.85
2015-03-13,7.24
2015-03-16,6.48
2015-03-17,6.33
2015-03-18,6.37
2015-03-19,6.02
2015-03-20,6.25
2015-03-23,6.31
2015-03-24,6.17
2015-03-25,6.21
2015-03-26,6.3
2015-03-27,6.18
2015-03-30,6.26
2015-03-31,6.01
2015-04-01,6.12
2015-04-02,6.3
2015-04-06,6.6
2015-04-07,6.81
2015-04-08,6.79
2015-04-09,6.76
2015-04-10,6.74
2015-04-13,6.69
2015-04-14,6.81
2015-04-15,7.2
2015-04-16,7.41
2015-04-17,7.59
2015-04-20,7.85
2015-04-21,7.9
2015-04-22,7.89
2015-04-23,7.88
2015-04-24,7.86
2015-04-27,7.65
2015-04-28,7.56
2015-04-29,7.49
2015-04-30,7.75
2015-05-01,7.8
2015-05-04,7.84
2015-05-05,7.91
2015-05-06,7.71
2015-05-07,7.39
2015-05-08,7.4
2015-05-11,7.16
2015-05-12,7.19
2015-05-13,7.06
2015-05-14,7.08
2015-05-15,7.04
2015-05-18,7.03
2015-05-19,6.75
2015-05-20,6.72
2015-05-21,6.73
2015-05-22,6.69
2015-05-26,6.53
2015-05-27,6.58
2015-05-28,6.44
2015-05-29,6.5
2015-06-01,6.45
2015-06-02,6.45
2015-06-03,6.25
2015-06-04,6.18
2015-06-05,6.24
2015-06-08,6.43
2015-06-09,6.4
2015-06-10,6.48
2015-06-11,6.49
2015-06-12,6.36
2015-06-15,6.4
2015-06-16,6.38
2015-06-17,6.34
2015-06-18,6.26
2015-06-19,6.16
2015-06-22,5.72
2015-06-23,5.73
2015-06-24,5.73
2015-06-25,5.69
2015-06-26,5.44
2015-06-29,5.02
2015-06-30,5.0
2015-07-01,4.65
2015-07-02,4.79
2015-07-06,4.41
2015-07-07,4.38
2015-07-08,4.24
2015-07-09,4.24
2015-07-10,3.99
2015-07-13,3.97
2015-07-14,4.55
2015-07-15,4.31
2015-07-16,4.07
2015-07-17,3.95
2015-07-20,3.91
2015-07-21,3.9
2015-07-22,3.5
2015-07-23,3.26
2015-07-24,2.97
2015-07-27,2.86
2015-07-28,3.07
2015-07-29,3.42
2015-07-30,3.23
2015-07-31,3.08
2015-08-03,2.65
2015-08-04,2.63
2015-08-05,2.15
2015-08-06,2.39
2015-08-07,2.99
2015-08-10,3.42
2015-08-11,3.32
2015-08-12,3.9
2015-08-13,3.63
2015-08-14,3.68
2015-08-17,3.55
2015-08-18,3.37
2015-08-19,3.04
2015-08-20,2.83
2015-08-21,2.82
2015-08-24,2.85
2015-08-25,3.0
2015-08-26,3.06
2015-08-27,3.2
2015-08-28,3.33
2015-08-31,3.31
2015-09-01,3.2
2015-09-02,3.26
2015-09-03,3.33
2015-09-04,3.31
2015-09-08,3.44
2015-09-09,3.37
2015-09-10,3.49
2015-09-11,3.19
2015-09-14,2.95
2015-09-15,2.96
2015-09-16,3.02
2015-09-17,2.97
2015-09-18,2.92
2015-09-21,2.84
2015-09-22,2.67
2015-09-23,2.67
2015-09-24,2.69
2015-09-25,2.75
2015-09-28,2.47
2015-09-29,2.28
2015-09-30,2.23
2015-10-01,2.23
2015-10-02,2.55
2015-10-05,2.66
2015-10-06,2.63
2015-10-07,2.64
2015-10-08,2.55
2015-10-09,2.51
2015-10-12,2.39
2015-10-13,2.39
