Date,BEC
2004-01-06,22.799999
2004-01-07,22.5
2004-01-08,22.200001
2004-01-09,21.9
2004-01-12,21.4
2004-01-13,21.700001
2004-01-14,22.200001
2004-01-15,21.5
2004-01-16,21.9
2004-01-20,21.5
2004-01-21,21.5
2004-01-22,21.299999
2004-01-23,21.1
2004-01-26,20.9
2004-01-27,21.299999
2004-01-28,20.700001
2004-01-29,19.9
2004-01-30,18.9
2004-02-02,18.0
2004-02-03,19.4
2004-02-04,20.0
2004-02-05,20.9
2004-02-06,20.799999
2004-02-09,20.9
2004-02-10,21.200001
2004-02-11,20.9
2004-02-12,20.799999
2004-02-13,20.799999
2004-02-17,20.299999
2004-02-18,20.299999
2004-02-19,19.9
2004-02-20,20.299999
2004-02-23,20.1
2004-02-24,19.9
2004-02-25,18.799999
2004-02-26,19.299999
2004-02-27,19.5
2004-03-01,19.299999
2004-03-02,19.4
2004-03-03,19.4
2004-03-04,19.299999
2004-03-05,
2004-03-08,19.799999
2004-03-09,19.9
2004-03-10,19.700001
2004-03-11,19.4
2004-03-12,18.799999
2004-03-15,18.700001
2004-03-16,18.799999
2004-03-17,19.0
2004-03-18,19.0
2004-03-19,18.700001
2004-03-22,18.6
2004-03-23,18.5
2004-03-24,18.5
2004-03-25,18.200001
2004-03-26,18.5
2004-03-29,18.200001
2004-03-30,18.299999
2004-03-31,18.5
2004-04-01,19.0
2004-04-02,19.5
2004-04-05,19.9
2004-04-06,
2004-04-07,19.4
2004-04-08,18.700001
2004-04-12,18.6
2004-04-13,
2004-04-14,
2004-04-15,
2004-04-16,18.5
2004-04-19,18.9
2004-04-20,18.9
2004-04-21,18.6
2004-04-22,18.5
2004-04-23,18.6
2004-04-26,18.799999
2004-04-27,18.700001
2004-04-28,18.6
2004-04-29,18.4
2004-04-30,18.4
2004-05-03,
2004-05-04,18.1
2004-05-05,
2004-05-06,18.299999
2004-05-07,18.0
2004-05-10,17.0
2004-05-11,17.5
2004-05-12,18.1
2004-05-13,17.1
2004-05-14,16.9
2004-05-17,16.1
2004-05-18,15.8
2004-05-19,16.4
2004-05-20,16.0
2004-05-21,16.200001
2004-05-24,16.0
2004-05-25,15.9
2004-05-26,16.0
2004-05-27,16.1
2004-05-28,16.5
2004-06-01,16.299999
2004-06-02,
2004-06-03,16.200001
2004-06-04,16.1
2004-06-07,16.299999
2004-06-08,16.299999
2004-06-09,16.299999
2004-06-10,16.200001
2004-06-14,16.4
2004-06-15,16.700001
2004-06-16,17.1
2004-06-17,17.200001
2004-06-18,18.0
2004-06-21,19.299999
2004-06-22,18.1
2004-06-23,17.9
2004-06-24,18.299999
2004-06-25,18.6
2004-06-28,18.299999
2004-06-29,18.0
2004-06-30,18.0
2004-07-01,
2004-07-02,18.5
2004-07-06,18.799999
2004-07-07,19.0
2004-07-08,19.1
2004-07-09,19.1
2004-07-12,19.0
2004-07-13,18.700001
2004-07-14,18.299999
2004-07-15,18.200001
2004-07-16,18.1
2004-07-19,17.0
2004-07-20,16.9
2004-07-21,17.1
2004-07-22,16.9
2004-07-23,17.1
2004-07-26,16.799999
2004-07-27,16.9
2004-07-28,17.1
2004-07-29,17.299999
2004-07-30,17.700001
2004-08-02,
2004-08-03,17.299999
2004-08-04,16.9
2004-08-05,17.4
2004-08-06,17.700001
2004-08-09,18.0
2004-08-10,18.4
2004-08-11,17.799999
2004-08-12,
2004-08-13,17.700001
2004-08-16,17.6
2004-08-17,17.6
2004-08-18,17.4
2004-08-19,17.6
2004-08-20,17.0
2004-08-23,16.9
2004-08-24,17.1
2004-08-25,17.700001
2004-08-26,18.6
2004-08-27,18.1
2004-08-30,18.0
2004-08-31,18.4
2004-09-01,18.5
2004-09-02,18.1
2004-09-03,18.299999
2004-09-07,18.200001
2004-09-08,18.0
2004-09-09,18.5
2004-09-10,18.4
2004-09-13,18.200001
2004-09-14,18.200001
2004-09-15,18.9
2004-09-16,18.799999
2004-09-17,18.799999
2004-09-20,18.799999
2004-09-21,18.5
2004-09-22,18.299999
2004-09-23,18.200001
2004-09-24,18.5
2004-09-27,18.200001
2004-09-28,18.1
2004-09-29,18.0
2004-09-30,18.0
2004-10-01,18.0
2004-10-04,17.9
2004-10-05,17.1
2004-10-06,17.299999
2004-10-07,17.299999
2004-10-08,17.200001
2004-10-11,17.200001
2004-10-12,17.0
2004-10-13,17.0
2004-10-14,16.5
2004-10-15,16.299999
2004-10-18,16.5
2004-10-19,17.5
2004-10-20,17.0
2004-10-21,16.799999
2004-10-22,17.0
2004-10-25,
2004-10-26,16.799999
2004-10-27,16.4
2004-10-28,16.299999
2004-10-29,15.7
2004-11-01,16.1
