Date,BHP
1980-03-17,3.144807
1980-03-18,3.175944
1980-03-19,3.362764
1980-03-20,3.331628
1980-03-21,3.207081
1980-03-24,3.175944
1980-03-25,3.113671
1980-03-26,3.113671
1980-03-27,3.082534
1980-03-28,3.082534
1980-03-31,3.082534
1980-04-01,3.113671
1980-04-02,3.175944
1980-04-03,3.3004910000000005
1980-04-07,3.269354
1980-04-08,3.175944
1980-04-09,3.269354
1980-04-10,3.269354
1980-04-11,3.269354
1980-04-14,3.269354
1980-04-15,3.269354
1980-04-16,3.269354
1980-04-17,3.3004910000000005
1980-04-18,3.331628
1980-04-21,3.331628
1980-04-22,3.3004910000000005
1980-04-23,3.3004910000000005
1980-04-24,3.331628
1980-04-25,3.393901
1980-04-28,3.362764
1980-04-29,3.362764
1980-04-30,3.362764
1980-05-01,3.331628
1980-05-02,3.362764
1980-05-05,3.362764
1980-05-06,3.362764
1980-05-07,3.362764
1980-05-08,3.362764
1980-05-09,3.425038
1980-05-12,3.580721
1980-05-13,3.6741309999999996
1980-05-14,3.829815
1980-05-15,3.7986779999999998
1980-05-16,3.7986779999999998
1980-05-19,3.7364050000000004
1980-05-20,3.6741309999999996
1980-05-21,3.7052680000000002
1980-05-22,3.7364050000000004
1980-05-23,3.860951
1980-05-27,3.954362
1980-05-28,4.047772
1980-05-29,4.047772
1980-05-30,4.016635
1980-06-02,4.078908
1980-06-03,4.016635
1980-06-04,4.141182
1980-06-05,4.234592
1980-06-06,4.296865
1980-06-09,4.328002
1980-06-10,4.234592
1980-06-11,4.265729
1980-06-12,4.265729
1980-06-13,4.359139
1980-06-16,4.359139
1980-06-17,4.296865
1980-06-18,4.265729
1980-06-19,4.296865
1980-06-20,4.328002
1980-06-23,4.328002
1980-06-24,4.296865
1980-06-25,4.359139
1980-06-26,4.452548999999999
1980-06-27,4.421412
1980-06-30,4.359139
1980-07-01,4.452548999999999
1980-07-02,4.421412
1980-07-03,4.390275
1980-07-07,4.4836849999999995
1980-07-08,4.390275
1980-07-09,4.359139
1980-07-10,4.359139
1980-07-11,4.359139
1980-07-14,4.234592
1980-07-15,4.265729
1980-07-16,4.359139
1980-07-17,4.452548999999999
1980-07-18,4.452548999999999
1980-07-21,4.4836849999999995
1980-07-22,4.452548999999999
1980-07-23,4.390275
1980-07-24,4.390275
1980-07-25,4.296865
1980-07-28,4.359139
1980-07-29,4.265729
1980-07-30,4.296865
1980-07-31,4.296865
1980-08-01,4.296865
1980-08-04,4.296865
1980-08-05,4.296865
1980-08-06,4.296865
1980-08-07,4.359139
1980-08-08,4.390275
1980-08-11,4.421412
1980-08-12,4.359139
1980-08-13,4.359139
1980-08-14,4.390275
1980-08-15,4.4836849999999995
1980-08-18,4.452548999999999
1980-08-19,4.421412
1980-08-20,4.545959
1980-08-21,4.639369
1980-08-22,4.639369
1980-08-25,4.545959
1980-08-26,4.608232
1980-08-27,4.608232
1980-08-28,4.452548999999999
1980-08-29,4.421412
1980-09-02,4.421412
1980-09-03,4.514822000000001
1980-09-04,4.514822000000001
1980-09-05,4.452548999999999
1980-09-08,4.452548999999999
1980-09-09,4.452548999999999
1980-09-10,4.452548999999999
1980-09-11,4.452548999999999
1980-09-12,4.545959
1980-09-15,4.545959
1980-09-16,4.545959
1980-09-17,4.608232
1980-09-18,4.639369
1980-09-19,4.639369
1980-09-22,4.639369
1980-09-23,4.608232
1980-09-24,4.608232
1980-09-25,4.639369
1980-09-26,4.608232
1980-09-29,4.608232
1980-09-30,4.639369
1980-10-01,4.670506
1980-10-02,4.670506
1980-10-03,4.73278
1980-10-06,4.670506
1980-10-07,4.4836849999999995
1980-10-08,4.421412
1980-10-09,4.452548999999999
1980-10-10,4.4836849999999995
1980-10-13,4.4836849999999995
1980-10-14,4.452548999999999
1980-10-15,4.452548999999999
1980-10-16,4.577096
1980-10-17,4.545959
1980-10-20,4.8573260000000005
1980-10-21,4.8573260000000005
1980-10-22,4.8573260000000005
1980-10-23,4.82619
1980-10-24,4.795053
1980-10-27,4.82619
1980-10-28,4.82619
1980-10-29,4.795053
1980-10-30,4.888463
1980-10-31,4.9196
1980-11-03,4.9196
1980-11-05,4.9196
1980-11-06,4.888463
