Date,BMCH
2013-08-09,14.43
2013-08-12,14.6
2013-08-13,14.3
2013-08-14,14.02
2013-08-15,14.01
2013-08-16,13.51
2013-08-19,12.87
2013-08-20,13.0
2013-08-21,12.9
2013-08-22,13.07
2013-08-23,13.51
2013-08-26,14.35
2013-08-27,14.01
2013-08-28,14.27
2013-08-29,14.5
2013-08-30,14.24
2013-09-03,13.2
2013-09-04,13.05
2013-09-05,13.34
2013-09-06,13.51
2013-09-09,13.79
2013-09-10,13.66
2013-09-11,13.64
2013-09-12,13.65
2013-09-13,13.66
2013-09-16,13.77
2013-09-17,13.75
2013-09-18,13.97
2013-09-19,13.43
2013-09-20,13.15
2013-09-23,13.34
2013-09-24,13.47
2013-09-25,13.62
2013-09-26,13.64
2013-09-27,13.34
2013-09-30,13.14
2013-10-01,12.65
2013-10-02,12.75
2013-10-03,13.21
2013-10-04,13.58
2013-10-07,13.65
2013-10-08,13.61
2013-10-09,13.58
2013-10-10,13.63
2013-10-11,14.06
2013-10-14,14.08
2013-10-15,14.1
2013-10-16,14.0
2013-10-17,14.14
2013-10-18,14.52
2013-10-21,14.36
2013-10-22,14.48
2013-10-23,14.59
2013-10-24,14.54
2013-10-25,15.02
2013-10-28,15.13
2013-10-29,15.1
2013-10-30,15.42
2013-10-31,15.4
2013-11-01,15.51
2013-11-04,16.01
2013-11-05,16.040001
2013-11-06,16.209999
2013-11-07,16.049999
2013-11-08,16.190001000000002
2013-11-11,16.24
2013-11-12,16.33
2013-11-13,16.719998999999998
2013-11-14,17.0
2013-11-15,17.209999
2013-11-18,17.139999
2013-11-19,16.73
2013-11-20,16.459999
2013-11-21,16.93
2013-11-22,16.780001000000002
2013-11-25,16.719998999999998
2013-11-26,16.9
2013-11-27,18.48
2013-11-29,18.309998999999998
2013-12-02,17.530001000000002
2013-12-03,17.27
2013-12-04,17.01
2013-12-05,16.889999
2013-12-06,17.549999
2013-12-09,17.09
2013-12-10,16.780001000000002
2013-12-11,17.09
2013-12-12,17.34
2013-12-13,17.450001
2013-12-16,17.9
2013-12-17,18.25
2013-12-18,18.24
2013-12-19,17.620001000000002
2013-12-20,17.84
2013-12-23,18.57
2013-12-24,18.450001
2013-12-26,18.389999
2013-12-27,18.549999
2013-12-30,18.190001000000002
2013-12-31,18.219998999999998
2014-01-02,17.98
2014-01-03,18.26
2014-01-06,18.280001000000002
2014-01-07,18.360001
2014-01-08,18.610001
2014-01-09,18.32
2014-01-10,18.690001000000002
2014-01-13,17.559998999999998
2014-01-14,17.67
2014-01-15,17.469998999999998
2014-01-16,17.530001000000002
2014-01-17,17.799999
2014-01-21,18.07
2014-01-22,18.309998999999998
2014-01-23,18.59
2014-01-24,18.08
2014-01-27,18.030001000000002
2014-01-28,17.959999
2014-01-29,18.059998999999998
2014-01-30,17.219998999999998
2014-01-31,17.43
2014-02-03,17.309998999999998
2014-02-04,17.68
2014-02-05,17.540001
2014-02-06,17.73
2014-02-07,18.24
2014-02-10,18.24
2014-02-11,18.139999
2014-02-12,18.16
2014-02-13,18.290001
2014-02-14,18.120001000000002
