Date,CNDT
2016-12-13,16.0
2016-12-14,15.18
2016-12-15,14.3
2016-12-16,15.2
2016-12-19,14.92
2016-12-20,15.0
2016-12-21,14.75
2016-12-22,14.36
2016-12-23,14.6
2016-12-27,14.65
2016-12-28,14.85
2016-12-29,14.94
2016-12-30,14.9
2017-01-03,13.72
2017-01-04,13.7
2017-01-05,14.11
2017-01-06,14.63
2017-01-09,13.92
2017-01-10,13.42
2017-01-11,13.31
2017-01-12,13.97
2017-01-13,13.97
2017-01-17,14.19
2017-01-18,14.52
2017-01-19,14.49
2017-01-20,14.46
2017-01-23,14.56
2017-01-24,14.54
2017-01-25,14.82
2017-01-26,15.03
2017-01-27,14.91
2017-01-30,14.85
2017-01-31,14.96
2017-02-01,14.74
2017-02-02,14.51
2017-02-03,14.94
2017-02-06,14.62
2017-02-07,14.57
2017-02-08,14.35
2017-02-09,14.51
2017-02-10,14.56
2017-02-13,14.72
2017-02-14,15.11
2017-02-15,15.12
2017-02-16,15.1
2017-02-17,15.02
2017-02-21,15.09
2017-02-22,16.379998999999998
2017-02-23,17.25
2017-02-24,16.969998999999998
2017-02-27,16.6
2017-02-28,16.09
2017-03-01,16.309998999999998
2017-03-02,15.98
2017-03-03,15.93
2017-03-06,15.67
2017-03-07,15.55
2017-03-08,15.58
2017-03-09,15.61
2017-03-10,15.64
2017-03-13,15.87
2017-03-14,15.96
2017-03-15,16.049999
2017-03-16,15.78
2017-03-17,15.74
2017-03-20,16.02
2017-03-21,15.92
2017-03-22,16.040001
2017-03-23,15.99
2017-03-24,15.81
2017-03-27,15.92
2017-03-28,15.97
2017-03-29,16.33
2017-03-30,16.76
2017-03-31,16.780001000000002
2017-04-03,16.4
2017-04-04,16.299999
2017-04-05,16.23
2017-04-06,16.25
2017-04-07,16.379998999999998
2017-04-10,16.32
2017-04-11,16.07
2017-04-12,15.92
2017-04-13,15.78
2017-04-17,16.07
2017-04-18,15.83
2017-04-19,15.9
2017-04-20,15.94
2017-04-21,16.049999
2017-04-24,15.96
2017-04-25,16.1
2017-04-26,16.4
2017-04-27,16.440001000000002
2017-04-28,16.309998999999998
2017-05-01,16.4
2017-05-02,16.41
2017-05-03,16.99
2017-05-04,17.27
2017-05-05,17.690001000000002
2017-05-08,17.700001
2017-05-09,17.5
2017-05-10,16.92
2017-05-11,16.84
2017-05-12,16.82
2017-05-15,17.049999
2017-05-16,17.27
2017-05-17,16.58
2017-05-18,16.700001
2017-05-19,16.65
2017-05-22,16.780001000000002
2017-05-23,16.459999
2017-05-24,16.5
2017-05-25,16.43
2017-05-26,16.190001000000002
2017-05-30,16.17
2017-05-31,16.41
2017-06-01,16.57
2017-06-02,16.49
2017-06-05,16.6
2017-06-06,16.799999
2017-06-07,16.34
2017-06-08,16.33
2017-06-09,16.549999
2017-06-12,16.379998999999998
2017-06-13,16.309998999999998
2017-06-14,16.219998999999998
2017-06-15,15.64
2017-06-16,15.92
2017-06-19,15.9
2017-06-20,15.86
2017-06-21,16.110001
2017-06-22,16.120001000000002
2017-06-23,15.97
2017-06-26,15.91
2017-06-27,15.87
2017-06-28,15.84
2017-06-29,15.78
2017-06-30,15.94
2017-07-03,16.049999
2017-07-05,16.049999
2017-07-06,15.9
2017-07-07,16.0
2017-07-10,15.87
2017-07-11,15.87
2017-07-12,16.09
2017-07-13,16.049999
2017-07-14,15.95
2017-07-17,16.34
2017-07-18,16.379998999999998
2017-07-19,16.68
2017-07-20,16.73
2017-07-21,16.58
2017-07-24,16.49
2017-07-25,16.459999
2017-07-26,16.49
2017-07-27,16.459999
2017-07-28,16.65
2017-07-31,16.51
2017-08-01,16.809998999999998
2017-08-02,16.85
2017-08-03,16.780001000000002
2017-08-04,16.639999
2017-08-07,16.290001
2017-08-08,15.75
2017-08-09,16.58
2017-08-10,17.08
2017-08-11,16.75
2017-08-14,17.0
2017-08-15,16.82
2017-08-16,17.110001
2017-08-17,16.889999
2017-08-18,16.77
2017-08-21,16.639999
2017-08-22,16.889999
2017-08-23,16.860001
2017-08-24,16.719998999999998
2017-08-25,16.82
2017-08-28,17.0
2017-08-29,16.719998999999998
2017-08-30,16.639999
2017-08-31,16.51
2017-09-01,16.629998999999998
2017-09-05,16.68
2017-09-06,16.469998999999998
2017-09-07,15.94
2017-09-08,15.96
2017-09-11,16.18
2017-09-12,16.43
2017-09-13,16.139999
2017-09-14,15.96
2017-09-15,15.91
2017-09-18,15.74
2017-09-19,15.67
2017-09-20,15.57
2017-09-21,15.55
2017-09-22,15.49
2017-09-25,15.57
2017-09-26,15.6
2017-09-27,15.63
2017-09-28,15.72
2017-09-29,15.67
2017-10-02,15.93
2017-10-03,15.61
2017-10-04,15.93
2017-10-05,16.040001
2017-10-06,15.94
2017-10-09,15.97
2017-10-10,16.030001000000002
2017-10-11,16.18
2017-10-12,16.299999
2017-10-13,16.139999
2017-10-16,15.93
2017-10-17,15.73
2017-10-18,15.55
2017-10-19,15.65
2017-10-20,15.72
2017-10-23,15.51
2017-10-24,15.5
2017-10-25,15.36
2017-10-26,15.33
2017-10-27,15.41
2017-10-30,15.53
2017-10-31,15.48
2017-11-01,15.41
2017-11-02,15.58
2017-11-03,15.35
2017-11-06,15.6
2017-11-07,15.7
2017-11-08,16.219998999999998
2017-11-09,15.9
2017-11-10,15.81
2017-11-13,15.96
2017-11-14,15.67
2017-11-15,15.61
2017-11-16,15.53
2017-11-17,15.5
2017-11-20,15.46
2017-11-21,15.4
2017-11-22,15.41
2017-11-24,15.41
2017-11-27,15.34
2017-11-28,15.55
2017-11-29,15.31
2017-11-30,15.26
2017-12-01,15.17
2017-12-04,15.05
2017-12-05,15.09
2017-12-06,15.17
2017-12-07,15.11
2017-12-08,15.11
2017-12-11,15.45
2017-12-12,15.35
2017-12-13,15.73
2017-12-14,15.76
2017-12-15,15.84
2017-12-18,15.64
2017-12-19,15.68
2017-12-20,15.8
2017-12-21,16.0
2017-12-22,16.02
2017-12-26,16.01
2017-12-27,16.030001000000002
2017-12-28,16.059998999999998
2017-12-29,16.16
2018-01-02,16.540001
2018-01-03,16.25
2018-01-04,16.27
2018-01-05,16.16
2018-01-08,16.459999
2018-01-09,16.280001000000002
2018-01-10,16.43
2018-01-11,16.709999
2018-01-12,16.91
2018-01-16,16.790001
2018-01-17,16.84
2018-01-18,16.860001
2018-01-19,16.6
2018-01-22,16.75
2018-01-23,16.84
2018-01-24,16.790001
2018-01-25,16.74
2018-01-26,16.75
2018-01-29,16.67
2018-01-30,16.58
2018-01-31,16.4
2018-02-01,16.290001
2018-02-02,16.26
2018-02-05,16.0
2018-02-06,16.1
2018-02-07,16.26
2018-02-08,15.68
2018-02-09,15.39
2018-02-12,15.59
2018-02-13,15.51
2018-02-14,15.9
