Date,CNHI
2013-09-30,12.5
2013-10-01,12.92
2013-10-02,12.9
2013-10-03,12.61
2013-10-04,12.64
2013-10-07,12.24
2013-10-08,12.42
2013-10-09,12.63
2013-10-10,12.62
2013-10-11,12.73
2013-10-14,12.77
2013-10-15,12.32
2013-10-16,12.28
2013-10-17,12.28
2013-10-18,12.18
2013-10-21,12.28
2013-10-22,12.65
2013-10-23,12.43
2013-10-24,12.62
2013-10-25,12.33
2013-10-28,12.42
2013-10-29,12.21
2013-10-30,12.15
2013-10-31,11.73
2013-11-01,11.23
2013-11-04,11.39
2013-11-05,11.13
2013-11-06,11.18
2013-11-07,11.23
2013-11-08,11.19
2013-11-11,11.19
2013-11-12,11.22
2013-11-13,11.33
2013-11-14,11.36
2013-11-15,11.31
2013-11-18,11.31
2013-11-19,11.22
2013-11-20,11.31
2013-11-21,11.28
2013-11-22,11.32
2013-11-25,11.34
2013-11-26,11.29
2013-11-27,11.32
2013-11-29,11.33
2013-12-02,11.09
2013-12-03,10.74
2013-12-04,10.76
2013-12-05,10.46
2013-12-06,10.52
2013-12-09,10.53
2013-12-10,10.61
2013-12-11,10.49
2013-12-12,10.23
2013-12-13,10.33
2013-12-16,10.76
2013-12-17,10.43
2013-12-18,10.46
2013-12-19,10.58
2013-12-20,10.9
2013-12-23,11.02
2013-12-24,11.02
2013-12-26,11.08
2013-12-27,11.31
2013-12-30,11.34
2013-12-31,11.35
2014-01-02,11.13
2014-01-03,11.14
2014-01-06,11.02
2014-01-07,10.99
2014-01-08,10.95
2014-01-09,11.24
2014-01-10,11.4
2014-01-13,11.39
2014-01-14,11.56
2014-01-15,11.74
2014-01-16,11.77
2014-01-17,11.79
2014-01-21,11.9
2014-01-22,11.64
2014-01-23,11.54
2014-01-24,11.14
2014-01-27,11.32
2014-01-28,11.45
2014-01-29,11.17
2014-01-30,10.66
2014-01-31,10.54
2014-02-03,10.19
2014-02-04,10.27
2014-02-05,10.36
2014-02-06,10.49
2014-02-07,10.58
2014-02-10,10.42
2014-02-11,10.55
2014-02-12,10.89
2014-02-13,10.78
2014-02-14,11.17
2014-02-18,11.05
2014-02-19,11.15
2014-02-20,11.1
2014-02-21,11.12
2014-02-24,11.19
2014-02-25,11.05
2014-02-26,10.89
2014-02-27,10.87
2014-02-28,10.92
2014-03-03,10.57
2014-03-04,10.75
2014-03-05,10.88
2014-03-06,11.17
2014-03-07,11.3
2014-03-10,11.13
2014-03-11,10.99
2014-03-12,10.92
2014-03-13,10.65
2014-03-14,10.67
2014-03-17,11.12
2014-03-18,11.25
2014-03-19,10.92
2014-03-20,11.01
2014-03-21,10.78
2014-03-24,10.73
2014-03-25,10.86
2014-03-26,11.08
2014-03-27,11.04
2014-03-28,11.27
2014-03-31,11.5
2014-04-01,11.54
2014-04-02,11.38
2014-04-03,11.39
2014-04-04,11.32
2014-04-07,11.26
2014-04-08,11.2
2014-04-09,11.47
2014-04-10,11.19
2014-04-11,10.96
2014-04-14,11.12
2014-04-15,10.93
2014-04-16,11.26
2014-04-17,11.1
2014-04-21,11.22
2014-04-22,11.27
2014-04-23,11.26
2014-04-24,11.43
2014-04-25,11.77
2014-04-28,11.51
2014-04-29,11.61
2014-04-30,11.59
2014-05-01,11.63
2014-05-02,11.62
2014-05-05,11.43
2014-05-06,11.47
2014-05-07,11.6
2014-05-08,11.35
2014-05-09,10.92
2014-05-12,10.75
2014-05-13,10.7
2014-05-14,10.68
2014-05-15,10.6
2014-05-16,10.75
2014-05-19,10.73
2014-05-20,10.68
2014-05-21,10.82
2014-05-22,10.6
2014-05-23,10.66
2014-05-27,10.92
2014-05-28,10.86
2014-05-29,10.94
2014-05-30,10.92
2014-06-02,10.94
2014-06-03,10.77
2014-06-04,10.71
2014-06-05,10.9
2014-06-06,10.87
2014-06-09,10.88
2014-06-10,10.76
2014-06-11,10.56
2014-06-12,10.57
2014-06-13,10.42
2014-06-16,10.42
2014-06-17,10.52
2014-06-18,10.73
2014-06-19,10.59
2014-06-20,10.57
2014-06-23,10.42
2014-06-24,10.26
2014-06-25,10.19
2014-06-26,10.29
2014-06-27,10.22
2014-06-30,10.22
2014-07-01,10.14
2014-07-02,10.24
2014-07-03,10.18
2014-07-07,10.18
2014-07-08,9.69
2014-07-09,9.61
2014-07-10,9.37
2014-07-11,9.4
2014-07-14,9.35
2014-07-15,9.34
2014-07-16,9.69
2014-07-17,9.6
2014-07-18,9.52
2014-07-21,9.28
2014-07-22,9.4
2014-07-23,9.25
2014-07-24,9.2
2014-07-25,9.22
2014-07-28,9.06
2014-07-29,9.02
2014-07-30,9.06
2014-07-31,9.21
2014-08-01,8.94
2014-08-04,8.94
2014-08-05,8.81
2014-08-06,8.65
2014-08-07,8.37
2014-08-08,8.54
2014-08-11,8.51
2014-08-12,8.63
2014-08-13,8.42
2014-08-14,8.52
2014-08-15,8.55
2014-08-18,8.76
2014-08-19,8.78
2014-08-20,8.74
2014-08-21,8.87
2014-08-22,8.84
2014-08-25,8.86
2014-08-26,8.9
2014-08-27,8.82
2014-08-28,8.82
2014-08-29,8.74
2014-09-02,8.65
2014-09-03,8.7
2014-09-04,8.64
2014-09-05,8.52
2014-09-08,8.46
2014-09-09,8.23
2014-09-10,8.31
2014-09-11,8.19
2014-09-12,8.02
2014-09-15,7.92
2014-09-16,7.87
2014-09-17,8.12
2014-09-18,7.95
2014-09-19,7.97
2014-09-22,7.83
2014-09-23,7.66
2014-09-24,7.85
2014-09-25,7.61
2014-09-26,7.94
2014-09-29,7.81
2014-09-30,7.93
2014-10-01,7.77
2014-10-02,7.79
2014-10-03,7.79
2014-10-06,8.13
2014-10-07,7.76
2014-10-08,7.85
2014-10-09,7.61
2014-10-10,7.46
2014-10-13,7.53
2014-10-14,7.94
2014-10-15,7.89
2014-10-16,8.11
2014-10-17,7.85
2014-10-20,7.82
2014-10-21,7.99
2014-10-22,7.76
2014-10-23,7.87
2014-10-24,7.95
2014-10-27,7.86
2014-10-28,8.07
2014-10-29,8.12
2014-10-30,8.01
2014-10-31,8.15
2014-11-03,7.97
2014-11-04,7.78
2014-11-05,7.94
2014-11-06,7.96
2014-11-07,8.12
2014-11-10,8.12
2014-11-11,8.12
2014-11-12,7.9
2014-11-13,7.88
2014-11-14,8.01
2014-11-17,7.98
2014-11-18,8.05
2014-11-19,8.17
2014-11-20,8.14
2014-11-21,8.35
2014-11-24,8.36
2014-11-25,8.35
2014-11-26,7.97
2014-11-28,7.79
2014-12-01,7.88
2014-12-02,8.05
2014-12-03,8.12
2014-12-04,7.84
2014-12-05,7.9
2014-12-08,7.92
2014-12-09,7.95
2014-12-10,7.76
2014-12-11,7.75
2014-12-12,7.67
2014-12-15,7.7
2014-12-16,8.02
2014-12-17,8.15
2014-12-18,8.16
2014-12-19,8.08
2014-12-22,8.18
2014-12-23,8.28
2014-12-24,8.25
2014-12-26,8.31
2014-12-29,8.23
2014-12-30,8.19
2014-12-31,8.06
2015-01-02,7.9
2015-01-05,7.42
2015-01-06,7.58
2015-01-07,7.58
2015-01-08,7.63
2015-01-09,7.48
2015-01-12,7.61
2015-01-13,7.59
2015-01-14,7.58
2015-01-15,7.51
2015-01-16,7.6
2015-01-20,7.55
2015-01-21,7.75
2015-01-22,7.79
2015-01-23,7.55
2015-01-26,7.63
2015-01-27,7.48
2015-01-28,7.36
2015-01-29,7.69
2015-01-30,7.65
2015-02-02,7.59
2015-02-03,7.79
2015-02-04,7.68
2015-02-05,7.81
2015-02-06,7.7
2015-02-09,7.7
2015-02-10,7.82
2015-02-11,7.77
2015-02-12,8.11
2015-02-13,8.13
2015-02-17,8.3
2015-02-18,8.55
2015-02-19,8.67
2015-02-20,8.74
2015-02-23,8.56
2015-02-24,8.5
2015-02-25,8.41
2015-02-26,8.31
2015-02-27,8.31
2015-03-02,8.22
2015-03-03,8.25
2015-03-04,8.13
2015-03-05,8.02
2015-03-06,7.96
2015-03-09,7.95
2015-03-10,7.57
2015-03-11,7.58
2015-03-12,7.71
2015-03-13,7.64
2015-03-16,7.73
2015-03-17,7.76
2015-03-18,7.98
2015-03-19,7.93
2015-03-20,8.15
2015-03-23,8.2
2015-03-24,8.34
2015-03-25,8.26
2015-03-26,8.11
2015-03-27,8.15
2015-03-30,8.21
2015-03-31,8.16
2015-04-01,8.31
2015-04-02,8.37
2015-04-06,8.46
2015-04-07,8.4
2015-04-08,8.34
2015-04-09,8.29
2015-04-10,8.27
2015-04-13,8.11
2015-04-14,8.24
2015-04-15,8.87
2015-04-16,8.77
2015-04-17,8.71
2015-04-20,8.53
2015-04-21,8.77
2015-04-22,8.83
2015-04-23,8.88
2015-04-24,8.91
2015-04-27,8.91
2015-04-28,8.79
2015-04-29,8.82
2015-04-30,8.72
2015-05-01,8.78
2015-05-04,8.66
2015-05-05,8.43
2015-05-06,8.59
2015-05-07,8.54
2015-05-08,8.68
2015-05-11,8.67
2015-05-12,8.56
2015-05-13,8.75
2015-05-14,8.92
2015-05-15,8.89
2015-05-18,8.82
2015-05-19,8.89
2015-05-20,8.87
2015-05-21,9.07
2015-05-22,9.02
2015-05-26,8.91
2015-05-27,9.07
2015-05-28,8.94
2015-05-29,8.87
2015-06-01,8.99
2015-06-02,9.11
2015-06-03,9.14
2015-06-04,9.08
2015-06-05,8.9
2015-06-08,8.8
2015-06-09,8.78
2015-06-10,9.03
2015-06-11,9.01
2015-06-12,8.82
2015-06-15,8.65
2015-06-16,8.62
2015-06-17,8.54
2015-06-18,8.68
2015-06-19,9.09
2015-06-22,9.48
2015-06-23,9.34
2015-06-24,9.26
2015-06-25,9.34
2015-06-26,9.34
2015-06-29,9.16
2015-06-30,9.28
2015-07-01,9.42
2015-07-02,9.36
