Date,CVA
1990-12-06,3.0
1990-12-07,3.0
1990-12-10,3.0
1990-12-11,3.0
1990-12-12,3.0
1990-12-13,3.0
1990-12-14,2.875
1990-12-17,2.75
1990-12-18,2.5
1990-12-19,2.375
1990-12-20,2.75
1990-12-21,2.875
1990-12-24,2.875
1990-12-26,2.875
1990-12-27,2.875
1990-12-28,2.875
1990-12-31,3.0
1991-01-02,3.0
1991-01-03,3.0
1991-01-04,3.0
1991-01-07,2.875
1991-01-08,3.0
1991-01-09,2.875
1991-01-10,2.875
1991-01-11,2.875
1991-01-14,2.75
1991-01-15,2.75
1991-01-16,2.625
1991-01-17,2.5
1991-01-18,2.5
1991-01-21,2.5
1991-01-22,2.625
1991-01-23,2.625
1991-01-24,2.75
1991-01-25,2.75
1991-01-28,2.75
1991-01-29,2.625
1991-01-30,2.5
1991-01-31,2.625
1991-02-01,2.5
1991-02-04,2.625
1991-02-05,2.5
1991-02-06,2.5
1991-02-07,2.5
1991-02-08,2.5
1991-02-11,2.375
1991-02-12,2.5
1991-02-13,2.5
1991-02-14,2.375
1991-02-15,2.5
1991-02-19,2.5
1991-02-20,2.75
1991-02-21,2.875
1991-02-22,3.125
1991-02-25,3.25
1991-02-26,3.25
1991-02-27,3.25
1991-02-28,3.375
1991-03-01,3.5
1991-03-04,3.5
1991-03-05,3.625
1991-03-06,3.5
1991-03-07,3.375
1991-03-08,3.375
1991-03-11,3.125
1991-03-12,3.375
1991-03-13,3.375
1991-03-14,3.375
1991-03-15,3.375
1991-03-18,3.25
1991-03-19,3.25
1991-03-20,3.375
1991-03-21,3.375
1991-03-22,3.75
1991-03-25,3.625
1991-03-26,3.625
1991-03-27,3.5
1991-03-28,3.625
1991-04-01,3.75
1991-04-02,3.75
1991-04-03,3.625
1991-04-04,3.875
1991-04-05,3.75
1991-04-08,3.875
1991-04-09,3.75
1991-04-10,3.875
1991-04-11,3.875
1991-04-12,3.75
1991-04-15,3.875
1991-04-16,3.75
1991-04-17,3.75
1991-04-18,3.875
1991-04-19,3.75
1991-04-22,3.625
1991-04-23,3.75
1991-04-24,3.625
1991-04-25,3.75
1991-04-26,3.75
1991-04-29,3.875
1991-04-30,3.875
1991-05-01,3.875
1991-05-02,4.0
1991-05-03,4.375
1991-05-06,4.0
1991-05-07,4.0
1991-05-08,4.125
1991-05-09,4.125
1991-05-10,4.125
1991-05-13,4.0
1991-05-14,4.0
1991-05-15,3.875
1991-05-16,4.0
1991-05-17,4.0
1991-05-20,4.0
1991-05-21,3.875
1991-05-22,4.0
1991-05-23,4.0
1991-05-24,4.0
1991-05-28,4.125
1991-05-29,4.125
1991-05-30,4.25
1991-05-31,4.125
1991-06-03,4.125
1991-06-04,4.125
1991-06-05,4.0
1991-06-06,4.0
1991-06-07,4.125
1991-06-10,4.25
1991-06-11,4.0
1991-06-12,4.0
1991-06-13,4.125
1991-06-14,4.125
1991-06-17,4.125
1991-06-18,4.125
1991-06-19,4.125
1991-06-20,4.125
1991-06-21,4.125
1991-06-24,4.0
1991-06-25,4.0
1991-06-26,4.0
1991-06-27,4.0
1991-06-28,4.125
1991-07-01,4.125
1991-07-02,4.125
1991-07-03,4.125
1991-07-05,4.125
1991-07-08,4.25
1991-07-09,4.375
1991-07-10,4.0
1991-07-11,4.0
1991-07-12,3.875
1991-07-15,4.0
1991-07-16,4.0
1991-07-17,3.875
1991-07-18,3.875
1991-07-19,4.0
1991-07-22,4.0
1991-07-23,4.0
1991-07-24,4.0
1991-07-25,4.125
1991-07-26,4.0
1991-07-29,4.0
1991-07-30,3.875
1991-07-31,4.0
1991-08-01,3.875
1991-08-02,4.0
1991-08-05,4.0
1991-08-06,4.0
1991-08-07,3.875
1991-08-08,4.0
1991-08-09,4.0
1991-08-12,4.0
1991-08-13,4.25
1991-08-14,4.125
1991-08-15,4.125
1991-08-16,4.125
1991-08-19,4.0
1991-08-20,4.0
1991-08-21,3.875
1991-08-22,3.875
1991-08-23,4.0
1991-08-26,3.875
1991-08-27,3.875
1991-08-28,3.875
1991-08-29,4.0
1991-08-30,4.0
1991-09-03,4.0
1991-09-04,3.875
1991-09-05,4.0
1991-09-06,3.875
1991-09-09,3.75
1991-09-10,3.75
1991-09-11,3.625
1991-09-12,3.75
1991-09-13,3.75
1991-09-16,3.625
1991-09-17,3.75
1991-09-18,3.75
1991-09-19,3.875
1991-09-20,3.875
1991-09-23,3.875
1991-09-24,3.75
1991-09-25,3.75
1991-09-26,3.75
1991-09-27,3.625
1991-09-30,3.75
1991-10-01,3.75
1991-10-02,3.625
1991-10-03,3.75
1991-10-04,3.75
1991-10-07,3.75
1991-10-08,3.625
1991-10-09,3.75
1991-10-10,3.75
1991-10-11,3.75
1991-10-14,3.625
1991-10-15,3.75
1991-10-16,3.75
1991-10-17,3.625
1991-10-18,3.75
1991-10-21,3.625
1991-10-22,3.75
1991-10-23,3.625
1991-10-24,3.5
1991-10-25,3.5
1991-10-28,3.375
1991-10-29,3.5
1991-10-30,3.375
1991-10-31,3.75
1991-11-01,3.75
1991-11-04,3.75
1991-11-05,3.625
1991-11-06,3.625
1991-11-07,3.625
1991-11-08,3.75
1991-11-11,3.5
1991-11-12,3.625
1991-11-13,3.5
1991-11-14,3.5
1991-11-15,3.5
1991-11-18,3.375
1991-11-19,3.25
1991-11-20,3.375
1991-11-21,3.375
1991-11-22,3.375
1991-11-25,3.375
1991-11-26,3.375
1991-11-27,3.5
1991-11-29,3.625
1991-12-02,3.5
1991-12-03,3.5
1991-12-04,3.375
1991-12-05,3.375
1991-12-06,3.5
1991-12-09,3.375
1991-12-10,3.5
1991-12-11,3.5
1991-12-12,3.5
1991-12-13,3.375
1991-12-16,3.625
1991-12-17,3.375
1991-12-18,3.5
1991-12-19,3.625
1991-12-20,3.75
1991-12-23,3.75
1991-12-24,3.75
1991-12-26,3.75
1991-12-27,3.625
1991-12-30,3.875
1991-12-31,3.875
1992-01-02,3.875
1992-01-03,3.875
1992-01-06,3.875
1992-01-07,3.75
1992-01-08,3.875
1992-01-09,3.875
1992-01-10,3.875
1992-01-13,3.875
1992-01-14,3.875
1992-01-15,3.875
1992-01-16,4.0
1992-01-17,3.875
1992-01-20,4.0
1992-01-21,4.0
1992-01-22,3.875
1992-01-23,4.0
1992-01-24,4.0
1992-01-27,4.0
1992-01-28,3.875
1992-01-29,3.875
1992-01-30,3.875
1992-01-31,3.875
1992-02-03,3.875
1992-02-04,4.0
1992-02-05,3.875
1992-02-06,4.0
1992-02-07,4.0
1992-02-10,4.0
1992-02-11,4.0
1992-02-12,4.0
1992-02-13,4.125
1992-02-14,4.125
1992-02-18,4.125
1992-02-19,4.125
1992-02-20,4.125
1992-02-21,4.125
1992-02-24,4.125
1992-02-25,4.25
1992-02-26,4.125
1992-02-27,4.125
1992-02-28,4.125
1992-03-02,4.125
1992-03-03,4.0
1992-03-04,4.0
1992-03-05,3.875
1992-03-06,4.0
1992-03-09,4.0
1992-03-10,4.0
1992-03-11,4.0
1992-03-12,3.875
1992-03-13,3.875
1992-03-16,3.875
1992-03-17,3.875
1992-03-18,3.875
1992-03-19,3.875
1992-03-20,3.875
1992-03-23,3.75
1992-03-24,3.75
1992-03-25,3.75
1992-03-26,3.875
1992-03-27,3.875
1992-03-30,3.875
1992-03-31,3.75
1992-04-01,3.75
1992-04-02,3.625
1992-04-03,3.625
1992-04-06,3.625
1992-04-07,3.75
1992-04-08,3.75
1992-04-09,3.75
1992-04-10,3.75
1992-04-13,3.75
1992-04-14,3.875
1992-04-15,3.75
1992-04-16,3.75
1992-04-20,3.75
1992-04-21,3.75
1992-04-22,3.75
1992-04-23,3.75
1992-04-24,3.75
1992-04-27,3.875
1992-04-28,3.875
1992-04-29,3.75
1992-04-30,3.625
1992-05-01,3.625
1992-05-04,3.625
1992-05-05,3.75
1992-05-06,3.75
1992-05-07,3.625
1992-05-08,3.625
1992-05-11,3.625
1992-05-12,3.625
1992-05-13,3.625
1992-05-14,3.625
1992-05-15,3.5
1992-05-18,3.5
1992-05-19,3.875
1992-05-20,3.75
1992-05-21,3.5
1992-05-22,3.5
1992-05-26,3.5
1992-05-27,3.375
1992-05-28,3.5
1992-05-29,3.5
1992-06-01,3.5
1992-06-02,3.5
1992-06-03,3.5
1992-06-04,3.5
1992-06-05,3.5
1992-06-08,3.5
1992-06-09,3.25
1992-06-10,3.25
1992-06-11,3.125
1992-06-12,3.25
1992-06-15,3.375
1992-06-16,3.25
1992-06-17,3.375
1992-06-18,3.25
1992-06-19,3.25
1992-06-22,3.125
1992-06-23,3.125
1992-06-24,3.0
1992-06-25,3.25
1992-06-26,3.25
1992-06-29,3.25
1992-06-30,2.875
1992-07-01,3.0
1992-07-02,3.0
1992-07-06,3.0
1992-07-07,3.0
1992-07-08,3.0
1992-07-09,3.0
1992-07-10,3.0
1992-07-13,3.0
1992-07-14,3.0
1992-07-15,3.0
1992-07-16,3.0
1992-07-17,3.0
1992-07-20,3.0
1992-07-21,2.875
1992-07-22,2.875
1992-07-23,2.875
1992-07-24,2.875
1992-07-27,2.875
1992-07-28,2.875
1992-07-29,2.875
1992-07-30,3.0
1992-07-31,3.0
1992-08-03,3.0
1992-08-04,3.0
1992-08-05,2.875
1992-08-06,2.875
1992-08-07,2.875
1992-08-10,2.875
1992-08-11,2.75
1992-08-12,2.75
1992-08-13,2.75
1992-08-14,2.75
1992-08-17,2.75
1992-08-18,2.875
1992-08-19,2.875
1992-08-20,2.875
1992-08-21,2.875
1992-08-24,2.875
1992-08-25,2.875
1992-08-26,2.875
1992-08-27,2.75
1992-08-28,2.875
1992-08-31,2.75
1992-09-01,2.75
1992-09-02,2.75
1992-09-03,2.75
1992-09-04,2.75
1992-09-08,2.625
1992-09-09,2.5
1992-09-10,2.5
1992-09-11,2.625
1992-09-14,2.625
1992-09-15,2.625
1992-09-16,2.625
1992-09-17,2.625
1992-09-18,2.625
1992-09-21,2.625
1992-09-22,2.5
1992-09-23,2.625
1992-09-24,2.625
1992-09-25,2.625
1992-09-28,2.625
1992-09-29,2.625
1992-09-30,2.625
1992-10-01,2.75
1992-10-02,2.625
1992-10-05,2.625
1992-10-06,2.625
1992-10-07,2.625
1992-10-08,2.75
1992-10-09,2.625
1992-10-12,2.75
1992-10-13,2.875
1992-10-14,2.875
1992-10-15,2.75
1992-10-16,2.875
1992-10-19,2.75
1992-10-20,3.125
1992-10-21,3.25
1992-10-22,3.375
1992-10-23,3.25
1992-10-26,3.25
1992-10-27,3.25
1992-10-28,3.25
1992-10-29,3.25
1992-10-30,3.25
1992-11-02,3.25
1992-11-03,3.25
1992-11-04,3.25
1992-11-05,3.375
1992-11-06,3.375
1992-11-09,3.5
1992-11-10,3.375
1992-11-11,3.5
1992-11-12,3.5
1992-11-13,3.625
1992-11-16,3.375
1992-11-17,3.375
1992-11-18,3.25
1992-11-19,3.375
1992-11-20,3.375
1992-11-23,3.25
1992-11-24,3.5
1992-11-25,4.0
1992-11-27,4.125
1992-11-30,4.25
1992-12-01,4.0
1992-12-02,4.125
1992-12-03,4.125
1992-12-04,4.0
