Date,CX
1999-09-15,8.667812
1999-09-16,8.667812
1999-09-17,8.768739
1999-09-20,9.000277
1999-09-21,8.881539
1999-09-22,8.881539
1999-09-23,8.881539
1999-09-24,8.857792
1999-09-27,8.952782000000001
1999-09-28,9.000277
1999-09-29,9.095266
1999-09-30,9.166509
1999-10-01,9.119014
1999-10-04,9.000277
1999-10-05,8.834044
1999-10-06,9.119014
1999-10-07,9.119014
1999-10-08,9.142761
1999-10-11,9.190256
1999-10-12,8.905287
1999-10-13,8.50158
1999-10-14,8.240358
1999-10-15,7.646673
1999-10-18,7.456694000000001
1999-10-19,7.812905000000001
1999-10-20,8.002885000000001
1999-10-21,7.836652000000001
1999-10-22,8.121622
1999-10-25,8.192863000000001
1999-10-26,7.907895
1999-10-27,7.931642
1999-10-28,8.169116
1999-10-29,8.549075
1999-11-01,8.69156
1999-11-02,9.071519
1999-11-03,9.071519
1999-11-04,9.024024
1999-11-05,8.976529
1999-11-08,9.024024
1999-11-09,9.000277
1999-11-10,9.356488
1999-11-11,9.688952
1999-11-12,9.593963
1999-11-15,9.593963
1999-11-16,9.498973
1999-11-17,9.498973
1999-11-18,9.451478
1999-11-19,9.403983
1999-11-22,8.78655
1999-11-23,8.929034
1999-11-24,9.285246
1999-11-26,9.546467999999999
1999-11-29,9.403983
1999-11-30,9.332741
1999-12-01,9.403983
1999-12-02,9.593963
1999-12-03,9.783942
1999-12-06,9.878932
1999-12-07,9.7127
1999-12-08,9.878932
1999-12-09,9.665205
1999-12-10,9.878932
1999-12-13,9.855185
1999-12-14,9.61771
1999-12-15,9.760195
1999-12-16,10.092658
1999-12-17,10.306385
1999-12-20,10.282638
1999-12-21,10.306385
1999-12-22,10.330132
1999-12-23,10.401375
1999-12-27,10.25889
1999-12-28,10.44887
1999-12-29,10.472617
1999-12-30,10.591353999999999
1999-12-31,10.591353999999999
2000-01-03,10.401375
2000-01-04,9.61771
2000-01-05,9.546467999999999
2000-01-06,9.475225
2000-01-07,9.641458
2000-01-10,9.855185
2000-01-11,9.593963
2000-01-12,9.52272
2000-01-13,9.641458
2000-01-14,9.878932
2000-01-18,9.878932
2000-01-19,9.570215
2000-01-20,9.142761
2000-01-21,8.881539
2000-01-24,8.50158
2000-01-25,8.762802
2000-01-26,9.024024
2000-01-27,8.69156
2000-01-28,8.40659
2000-01-31,8.311601
2000-02-01,8.644065
2000-02-02,8.454085000000001
2000-02-03,8.430338
2000-02-04,8.359096000000001
2000-02-07,9.119014
2000-02-08,9.071519
2000-02-09,8.810297
2000-02-10,8.834044
2000-02-11,8.572823
2000-02-14,8.59657
2000-02-15,8.715307000000001
2000-02-16,8.739055
2000-02-17,8.762802
2000-02-18,8.50158
2000-02-22,8.50158
2000-02-23,8.810297
2000-02-24,8.620317
2000-02-25,8.382843
2000-02-28,8.216611
2000-02-29,8.121622
2000-03-01,8.074127
2000-03-02,8.739055
2000-03-03,9.119014
2000-03-06,8.857792
2000-03-07,9.570215
2000-03-08,10.068911
2000-03-09,10.25889
2000-03-10,9.973921
2000-03-13,9.760195
2000-03-14,9.61771
2000-03-15,9.760195
2000-03-16,9.688952
2000-03-17,9.783942
2000-03-20,9.973921
2000-03-21,9.902679
2000-03-22,9.665205
2000-03-23,9.783942
2000-03-24,9.736447
2000-03-27,9.736447
2000-03-28,9.451478
2000-03-29,9.071519
2000-03-30,8.59657
2000-03-31,8.59657
2000-04-03,8.881539
2000-04-04,8.69156
2000-04-05,8.976529
2000-04-06,9.095266
2000-04-07,9.095266
2000-04-10,8.715307000000001
2000-04-11,8.59657
2000-04-12,8.382843
2000-04-13,8.359096000000001
2000-04-14,7.812905000000001
2000-04-17,7.789157
2000-04-18,8.192863000000001
2000-04-19,7.836652000000001
2000-04-20,8.169116
2000-04-24,7.789157
2000-04-25,8.454085000000001
2000-04-26,8.287853
2000-04-27,8.311601
2000-04-28,8.311601
2000-05-01,8.264106
2000-05-02,8.264106
2000-05-03,7.955389
2000-05-04,7.8604
2000-05-05,7.836652000000001
2000-05-08,7.789157
2000-05-09,7.907895
2000-05-10,7.789157
2000-05-11,7.812905000000001
2000-05-12,8.121622
2000-05-15,8.169116
2000-05-16,8.40659
2000-05-17,8.192863000000001
2000-05-18,8.121622
2000-05-19,7.979137
2000-05-22,7.907895
2000-05-23,7.8604
2000-05-24,7.955389
2000-05-25,8.002885000000001
2000-05-26,8.002885000000001
2000-05-30,8.240358
2000-05-31,8.05038
2000-06-01,8.026632000000001
2000-06-02,8.50158
2000-06-05,8.287853
2000-06-06,7.670421000000001
2000-06-07,7.527936
2000-06-08,7.646673
2000-06-09,7.741663000000001
2000-06-12,7.931642
2000-06-13,8.097875
2000-06-14,8.287853
2000-06-15,8.169116
2000-06-16,8.169116
2000-06-19,8.169116
2000-06-20,8.026632000000001
2000-06-21,8.192863000000001
2000-06-22,8.169116
2000-06-23,8.074127
2000-06-26,8.074127
2000-06-27,8.169116
2000-06-28,8.382843
2000-06-29,8.78655
2000-06-30,8.881539
2000-07-03,9.237751
2000-07-05,9.451478
2000-07-06,9.427731
2000-07-07,9.688952
2000-07-10,9.736447
2000-07-11,9.61771
2000-07-12,9.665205
2000-07-13,9.61771
2000-07-14,9.665205
2000-07-17,9.641458
2000-07-18,9.570215
2000-07-19,9.237751
2000-07-20,9.261498
2000-07-21,9.071519
2000-07-24,9.071519
2000-07-25,9.12495
2000-07-26,9.024024
2000-07-27,9.12495
2000-07-28,8.810297
2000-07-31,8.929034
2000-08-01,8.857792
2000-08-02,8.810297
2000-08-03,8.739055
2000-08-04,8.78655
2000-08-07,8.78655
2000-08-08,8.715307000000001
2000-08-09,8.69156
2000-08-10,8.69156
2000-08-11,9.071519
2000-08-14,9.119014
2000-08-15,9.024024
2000-08-16,9.119014
2000-08-17,9.166509
2000-08-18,8.952782000000001
2000-08-21,8.857792
2000-08-22,8.810297
2000-08-23,8.834044
2000-08-24,8.78655
2000-08-25,8.667812
2000-08-28,8.667812
2000-08-29,8.59657
2000-08-30,8.834044
2000-08-31,8.905287
2000-09-01,8.881539
2000-09-05,9.095266
2000-09-06,8.952782000000001
2000-09-07,8.929034
2000-09-08,8.976529
2000-09-11,9.071519
2000-09-12,9.047771000000001
2000-09-13,9.071519
2000-09-14,9.166509
2000-09-15,9.071519
2000-09-18,8.929034
2000-09-19,8.644065
2000-09-20,8.572823
2000-09-21,8.382843
2000-09-22,8.454085000000001
2000-09-25,8.572823
2000-09-26,8.240358
2000-09-27,7.979137
2000-09-28,7.955389
2000-09-29,7.622926
2000-10-02,7.836652000000001
2000-10-03,8.002885000000001
2000-10-04,8.097875
2000-10-05,8.240358
2000-10-06,8.169116
2000-10-09,7.979137
2000-10-10,7.741663000000001
2000-10-11,7.6941679999999995
2000-10-12,7.646673
2000-10-13,7.6941679999999995
2000-10-16,7.646673
2000-10-17,7.599178
2000-10-18,7.527936
2000-10-19,7.599178
2000-10-20,7.551683000000001
2000-10-23,7.456694000000001
2000-10-24,7.670421000000001
2000-10-25,7.504189
2000-10-26,7.599178
2000-10-27,7.76541
2000-10-30,7.836652000000001
2000-10-31,8.026632000000001
2000-11-01,8.097875
2000-11-02,8.14537
2000-11-03,7.789157
2000-11-06,7.741663000000001
2000-11-07,7.836652000000001
2000-11-08,7.670421000000001
2000-11-09,7.789157
2000-11-10,7.6941679999999995
2000-11-13,7.527936
2000-11-14,7.670421000000001
2000-11-15,7.955389
2000-11-16,7.8841470000000005
2000-11-17,8.121622
2000-11-20,8.002885000000001
2000-11-21,8.05038
2000-11-22,7.717915
2000-11-24,7.8604
2000-11-27,7.789157
2000-11-28,7.599178
2000-11-29,7.646673
2000-11-30,7.337956
2000-12-01,7.290462
2000-12-04,7.1954720000000005
2000-12-05,7.385451
2000-12-06,7.409199
2000-12-07,7.385451
2000-12-08,7.456694000000001
2000-12-11,7.456694000000001
2000-12-12,7.361704
2000-12-13,7.551683000000001
2000-12-14,7.432946
2000-12-15,7.124229
2000-12-18,7.02924
2000-12-19,6.981745
2000-12-20,6.744271
2000-12-21,6.720523
2000-12-22,6.83926
2000-12-26,6.815513
2000-12-27,6.791766
2000-12-28,6.791766
2000-12-29,6.863008
2001-01-02,6.815513
2001-01-03,7.076735
2001-01-04,7.147977
2001-01-05,7.124229
2001-01-08,7.219219
2001-01-09,7.361704
2001-01-10,7.480441000000001
2001-01-11,7.6941679999999995
2001-01-12,7.6941679999999995
2001-01-16,7.622926
2001-01-17,7.6941679999999995
2001-01-18,7.622926
2001-01-19,7.599178
2001-01-22,7.575431
2001-01-23,7.979137
2001-01-24,8.169116
2001-01-25,8.05038
2001-01-26,8.121622
2001-01-29,7.982937
2001-01-30,8.104524000000001
2001-01-31,8.115922
2001-02-01,8.112123
2001-02-02,7.8879470000000005
2001-02-05,7.979137
2001-02-06,7.998135
2001-02-07,7.865149000000001
2001-02-08,7.770160000000001
2001-02-09,7.758761
2001-02-12,7.941141
2001-02-13,7.9069449999999994
2001-02-14,7.990536
2001-02-15,8.055128999999999
2001-02-16,7.903144999999999
2001-02-20,7.827153999999999
2001-02-21,7.6637710000000006
2001-02-22,7.827153999999999
2001-02-23,7.789157
2001-02-26,8.017133
2001-02-27,7.998135
2001-02-28,8.005734
2001-03-01,8.169116
2001-03-02,8.454085000000001
2001-03-05,8.739055
2001-03-06,8.727656
2001-03-07,8.818846
2001-03-08,8.883439
2001-03-09,8.720057
2001-03-12,8.571873
2001-03-13,8.533877
2001-03-14,8.328699
2001-03-15,8.305902
2001-03-16,8.571873
2001-03-19,8.625067
2001-03-20,8.663063000000001
2001-03-21,8.549075
2001-03-22,8.165317
2001-03-23,8.017133
2001-03-26,8.017133
2001-03-27,8.017133
2001-03-28,7.979137
2001-03-29,7.971538000000001
2001-03-30,8.169116
2001-04-02,8.340098
2001-04-03,8.013333
2001-04-04,8.024732
2001-04-05,8.264106
2001-04-06,8.081726
2001-04-09,8.131121
2001-04-10,8.366695
2001-04-11,8.393292
2001-04-12,8.632667
2001-04-16,8.549075
2001-04-17,8.552875
2001-04-18,8.815046
2001-04-19,8.758053
2001-04-20,8.68966
2001-04-23,8.362896000000001
2001-04-24,8.188114
2001-04-25,8.397092
2001-04-26,8.663063000000001
2001-04-27,8.727656
2001-04-30,8.803647999999999
2001-05-01,8.887239
2001-05-02,9.043022
2001-05-03,9.05822
2001-05-04,9.130412
2001-05-07,8.929034
2001-05-08,8.792249
2001-05-09,8.750454
