Date,DKS
2002-10-16,3.29
2002-10-17,3.6
2002-10-18,3.74
2002-10-21,3.64
2002-10-22,3.62
2002-10-23,3.77
2002-10-24,4.08
2002-10-25,4.04
2002-10-28,4.06
2002-10-29,4.0
2002-10-30,4.04
2002-10-31,4.1
2002-11-01,3.9725
2002-11-04,4.005
2002-11-05,4.0175
2002-11-06,4.1725
2002-11-07,4.245
2002-11-08,4.05
2002-11-11,4.1125
2002-11-12,4.125
2002-11-13,4.125
2002-11-14,4.15
2002-11-15,4.3525
2002-11-18,4.35
2002-11-19,4.4875
2002-11-20,4.465
2002-11-21,4.625
2002-11-22,4.975
2002-11-25,5.2125
2002-11-26,5.0
2002-11-27,5.1375
2002-11-29,5.2525
2002-12-02,5.6275
2002-12-03,5.635
2002-12-04,5.545
2002-12-05,5.425
2002-12-06,5.45
2002-12-09,5.6
2002-12-10,5.55
2002-12-11,5.49
2002-12-12,5.35
2002-12-13,4.9975
2002-12-16,5.05
2002-12-17,4.97
2002-12-18,4.7125
2002-12-19,4.625
2002-12-20,4.9
2002-12-23,5.0
2002-12-24,4.8025
2002-12-26,4.7625
2002-12-27,4.775
2002-12-30,4.76
2002-12-31,4.8
2003-01-02,5.005
2003-01-03,4.9625
2003-01-06,5.3625
2003-01-07,5.2375
2003-01-08,5.25
2003-01-09,5.3475
2003-01-10,5.375
2003-01-13,5.3875
2003-01-14,5.3125
2003-01-15,5.25
2003-01-16,5.3875
2003-01-17,5.4125
2003-01-21,5.325
2003-01-22,5.125
2003-01-23,4.8625
2003-01-24,4.9375
2003-01-27,4.825
2003-01-28,4.7075
2003-01-29,4.625
2003-01-30,4.625
2003-01-31,4.75
2003-02-03,4.325
2003-02-04,4.4375
2003-02-05,4.36
2003-02-06,4.36
2003-02-07,4.5
2003-02-10,4.375
2003-02-11,5.1425
2003-02-12,5.05
2003-02-13,5.1
2003-02-14,5.1925
2003-02-18,5.44
2003-02-19,5.45
2003-02-20,5.53
2003-02-21,5.9075
2003-02-24,5.755
2003-02-25,5.6125
2003-02-26,5.6
2003-02-27,5.615
2003-02-28,5.8475
2003-03-03,5.6825
2003-03-04,5.7
2003-03-05,5.67
2003-03-06,5.375
2003-03-07,5.6125
2003-03-10,5.5625
2003-03-11,5.7425
2003-03-12,5.5125
2003-03-13,5.36
2003-03-14,5.3775
2003-03-17,5.47
2003-03-18,5.6025
2003-03-19,5.7375
2003-03-20,5.6425
2003-03-21,5.7825
2003-03-24,5.63
2003-03-25,5.5325
2003-03-26,5.625
2003-03-27,5.575
2003-03-28,5.6375
2003-03-31,5.7275
2003-04-01,6.1425
2003-04-02,6.1875
2003-04-03,6.34
2003-04-04,6.4
2003-04-07,6.3875
2003-04-08,6.25
2003-04-09,6.33
2003-04-10,6.125
2003-04-11,6.02
2003-04-14,6.325
2003-04-15,6.825
2003-04-16,6.625
2003-04-17,6.875
2003-04-21,6.84
2003-04-22,6.825
2003-04-23,6.7875
2003-04-24,6.825
2003-04-25,6.7575
2003-04-28,7.0
2003-04-29,7.3125
2003-04-30,7.5325
2003-05-01,7.55
2003-05-02,7.4875
2003-05-05,7.5
2003-05-06,7.5
2003-05-07,7.4225
2003-05-08,7.325
2003-05-09,7.1975
2003-05-12,7.3875
2003-05-13,7.4
2003-05-14,7.3975
2003-05-15,7.0775
2003-05-16,7.125
2003-05-19,6.9375
2003-05-20,7.0075
2003-05-21,7.0325
2003-05-22,7.645
2003-05-23,7.55
2003-05-27,7.35
2003-05-28,7.3525
2003-05-29,7.32
2003-05-30,7.2475
2003-06-02,7.125
2003-06-03,6.9375
2003-06-04,6.81
2003-06-05,7.005
2003-06-06,7.0275
2003-06-09,7.245
2003-06-10,7.675
2003-06-11,7.845
2003-06-12,8.15
2003-06-13,8.175
2003-06-16,8.0975
2003-06-17,8.5875
2003-06-18,8.375
2003-06-19,8.2125
2003-06-20,8.315
2003-06-23,8.1025
2003-06-24,9.105
2003-06-25,9.375
2003-06-26,9.345
2003-06-27,9.325
2003-06-30,9.17
2003-07-01,8.9325
2003-07-02,9.375
2003-07-03,9.3225
2003-07-07,9.57
2003-07-08,9.825
2003-07-09,9.7375
2003-07-10,9.4525
2003-07-11,9.375
2003-07-14,9.495
2003-07-15,9.445
2003-07-16,9.425
2003-07-17,9.18
2003-07-18,9.2375
2003-07-21,9.35
2003-07-22,9.4875
2003-07-23,9.52
2003-07-24,9.5475
2003-07-25,9.55
2003-07-28,9.9375
2003-07-29,9.7
2003-07-30,9.595
2003-07-31,9.5
2003-08-01,9.0575
2003-08-04,8.9325
2003-08-05,9.005
2003-08-06,9.015
2003-08-07,9.1925
2003-08-08,9.5
2003-08-11,9.675
2003-08-12,9.49
2003-08-13,9.45
2003-08-14,9.5
2003-08-15,9.6225
2003-08-18,10.3575
2003-08-19,10.27
2003-08-20,10.125
2003-08-21,9.315
2003-08-22,8.9225
2003-08-25,9.05
2003-08-26,8.9925
2003-08-27,8.99
2003-08-28,9.3125
2003-08-29,9.455
2003-09-02,9.4375
2003-09-03,9.27
2003-09-04,9.01
2003-09-05,8.9225
2003-09-08,8.8625
2003-09-09,8.65
2003-09-10,8.625
2003-09-11,8.835
2003-09-12,8.96
2003-09-15,8.775
2003-09-16,8.5825
2003-09-17,8.585
2003-09-18,9.03
2003-09-19,9.1925
2003-09-22,9.2125
2003-09-23,9.4975
2003-09-24,9.455
2003-09-25,9.405
2003-09-26,9.23
2003-09-29,9.1025
2003-09-30,9.335
2003-10-01,9.5375
2003-10-02,9.53
2003-10-03,9.5925
2003-10-06,9.65
2003-10-07,10.005
2003-10-08,9.92
2003-10-09,10.0875
2003-10-10,10.0625
2003-10-13,10.9425
2003-10-14,11.025
2003-10-15,10.9075
2003-10-16,11.0575
2003-10-17,10.9125
2003-10-20,11.435
2003-10-21,11.375
2003-10-22,11.275
2003-10-23,11.42
2003-10-24,10.9675
2003-10-27,11.28
2003-10-28,11.925
2003-10-29,11.8
2003-10-30,11.71
2003-10-31,11.495
2003-11-03,11.75
2003-11-04,11.705
2003-11-05,11.8275
2003-11-06,11.845
2003-11-07,11.79
2003-11-10,11.5175
2003-11-11,11.2875
2003-11-12,11.575
2003-11-13,11.675
2003-11-14,11.2925
2003-11-17,11.06
2003-11-18,11.74
2003-11-19,11.625
2003-11-20,11.9375
2003-11-21,12.265
2003-11-24,12.5
2003-11-25,12.9625
2003-11-26,12.7125
2003-11-28,13.145
2003-12-01,13.25
2003-12-02,13.165
2003-12-03,13.14
2003-12-04,12.5325
2003-12-05,12.385
2003-12-08,12.155
2003-12-09,12.105
2003-12-10,11.8925
2003-12-11,12.36
2003-12-12,12.065
2003-12-15,11.6125
2003-12-16,11.795
2003-12-17,11.76
2003-12-18,12.6125
2003-12-19,12.1725
2003-12-22,12.1025
2003-12-23,12.2025
2003-12-24,12.0875
2003-12-26,12.25
2003-12-29,12.33
2003-12-30,12.25
2003-12-31,12.165
2004-01-02,12.25
2004-01-05,12.325
2004-01-06,12.45
2004-01-07,12.44
2004-01-08,12.3775
2004-01-09,12.375
2004-01-12,12.725
2004-01-13,12.7575
2004-01-14,12.845
2004-01-15,12.8925
2004-01-16,12.8475
2004-01-20,12.625
2004-01-21,12.6825
2004-01-22,12.7725
2004-01-23,12.785
2004-01-26,13.225
2004-01-27,13.1
2004-01-28,12.4375
2004-01-29,12.4125
2004-01-30,12.4375
2004-02-02,12.66
2004-02-03,12.825
2004-02-04,12.825
2004-02-05,12.7175
2004-02-06,13.1025
2004-02-09,13.2575
2004-02-10,13.395
2004-02-11,14.04
2004-02-12,14.695
2004-02-13,14.5475
2004-02-17,14.7625
2004-02-18,14.6725
2004-02-19,14.48
2004-02-20,14.325
2004-02-23,14.055
2004-02-24,13.655
2004-02-25,13.86
2004-02-26,14.2275
2004-02-27,14.4925
2004-03-01,14.6825
2004-03-02,14.8375
2004-03-03,15.0625
2004-03-04,14.9625
2004-03-05,14.865
2004-03-08,14.665
2004-03-09,14.555
2004-03-10,14.305
2004-03-11,13.8875
2004-03-12,13.8875
2004-03-15,14.0
2004-03-16,13.855
2004-03-17,13.89
2004-03-18,13.6625
2004-03-19,13.475
2004-03-22,13.53
2004-03-23,13.7
2004-03-24,13.625
2004-03-25,14.145
2004-03-26,14.125
2004-03-29,14.375
2004-03-30,14.4425
2004-03-31,14.535
2004-04-01,14.675
2004-04-02,14.955
2004-04-05,15.1625
2004-04-06,15.39
2004-04-07,14.955
2004-04-08,14.905
2004-04-12,14.975
2004-04-13,14.725
2004-04-14,14.58
2004-04-15,14.52
2004-04-16,14.65
2004-04-19,14.52
2004-04-20,14.19
2004-04-21,14.36
2004-04-22,14.575
2004-04-23,14.575
2004-04-26,14.69
2004-04-27,14.71
2004-04-28,14.04
2004-04-29,13.7
2004-04-30,13.485
2004-05-03,13.7
2004-05-04,13.77
2004-05-05,13.8
2004-05-06,13.3
2004-05-07,13.215
2004-05-10,12.955
2004-05-11,13.2
2004-05-12,13.43
2004-05-13,13.2
2004-05-14,13.255
2004-05-17,13.265
2004-05-18,12.995
2004-05-19,12.725
2004-05-20,12.5
2004-05-21,12.675
2004-05-24,13.49
2004-05-25,14.33
2004-05-26,14.34
2004-05-27,14.415
2004-05-28,14.365
2004-06-01,14.405
2004-06-02,14.55
2004-06-03,14.2
2004-06-04,14.46
2004-06-07,14.955
2004-06-08,14.825
2004-06-09,14.65
2004-06-10,14.695
2004-06-14,14.375
2004-06-15,14.695
2004-06-16,14.53
2004-06-17,14.47
2004-06-18,14.6
2004-06-21,14.3
2004-06-22,17.15
2004-06-23,16.5
2004-06-24,16.700001
2004-06-25,16.715
2004-06-28,17.1
2004-06-29,16.75
2004-06-30,16.674999
2004-07-01,16.445
2004-07-02,16.35
2004-07-06,16.315001000000002
2004-07-07,16.205
2004-07-08,16.049999
2004-07-09,16.48
2004-07-12,16.700001
2004-07-13,16.67
2004-07-14,16.705
2004-07-15,16.674999
2004-07-16,16.315001000000002
2004-07-19,15.375
2004-07-20,15.83
2004-07-21,15.155
2004-07-22,15.52
2004-07-23,15.355
2004-07-26,15.275
2004-07-27,15.755
2004-07-28,15.6
2004-07-29,16.07
2004-07-30,16.25
2004-08-02,16.23
2004-08-03,15.92
2004-08-04,15.25
2004-08-05,14.785
2004-08-06,14.42
2004-08-09,14.15
2004-08-10,14.495
2004-08-11,14.475
2004-08-12,13.9
2004-08-13,13.385
2004-08-16,14.085
2004-08-17,16.0
2004-08-18,16.4
2004-08-19,16.275
2004-08-20,16.205
2004-08-23,16.0
2004-08-24,16.120001000000002
2004-08-25,16.16
2004-08-26,16.120001000000002
2004-08-27,16.325001
2004-08-30,15.96
2004-08-31,16.190001000000002
2004-09-01,16.25
2004-09-02,16.615
2004-09-03,16.605
2004-09-07,16.75
2004-09-08,16.549999
2004-09-09,16.51
2004-09-10,16.75
2004-09-13,17.325001
2004-09-14,17.235001
2004-09-15,17.635
2004-09-16,17.790001
2004-09-17,17.865
2004-09-20,18.01
2004-09-21,18.004998999999998
2004-09-22,17.594998999999998
2004-09-23,17.84
2004-09-24,17.85
2004-09-27,17.495001000000002
2004-09-28,17.790001
2004-09-29,17.870001000000002
2004-09-30,17.809998999999998
2004-10-01,18.045
2004-10-04,18.17
2004-10-05,18.004998999999998
2004-10-06,17.85
2004-10-07,17.504998999999998
2004-10-08,17.215
2004-10-11,17.27
2004-10-12,16.955
2004-10-13,16.65
2004-10-14,16.700001
2004-10-15,16.594998999999998
2004-10-18,16.764999
2004-10-19,16.469998999999998
2004-10-20,16.735001
2004-10-21,16.799999
2004-10-22,16.875
2004-10-25,17.139999
2004-10-26,17.709999
2004-10-27,18.42
2004-10-28,18.18
2004-10-29,18.0
2004-11-01,18.129998999999998
2004-11-02,18.155001000000002
2004-11-03,18.305
2004-11-04,18.25
2004-11-05,18.75
2004-11-08,19.025
2004-11-09,18.715
2004-11-10,18.434998999999998
2004-11-11,18.469998999999998
2004-11-12,18.5
2004-11-15,18.15
2004-11-16,17.754998999999998
2004-11-17,18.42
2004-11-18,17.969998999999998
2004-11-19,17.865
2004-11-22,18.045
2004-11-23,18.129998999999998
2004-11-24,18.209999
2004-11-26,18.395
2004-11-29,18.355
2004-11-30,18.0
2004-12-01,18.065001000000002
2004-12-02,17.940001000000002
2004-12-03,18.030001000000002
2004-12-06,17.969998999999998
2004-12-07,17.665001
2004-12-08,17.674999
2004-12-09,17.6
2004-12-10,17.450001
2004-12-13,17.125
2004-12-14,17.51
2004-12-15,17.65
2004-12-16,17.055
2004-12-17,16.995001000000002
2004-12-20,16.709999
2004-12-21,17.115
2004-12-22,17.445
2004-12-23,17.254998999999998
2004-12-27,16.950001
2004-12-28,17.280001000000002
2004-12-29,17.424999
2004-12-30,17.58
2004-12-31,17.575001
2005-01-03,17.615
2005-01-04,17.190001000000002
2005-01-05,17.059998999999998
2005-01-06,16.934998999999998
2005-01-07,17.1
2005-01-10,16.844998999999998
2005-01-11,16.825001
2005-01-12,16.875
2005-01-13,16.870001000000002
2005-01-14,16.625
2005-01-18,17.135
2005-01-19,16.975
2005-01-20,16.879998999999998
2005-01-21,16.825001
2005-01-24,16.684998999999998
2005-01-25,16.690001000000002
2005-01-26,17.120001000000002
2005-01-27,17.065001000000002
2005-01-28,16.950001
2005-01-31,17.0
2005-02-01,17.879998999999998
2005-02-02,17.84
2005-02-03,18.030001000000002
2005-02-04,17.895
