Date,EGC
2017-01-10,30.73
2017-01-11,31.0
2017-01-12,30.75
2017-01-13,28.25
2017-01-17,29.0
2017-01-18,29.0
2017-01-19,30.0
2017-01-20,30.0
2017-01-23,29.99
2017-01-24,24.0
2017-01-25,25.5
2017-01-26,29.1
2017-01-27,28.25
2017-01-30,28.25
2017-01-31,28.25
2017-02-01,29.0
2017-02-02,30.5
2017-02-03,28.5
2017-02-06,28.5
2017-02-07,30.5
2017-02-08,29.75
2017-02-09,28.5
2017-02-10,28.5
2017-02-13,28.6
2017-02-14,28.6
2017-02-15,30.200001
2017-02-16,30.200001
2017-02-17,30.200001
2017-02-21,30.1
2017-02-22,30.1
2017-02-23,31.0
2017-02-24,31.1
2017-02-27,31.1
2017-02-28,32.5
2017-03-01,30.25
2017-03-02,29.049999
2017-03-03,29.0
2017-03-06,30.799999
2017-03-07,30.75
2017-03-08,30.0
2017-03-09,29.719998999999998
2017-03-10,29.83
2017-03-13,29.65
2017-03-14,28.969998999999998
2017-03-15,28.9
2017-03-16,28.469998999999998
2017-03-17,27.18
2017-03-20,29.040001
2017-03-21,29.040001
2017-03-22,29.24
2017-03-23,29.389999
2017-03-24,29.5
2017-03-27,29.43
2017-03-28,29.700001
2017-03-29,30.0
2017-03-30,29.959999
2017-03-31,29.969998999999998
2017-04-03,29.93
2017-04-04,30.0
2017-04-05,29.73
2017-04-06,30.0
2017-04-07,30.0
2017-04-10,30.01
2017-04-11,29.950001
2017-04-12,29.9
2017-04-13,28.540001
2017-04-17,28.35
2017-04-18,28.549999
2017-04-19,28.34
2017-04-20,28.190001000000002
2017-04-21,28.299999
2017-04-24,28.200001
2017-04-25,28.49
2017-04-26,28.34
2017-04-27,27.860001
2017-04-28,27.5
2017-05-01,27.299999
2017-05-02,27.49
2017-05-03,27.34
2017-05-04,27.02
2017-05-05,27.370001000000002
2017-05-08,27.360001
2017-05-09,27.049999
2017-05-10,27.139999
2017-05-11,27.1
2017-05-12,26.85
2017-05-15,26.9
2017-05-16,27.200001
2017-05-17,26.93
2017-05-18,26.73
2017-05-19,26.700001
2017-05-22,26.68
2017-05-23,27.25
2017-05-24,27.4
2017-05-25,27.24
2017-05-26,27.209999
2017-05-30,26.34
2017-05-31,26.030001000000002
2017-06-01,26.440001000000002
2017-06-02,24.67
2017-06-05,23.200001
2017-06-06,23.309998999999998
2017-06-07,22.49
2017-06-08,22.25
2017-06-09,23.16
2017-06-12,23.540001
2017-06-13,23.49
2017-06-14,23.5
2017-06-15,22.76
2017-06-16,23.33
2017-06-19,22.450001
2017-06-20,20.959999
2017-06-21,19.940001000000002
2017-06-22,19.01
2017-06-23,18.59
2017-06-26,18.5
2017-06-27,18.48
2017-06-28,18.459999
2017-06-29,18.620001000000002
2017-06-30,18.57
2017-07-03,20.08
2017-07-05,20.049999
2017-07-06,19.66
2017-07-07,19.58
2017-07-10,20.059998999999998
