Date,EQC
1986-12-17,39.75
1986-12-18,39.75
1986-12-19,39.75
1986-12-22,39.75
1986-12-23,38.5
1986-12-24,38.5
1986-12-26,38.25
1986-12-29,37.25
1986-12-30,39.0
1986-12-31,38.75
1987-01-02,39.0
1987-01-05,39.0
1987-01-06,38.75
1987-01-07,39.25
1987-01-08,38.75
1987-01-09,39.25
1987-01-12,39.25
1987-01-13,39.0
1987-01-14,39.25
1987-01-15,39.25
1987-01-16,39.0
1987-01-19,38.75
1987-01-20,39.0
1987-01-21,39.0
1987-01-22,39.0
1987-01-23,38.75
1987-01-26,38.75
1987-01-27,38.75
1987-01-28,38.5
1987-01-29,38.0
1987-01-30,37.5
1987-02-02,38.5
1987-02-03,38.75
1987-02-04,39.25
1987-02-05,39.5
1987-02-06,39.5
1987-02-09,39.5
1987-02-10,39.5
1987-02-11,39.5
1987-02-12,38.75
1987-02-13,38.5
1987-02-17,39.5
1987-02-18,38.75
1987-02-19,39.0
1987-02-20,39.25
1987-02-23,39.0
1987-02-24,39.0
1987-02-25,38.0
1987-02-26,39.0
1987-02-27,38.5
1987-03-02,38.0
1987-03-03,37.75
1987-03-04,38.0
1987-03-05,38.25
1987-03-06,38.25
1987-03-09,38.75
1987-03-10,39.0
1987-03-11,38.5
1987-03-12,38.5
1987-03-13,38.5
1987-03-16,39.0
1987-03-17,38.75
1987-03-18,39.0
1987-03-19,38.5
1987-03-20,38.75
1987-03-23,39.25
1987-03-24,39.25
1987-03-25,39.5
1987-03-26,39.25
1987-03-27,38.75
1987-03-30,38.5
1987-03-31,38.25
1987-04-01,38.75
1987-04-02,39.25
1987-04-03,38.5
1987-04-06,38.75
1987-04-07,38.25
1987-04-08,38.25
1987-04-09,38.75
1987-04-10,38.5
1987-04-13,37.25
1987-04-14,37.0
1987-04-15,37.5
1987-04-16,37.0
1987-04-20,37.75
1987-04-21,37.75
1987-04-22,37.75
1987-04-23,37.5
1987-04-24,36.75
1987-04-27,36.75
1987-04-28,36.0
1987-04-29,36.0
1987-04-30,36.0
1987-05-01,36.5
1987-05-04,36.75
1987-05-05,36.75
1987-05-06,36.75
1987-05-07,37.0
1987-05-08,37.25
1987-05-11,37.0
1987-05-12,37.0
1987-05-13,36.75
1987-05-14,37.0
1987-05-15,36.75
1987-05-18,36.25
1987-05-19,35.25
1987-05-20,35.25
1987-05-21,36.0
1987-05-22,35.75
1987-05-26,35.5
1987-05-27,35.0
1987-05-28,35.5
1987-05-29,36.25
1987-06-01,36.75
1987-06-02,37.0
1987-06-03,37.0
1987-06-04,37.25
1987-06-05,37.5
1987-06-08,37.5
1987-06-09,37.5
1987-06-10,38.0
1987-06-11,38.5
1987-06-12,39.0
1987-06-15,39.0
1987-06-16,39.25
1987-06-17,39.25
1987-06-18,39.5
1987-06-19,39.5
1987-06-22,39.0
1987-06-23,39.5
1987-06-24,39.5
1987-06-25,39.75
1987-06-26,39.5
1987-06-29,39.0
1987-06-30,39.25
1987-07-01,38.75
1987-07-02,38.75
1987-07-06,38.75
1987-07-07,38.5
1987-07-08,39.25
1987-07-09,39.0
1987-07-10,39.75
1987-07-13,40.0
1987-07-14,39.75
1987-07-15,40.0
1987-07-16,40.0
1987-07-17,39.75
1987-07-20,39.25
1987-07-21,38.25
1987-07-22,38.25
1987-07-23,38.5
1987-07-24,38.5
1987-07-27,38.75
1987-07-28,38.75
1987-07-29,38.75
1987-07-30,37.5
1987-07-31,37.5
1987-08-03,37.5
1987-08-04,37.25
1987-08-05,37.0
1987-08-06,37.0
1987-08-07,36.75
1987-08-10,36.75
1987-08-11,36.75
1987-08-12,37.0
1987-08-13,37.0
1987-08-14,37.0
1987-08-17,37.0
1987-08-18,37.0
1987-08-19,36.75
1987-08-20,37.5
1987-08-21,38.25
