Date,ESGR
1997-04-01,10.5
1997-04-02,9.9375
1997-04-03,9.375
1997-04-04,9.375
1997-04-07,9.3125
1997-04-08,9.125
1997-04-09,9.25
1997-04-10,8.875
1997-04-11,9.25
1997-04-14,8.875
1997-04-15,8.625
1997-04-16,8.75
1997-04-17,8.5
1997-04-18,8.6875
1997-04-21,8.5
1997-04-22,8.5
1997-04-23,8.625
1997-04-24,8.75
1997-04-25,8.75
1997-04-28,8.75
1997-04-29,9.0
1997-04-30,9.0
1997-05-01,9.125
1997-05-02,9.625
1997-05-05,9.75
1997-05-06,10.25
1997-05-07,10.125
1997-05-08,10.03125
1997-05-09,10.1875
1997-05-12,11.0
1997-05-13,11.0
1997-05-14,11.0625
1997-05-15,11.1875
1997-05-16,11.0
1997-05-19,10.625
1997-05-20,11.0
1997-05-21,10.625
1997-05-22,10.6875
1997-05-23,10.875
1997-05-27,10.6875
1997-05-28,10.6875
1997-05-29,10.375
1997-05-30,11.0
1997-06-02,10.75
1997-06-03,11.5
1997-06-04,11.375
1997-06-05,11.375
1997-06-06,11.5
1997-06-09,11.625
1997-06-10,11.4375
1997-06-11,11.3125
1997-06-12,11.6875
1997-06-13,11.8125
1997-06-16,11.625
1997-06-17,11.375
1997-06-18,11.25
1997-06-19,11.25
1997-06-20,11.375
1997-06-23,11.25
1997-06-24,11.4375
1997-06-25,11.375
1997-06-26,11.375
1997-06-27,11.4375
1997-06-30,11.5
1997-07-01,11.75
1997-07-02,11.625
1997-07-03,11.8125
1997-07-07,11.5
1997-07-08,11.375
1997-07-09,11.875
1997-07-10,13.25
1997-07-11,14.0
1997-07-14,13.75
1997-07-15,13.5
1997-07-16,13.375
1997-07-17,12.25
1997-07-18,12.75
1997-07-21,12.625
1997-07-22,12.625
1997-07-23,12.875
1997-07-24,12.5
1997-07-25,12.625
1997-07-28,12.9375
1997-07-29,12.75
1997-07-30,12.75
1997-07-31,13.0
1997-08-01,12.8125
1997-08-04,13.0
1997-08-05,12.75
1997-08-06,12.5
1997-08-07,12.5
1997-08-08,12.375
1997-08-11,12.125
1997-08-12,12.3125
1997-08-13,12.5
1997-08-14,12.375
1997-08-15,12.625
1997-08-18,12.3125
1997-08-19,12.3125
1997-08-20,12.3125
1997-08-21,12.25
1997-08-22,12.25
1997-08-25,12.25
1997-08-26,12.375
1997-08-27,12.125
1997-08-28,12.125
1997-08-29,12.0
1997-09-02,12.0625
1997-09-03,12.125
1997-09-04,12.0625
1997-09-05,12.0625
1997-09-08,12.125
1997-09-09,11.875
1997-09-10,11.9375
1997-09-11,11.75
1997-09-12,11.6875
1997-09-15,11.5
1997-09-16,11.5
1997-09-17,11.5
1997-09-18,11.625
1997-09-19,12.1875
1997-09-22,12.1875
1997-09-23,12.1875
1997-09-24,12.25
1997-09-25,12.25
1997-09-26,12.25
1997-09-29,12.25
1997-09-30,12.125
1997-10-01,12.375
1997-10-02,12.875
1997-10-03,13.125
1997-10-06,13.5
1997-10-07,14.0625
1997-10-08,13.3125
1997-10-09,13.1875
1997-10-10,13.5
1997-10-13,13.4375
1997-10-14,13.25
1997-10-15,13.25
1997-10-16,13.375
1997-10-17,13.25
1997-10-20,12.75
1997-10-21,13.125
1997-10-22,13.25
1997-10-23,12.3125
1997-10-24,12.25
1997-10-27,11.625
1997-10-28,12.375
1997-10-29,12.25
1997-10-30,12.0
1997-10-31,12.0
1997-11-03,12.5
1997-11-04,12.25
1997-11-05,12.625
1997-11-06,13.125
1997-11-07,12.25
1997-11-10,12.75
1997-11-11,12.875
1997-11-12,12.3125
1997-11-13,12.5
1997-11-14,12.625
1997-11-17,12.625
1997-11-18,11.875
1997-11-19,12.0
1997-11-20,11.875
1997-11-21,12.0
1997-11-24,11.75
1997-11-25,11.625
1997-11-26,11.625
1997-11-28,11.875
1997-12-01,11.75
1997-12-02,11.75
1997-12-03,11.625
1997-12-04,12.0
1997-12-05,11.625
1997-12-08,11.5
1997-12-09,11.5
1997-12-10,11.1875
1997-12-11,11.125
1997-12-12,11.5
1997-12-15,11.1875
1997-12-16,11.1875
1997-12-17,11.25
1997-12-18,11.1875
1997-12-19,11.1875
1997-12-22,11.375
1997-12-23,11.25
1997-12-24,11.25
1997-12-26,11.25
1997-12-29,11.0
1997-12-30,10.75
1997-12-31,11.0
1998-01-02,11.0
1998-01-05,10.8125
1998-01-06,10.6875
1998-01-07,10.6875
1998-01-08,10.5
1998-01-09,10.75
1998-01-12,10.875
1998-01-13,10.9375
1998-01-14,11.3125
1998-01-15,11.375
1998-01-16,11.375
1998-01-20,11.3125
1998-01-21,11.375
1998-01-22,11.5
1998-01-23,11.25
1998-01-26,11.125
1998-01-27,11.125
1998-01-28,11.5
1998-01-29,11.625
1998-01-30,11.875
1998-02-02,11.625
1998-02-03,11.875
1998-02-04,12.0
1998-02-05,12.0
1998-02-06,12.125
1998-02-09,12.125
1998-02-10,12.125
1998-02-11,12.0
1998-02-12,12.25
1998-02-13,11.9375
1998-02-17,12.0
1998-02-18,12.0
1998-02-19,11.8125
1998-02-20,12.0
1998-02-23,12.0
1998-02-24,12.125
1998-02-25,12.25
1998-02-26,12.375
1998-02-27,12.375
1998-03-02,12.25
1998-03-03,12.125
1998-03-04,11.84375
1998-03-05,11.78125
1998-03-06,11.625
1998-03-09,13.125
1998-03-10,13.125
1998-03-11,13.1875
1998-03-12,13.1875
1998-03-13,13.375
1998-03-16,13.5625
1998-03-17,13.75
1998-03-18,14.0
1998-03-19,14.375
1998-03-20,14.25
1998-03-23,13.875
1998-03-24,13.875
1998-03-25,13.875
1998-03-26,13.875
1998-03-27,13.875
1998-03-30,14.0
1998-03-31,14.0
1998-04-01,14.0
1998-04-02,14.125
1998-04-03,14.0
1998-04-06,13.875
1998-04-07,13.875
1998-04-08,14.125
1998-04-09,14.0
1998-04-13,14.125
1998-04-14,14.25
1998-04-15,14.25
1998-04-16,14.625
1998-04-17,14.625
1998-04-20,14.25
1998-04-21,14.53125
1998-04-22,14.75
1998-04-23,14.875
1998-04-24,14.75
1998-04-27,14.875
1998-04-28,14.75
1998-04-29,14.875
1998-04-30,14.875
1998-05-01,14.875
1998-05-04,14.9375
1998-05-05,14.6875
1998-05-06,14.25
1998-05-07,14.125
1998-05-08,14.25
1998-05-11,14.25
1998-05-12,14.4375
1998-05-13,14.3125
1998-05-14,14.3125
1998-05-15,14.5
1998-05-18,14.375
1998-05-19,14.75
1998-05-20,14.4375
1998-05-21,14.5
1998-05-22,14.375
1998-05-26,14.375
1998-05-27,14.3125
1998-05-28,14.3125
1998-05-29,14.1875
1998-06-01,14.1875
1998-06-02,14.125
1998-06-03,14.125
1998-06-04,13.9375
1998-06-05,14.1875
1998-06-08,14.0625
1998-06-09,14.0
1998-06-10,14.0
1998-06-11,14.0
1998-06-12,14.0
1998-06-15,14.0
1998-06-16,14.0
1998-06-17,14.5
1998-06-18,14.625
1998-06-19,14.375
1998-06-22,14.625
1998-06-23,14.5625
1998-06-24,14.5
1998-06-25,14.625
1998-06-26,14.5625
1998-06-29,14.5
1998-06-30,14.375
1998-07-01,14.375
1998-07-02,14.375
1998-07-06,14.5
1998-07-07,14.4375
1998-07-08,14.875
1998-07-09,14.6875
1998-07-10,14.9375
1998-07-13,14.8125
1998-07-14,15.0
1998-07-15,15.125
1998-07-16,15.1875
1998-07-17,15.75
1998-07-20,16.125
1998-07-21,16.0
1998-07-22,15.75
1998-07-23,15.8125
1998-07-24,15.875
1998-07-27,15.375
1998-07-28,14.75
1998-07-29,15.125
1998-07-30,14.875
1998-07-31,14.75
1998-08-03,14.125
1998-08-04,13.9375
1998-08-05,13.5
1998-08-06,13.875
1998-08-07,13.5
1998-08-10,13.375
1998-08-11,13.125
1998-08-12,13.25
1998-08-13,13.375
1998-08-14,13.0
1998-08-17,13.3125
1998-08-18,13.25
1998-08-19,13.3125
1998-08-20,13.25
1998-08-21,12.875
1998-08-24,12.875
1998-08-25,12.5625
1998-08-26,11.8125
1998-08-27,11.875
1998-08-28,11.75
1998-08-31,11.0
1998-09-01,11.75
1998-09-02,13.0
1998-09-03,12.6875
1998-09-04,12.5625
1998-09-08,13.0
1998-09-09,13.25
1998-09-10,12.9375
1998-09-11,13.125
1998-09-14,13.0
1998-09-15,13.0
1998-09-16,13.0
1998-09-17,12.875
1998-09-18,12.875
1998-09-21,12.875
1998-09-22,12.9375
1998-09-23,13.0
1998-09-24,13.0
1998-09-25,13.0
1998-09-28,13.0
1998-09-29,13.0625
1998-09-30,13.0
1998-10-01,13.25
1998-10-02,13.0
1998-10-05,13.09375
1998-10-06,13.0625
1998-10-07,12.9375
1998-10-08,12.75
1998-10-09,12.9375
1998-10-12,12.8125
1998-10-13,13.0
1998-10-14,12.875
1998-10-15,13.0625
1998-10-16,13.0625
1998-10-19,12.9375
1998-10-20,13.125
1998-10-21,13.375
1998-10-22,14.0
1998-10-23,14.0
1998-10-26,14.5
1998-10-27,14.75
1998-10-28,14.9375
1998-10-29,15.1875
1998-10-30,14.875
1998-11-02,15.0
1998-11-03,14.875
1998-11-04,14.75
1998-11-05,14.5
1998-11-06,14.6875
1998-11-09,14.5625
1998-11-10,14.5625
1998-11-11,14.4375
1998-11-12,14.0625
1998-11-13,14.25
1998-11-16,14.6875
1998-11-17,14.375
1998-11-18,14.625
1998-11-19,14.75
1998-11-20,14.625
1998-11-23,14.4375
1998-11-24,14.3125
1998-11-25,14.375
1998-11-27,14.3125
1998-11-30,14.3125
1998-12-01,14.125
1998-12-02,14.125
1998-12-03,14.125
1998-12-04,14.25
1998-12-07,14.0
1998-12-08,13.90625
1998-12-09,14.0625
1998-12-10,13.875
1998-12-11,13.875
1998-12-14,13.875
1998-12-15,13.875
1998-12-16,13.65625
1998-12-17,13.625
1998-12-18,13.0625
1998-12-21,13.1875
1998-12-22,13.25
1998-12-23,13.3125
1998-12-24,13.3125
1998-12-28,13.0
1998-12-29,13.125
1998-12-30,13.0625
1998-12-31,13.125
1999-01-04,13.25
1999-01-05,13.5
1999-01-06,13.5625
1999-01-07,13.3125
1999-01-08,13.5625
1999-01-11,13.4375
1999-01-12,13.4375
1999-01-13,13.375
1999-01-14,13.625
1999-01-15,13.625
1999-01-19,13.375
1999-01-20,13.5625
1999-01-21,13.875
1999-01-22,14.0625
1999-01-25,14.0625
1999-01-26,14.0625
1999-01-27,14.25
1999-01-28,14.625
1999-01-29,14.5
1999-02-01,14.5
1999-02-02,14.625
1999-02-03,14.625
1999-02-04,14.5625
1999-02-05,14.5
1999-02-08,14.6875
1999-02-09,14.5625
1999-02-10,14.4375
1999-02-11,14.3125
1999-02-12,14.125
1999-02-16,14.25
1999-02-17,14.1875
1999-02-18,14.125
1999-02-19,14.1875
1999-02-22,14.0625
1999-02-23,13.8125
1999-02-24,13.6875
1999-02-25,13.6875
1999-02-26,13.75
1999-03-01,13.625
1999-03-02,13.5625
1999-03-03,13.3125
1999-03-04,13.375
1999-03-05,13.375
1999-03-08,13.375
1999-03-09,13.375
1999-03-10,13.375
1999-03-11,13.375
1999-03-12,13.25
1999-03-15,13.25
1999-03-16,13.375
1999-03-17,13.4375
1999-03-18,13.375
1999-03-19,13.5
1999-03-22,13.5
1999-03-23,13.4375
1999-03-24,13.5
1999-03-25,13.625
1999-03-26,13.75
1999-03-29,13.71875
1999-03-30,13.5625
1999-03-31,13.4375
1999-04-01,13.4375
1999-04-05,13.3125
1999-04-06,13.3125
1999-04-07,13.3125
1999-04-08,13.5
1999-04-09,13.4375
1999-04-12,13.4375
1999-04-13,13.4375
1999-04-14,13.5
1999-04-15,13.5
1999-04-16,13.5625
1999-04-19,13.4375
1999-04-20,13.4375
1999-04-21,13.5
1999-04-22,13.5
1999-04-23,13.5625
1999-04-26,14.5
1999-04-27,14.4375
1999-04-28,14.4375
1999-04-29,14.5625
1999-04-30,14.5625
1999-05-03,14.5625
1999-05-04,14.5625
1999-05-05,14.5625
1999-05-06,14.5625
1999-05-07,14.5625
1999-05-10,14.75
1999-05-11,14.875
1999-05-12,14.6875
1999-05-13,14.8125
1999-05-14,15.0
1999-05-17,15.0
1999-05-18,14.75
1999-05-19,14.75
1999-05-20,14.75
1999-05-21,14.75
1999-05-24,15.0
1999-05-25,15.25
1999-05-26,15.5625
1999-05-27,15.375
1999-05-28,15.375
1999-06-01,15.5
1999-06-02,15.875
1999-06-03,16.75
1999-06-04,16.375
1999-06-07,16.0
1999-06-08,16.0
1999-06-09,15.875
1999-06-10,15.875
1999-06-11,15.75
1999-06-14,15.75
1999-06-15,16.0
1999-06-16,16.0
1999-06-17,16.0
1999-06-18,16.0
1999-06-21,15.875
1999-06-22,15.5
1999-06-23,15.375
1999-06-24,15.375
1999-06-25,15.375
1999-06-28,15.375
1999-06-29,15.375
1999-06-30,15.625
1999-07-01,15.375
1999-07-02,15.5
1999-07-06,15.375
1999-07-07,15.625
1999-07-08,15.375
1999-07-09,15.5
1999-07-12,15.4375
1999-07-13,15.625
1999-07-14,15.5625
1999-07-15,16.0
1999-07-16,15.5625
1999-07-19,15.875
1999-07-20,15.9375
1999-07-21,15.9375
1999-07-22,16.125
1999-07-23,16.125
1999-07-26,16.375
1999-07-27,16.25
1999-07-28,16.125
1999-07-29,16.0625
1999-07-30,16.0625
1999-08-02,16.0625
1999-08-03,16.1875
1999-08-04,15.75
1999-08-05,15.875
1999-08-06,15.875
1999-08-09,15.5625
1999-08-10,15.5625
1999-08-11,15.375
1999-08-12,15.375
1999-08-13,15.0
1999-08-16,14.75
1999-08-17,14.5
1999-08-18,14.5
1999-08-19,14.5
1999-08-20,14.5
1999-08-23,14.375
1999-08-24,14.8125
1999-08-25,14.5
1999-08-26,14.625
1999-08-27,14.875
1999-08-30,14.5
1999-08-31,14.5625
1999-09-01,14.875
1999-09-02,14.8125
1999-09-03,14.8125
1999-09-07,14.8125
1999-09-08,14.875
1999-09-09,14.8125
1999-09-10,15.0
1999-09-13,15.125
1999-09-14,15.25
1999-09-15,15.125
1999-09-16,15.125
1999-09-17,14.875
1999-09-20,14.875
1999-09-21,14.875
1999-09-22,14.875
1999-09-23,15.0
1999-09-24,15.25
1999-09-27,15.5
1999-09-28,15.875
1999-09-29,15.625
1999-09-30,15.625
1999-10-01,15.75
1999-10-04,15.625
1999-10-05,15.5
1999-10-06,15.5
1999-10-07,15.5625
1999-10-08,15.5
1999-10-11,15.5
1999-10-12,15.5
1999-10-13,15.25
1999-10-14,15.25
1999-10-15,15.25
1999-10-18,15.25
1999-10-19,15.0
1999-10-20,15.0
1999-10-21,14.5
1999-10-22,14.5
1999-10-25,14.5
1999-10-26,14.375
1999-10-27,14.375
1999-10-28,14.375
1999-10-29,14.375
1999-11-01,14.375
1999-11-02,14.4375
1999-11-03,14.4375
1999-11-04,14.375
1999-11-05,14.375
1999-11-08,14.1875
1999-11-09,14.0
1999-11-10,13.8125
1999-11-11,13.875
1999-11-12,13.625
1999-11-15,13.625
1999-11-16,13.625
1999-11-17,13.875
1999-11-18,13.6875
1999-11-19,13.625
1999-11-22,13.6875
1999-11-23,13.5
1999-11-24,13.5
1999-11-26,13.5
1999-11-29,13.5
1999-11-30,13.25
1999-12-01,13.1875
1999-12-02,13.125
1999-12-03,13.0
1999-12-06,13.125
1999-12-07,13.0
1999-12-08,13.0
1999-12-09,13.0
1999-12-10,13.0
1999-12-13,13.0
1999-12-14,13.0
1999-12-15,13.0
1999-12-16,13.0
1999-12-17,13.0
1999-12-20,13.0
1999-12-21,13.0
1999-12-22,13.0
1999-12-23,13.0
1999-12-27,13.0
1999-12-28,13.0
1999-12-29,13.0
1999-12-30,13.0
1999-12-31,13.125
2000-01-03,13.0
2000-01-04,13.0
2000-01-05,13.0
2000-01-06,13.125
2000-01-07,13.0
2000-01-10,13.0
2000-01-11,13.0
2000-01-12,13.0
2000-01-13,13.0625
2000-01-14,13.125
2000-01-18,13.0625
2000-01-19,13.0625
2000-01-20,13.125
2000-01-21,13.125
2000-01-24,13.125
2000-01-25,13.125
2000-01-26,13.125
2000-01-27,13.125
2000-01-28,13.125
2000-01-31,13.125
2000-02-01,13.125
2000-02-02,13.0625
2000-02-03,13.125
2000-02-04,13.0625
2000-02-07,13.0625
2000-02-08,13.0
2000-02-09,13.0
2000-02-10,13.0
2000-02-11,13.0
2000-02-14,13.0
2000-02-15,13.125
2000-02-16,13.0
2000-02-17,13.0
2000-02-18,13.0
2000-02-22,13.0
2000-02-23,13.0
2000-02-24,13.0
2000-02-25,12.875
2000-02-28,12.75
2000-02-29,12.75
2000-03-01,12.78125
2000-03-02,12.75
2000-03-03,14.75
2000-03-06,14.4375
2000-03-07,14.125
2000-03-08,14.125
2000-03-09,13.25
2000-03-10,13.625
2000-03-13,13.5
2000-03-14,13.625
2000-03-15,13.75
2000-03-16,13.6875
2000-03-17,14.125
2000-03-20,14.0
2000-03-21,14.0625
2000-03-22,14.0625
2000-03-23,14.0625
2000-03-24,14.0625
2000-03-27,14.0625
2000-03-28,14.0625
2000-03-29,14.5
2000-03-30,14.5
2000-03-31,14.625
2000-04-03,14.625
2000-04-04,14.375
2000-04-05,14.375
2000-04-06,14.5
2000-04-07,14.6875
2000-04-10,14.75
2000-04-11,14.75
2000-04-12,14.875
2000-04-13,14.875
2000-04-14,15.0
2000-04-17,15.0
2000-04-18,14.875
2000-04-19,14.75
2000-04-20,14.75
2000-04-24,14.875
2000-04-25,14.8125
2000-04-26,14.8125
2000-04-27,14.25
2000-04-28,14.25
2000-05-01,14.5
2000-05-02,14.25
2000-05-03,14.25
2000-05-04,14.25
2000-05-05,14.375
2000-05-08,14.5
2000-05-09,14.5
2000-05-10,14.4375
2000-05-11,14.4375
2000-05-12,14.25
2000-05-15,14.375
2000-05-16,14.375
2000-05-17,14.46875
2000-05-18,14.46875
2000-05-19,14.25
2000-05-22,15.0
2000-05-23,14.75
2000-05-24,14.75
2000-05-25,14.75
2000-05-26,14.75
2000-05-30,14.625
2000-05-31,14.625
2000-06-01,14.5
2000-06-02,14.5
2000-06-05,14.6875
2000-06-06,14.5
2000-06-07,14.6875
2000-06-08,14.75
2000-06-09,14.625
2000-06-12,14.625
2000-06-13,14.625
2000-06-14,14.625
2000-06-15,14.625
2000-06-16,14.625
2000-06-19,14.625
2000-06-20,14.625
2000-06-21,14.625
2000-06-22,14.625
2000-06-23,14.625
2000-06-26,14.875
2000-06-27,14.75
2000-06-28,14.75
2000-06-29,14.75
2000-06-30,14.75
2000-07-03,14.75
2000-07-05,14.75
2000-07-06,14.75
2000-07-07,14.75
2000-07-10,14.875
2000-07-11,14.75
2000-07-12,14.8125
2000-07-13,14.8125
2000-07-14,14.8125
2000-07-17,14.9375
2000-07-18,14.875
2000-07-19,14.9375
2000-07-20,15.0
2000-07-21,14.875
2000-07-24,14.9375
2000-07-25,14.875
2000-07-26,14.875
2000-07-27,14.875
2000-07-28,14.9375
2000-07-31,14.9375
2000-08-01,14.9375
2000-08-02,14.9375
2000-08-03,14.9375
2000-08-04,14.9375
2000-08-07,15.0
2000-08-08,15.1875
2000-08-09,15.3125
2000-08-10,15.0
2000-08-11,15.0625
2000-08-14,15.25
2000-08-15,15.25
2000-08-16,15.125
2000-08-17,15.125
2000-08-18,15.25
2000-08-21,15.25
2000-08-22,15.0625
2000-08-23,15.125
2000-08-24,15.0
2000-08-25,15.0625
2000-08-28,15.0
2000-08-29,15.125
2000-08-30,15.0625
2000-08-31,15.25
2000-09-01,15.125
2000-09-05,15.5625
2000-09-06,15.375
2000-09-07,15.625
2000-09-08,15.625
2000-09-11,15.625
2000-09-12,15.25
2000-09-13,15.5
2000-09-14,15.25
2000-09-15,15.5
2000-09-18,15.5
2000-09-19,15.25
2000-09-20,15.25
2000-09-21,15.25
2000-09-22,15.25
2000-09-25,15.25
2000-09-26,15.25
2000-09-27,15.0
2000-09-28,15.0
2000-09-29,15.25
2000-10-02,15.25
2000-10-03,15.0
2000-10-04,15.0625
2000-10-05,15.0
2000-10-06,15.0625
2000-10-09,15.0625
2000-10-10,15.3125
2000-10-11,15.0625
2000-10-12,15.0625
2000-10-13,15.0625
2000-10-16,15.0
2000-10-17,15.1875
2000-10-18,15.125
2000-10-19,15.0
2000-10-20,15.0
2000-10-23,15.0625
2000-10-24,15.0
2000-10-25,15.0625
2000-10-26,15.0
2000-10-27,15.125
2000-10-30,15.125
2000-10-31,15.125
2000-11-01,15.0
2000-11-02,15.0
2000-11-03,15.125
2000-11-06,15.0
2000-11-07,15.0
2000-11-08,15.1875
2000-11-09,15.0625
2000-11-10,15.125
2000-11-13,15.125
2000-11-14,15.125
2000-11-15,15.125
2000-11-16,15.1875
2000-11-17,15.1875
2000-11-20,15.375
2000-11-21,15.375
2000-11-22,15.1875
2000-11-24,15.1875
2000-11-27,15.25
2000-11-28,15.25
2000-11-29,15.375
2000-11-30,15.375
2000-12-01,15.3125
2000-12-04,15.25
2000-12-05,15.25
2000-12-06,15.25
2000-12-07,15.125
2000-12-08,15.0625
2000-12-11,15.0625
2000-12-12,15.125
2000-12-13,15.0625
2000-12-14,15.125
2000-12-15,15.125
2000-12-18,15.0625
2000-12-19,15.0625
2000-12-20,15.125
2000-12-21,15.125
2000-12-22,15.125
2000-12-26,15.125
2000-12-27,15.125
2000-12-28,15.0625
2000-12-29,15.0625
2001-01-02,15.0625
2001-01-03,15.0625
2001-01-04,15.0625
2001-01-05,15.1875
2001-01-08,15.1875
2001-01-09,15.25
2001-01-10,15.3125
2001-01-11,15.3125
2001-01-12,15.3125
2001-01-16,15.375
2001-01-17,15.3125
2001-01-18,15.3125
2001-01-19,15.3125
2001-01-22,15.375
2001-01-23,15.375
2001-01-24,15.375
2001-01-25,15.375
2001-01-26,15.4375
2001-01-29,15.625
2001-01-30,15.5
2001-01-31,15.6875
2001-02-01,15.75
2001-02-02,15.75
2001-02-05,15.6875
2001-02-06,16.0
2001-02-07,16.0625
2001-02-08,16.0625
2001-02-09,16.25
2001-02-12,16.25
2001-02-13,16.4375
2001-02-14,16.0
2001-02-15,16.0
2001-02-16,16.4375
2001-02-20,16.4375
2001-02-21,16.1875
2001-02-22,16.1875
2001-02-23,16.1875
2001-02-26,16.1875
2001-02-27,16.1875
2001-02-28,16.0
2001-03-01,16.0
2001-03-02,16.125
2001-03-05,16.125
2001-03-06,16.0
2001-03-07,16.0
2001-03-08,16.0
2001-03-09,16.0
2001-03-12,15.875
2001-03-13,15.875
2001-03-14,15.75
2001-03-15,16.0
2001-03-16,15.9375
2001-03-19,15.75
2001-03-20,15.75
2001-03-21,15.75
2001-03-22,15.75
2001-03-23,15.75
2001-03-26,15.75
2001-03-27,15.75
2001-03-28,15.6875
2001-03-29,15.75
2001-03-30,15.75
2001-04-02,16.25
2001-04-03,16.0
2001-04-04,16.125
2001-04-05,16.125
2001-04-06,16.125
2001-04-09,16.25
2001-04-10,16.25
2001-04-11,16.379998999999998
2001-04-12,16.549999
2001-04-16,16.25
2001-04-17,16.25
2001-04-18,16.440001000000002
2001-04-19,16.299999
2001-04-20,16.299999
2001-04-23,16.299999
2001-04-24,16.549999
2001-04-25,16.35
2001-04-26,16.27
2001-04-27,16.120001000000002
2001-04-30,16.15
2001-05-01,16.15
2001-05-02,16.35
2001-05-03,16.370001000000002
2001-05-04,16.5
2001-05-07,16.75
2001-05-08,16.75
2001-05-09,16.5
2001-05-10,16.5
2001-05-11,16.5
2001-05-14,16.6
2001-05-15,16.6
2001-05-16,16.6
2001-05-17,16.6
2001-05-18,16.6
2001-05-21,16.65
2001-05-22,16.65
2001-05-23,16.65
2001-05-24,16.75
2001-05-25,16.65
2001-05-29,16.700001
2001-05-30,16.65
2001-05-31,16.700001
2001-06-01,17.0
2001-06-04,18.0
2001-06-05,19.0
2001-06-06,19.0
2001-06-07,18.85
2001-06-08,19.15
2001-06-11,18.25
2001-06-12,18.049999
2001-06-13,18.049999
2001-06-14,17.799999
2001-06-15,18.450001
2001-06-18,17.75
2001-06-19,17.799999
2001-06-20,17.799999
2001-06-21,17.9
2001-06-22,17.85
2001-06-25,17.799999
2001-06-26,18.0
2001-06-27,18.0
2001-06-28,18.75
2001-06-29,19.0
2001-07-02,21.0
2001-07-03,20.299999
2001-07-05,20.299999
2001-07-06,21.0
2001-07-09,20.450001
2001-07-10,20.450001
2001-07-11,20.549999
2001-07-12,21.75
2001-07-13,22.299999
2001-07-16,21.5
2001-07-17,20.5
2001-07-18,20.5
2001-07-19,20.65
2001-07-20,20.75
