Date,EVA
2015-04-29,21.5
2015-04-30,21.190001000000002
2015-05-01,21.4
2015-05-04,21.26
2015-05-05,21.35
2015-05-06,21.16
2015-05-07,21.190001000000002
2015-05-08,21.75
2015-05-11,21.65
2015-05-12,21.18
2015-05-13,21.030001000000002
2015-05-14,20.85
2015-05-15,21.01
2015-05-18,20.34
2015-05-19,20.57
2015-05-20,20.1
2015-05-21,20.67
2015-05-22,21.1
2015-05-26,20.959999
2015-05-27,20.889999
2015-05-28,20.33
2015-05-29,20.360001
2015-06-01,20.450001
2015-06-02,20.1
2015-06-03,20.25
2015-06-04,19.26
2015-06-05,19.82
2015-06-08,19.9
2015-06-09,19.799999
2015-06-10,19.940001000000002
2015-06-11,19.059998999999998
2015-06-12,19.030001000000002
2015-06-15,19.16
2015-06-16,18.9
2015-06-17,19.219998999999998
2015-06-18,19.549999
2015-06-19,19.559998999999998
2015-06-22,18.9
2015-06-23,18.450001
2015-06-24,18.74
2015-06-25,18.040001
2015-06-26,18.139999
2015-06-29,18.040001
2015-06-30,18.09
2015-07-01,18.25
2015-07-02,18.52
2015-07-06,18.27
2015-07-07,18.25
2015-07-08,16.92
2015-07-09,16.93
2015-07-10,16.639999
2015-07-13,16.73
2015-07-14,16.959999
2015-07-15,16.93
2015-07-16,16.889999
2015-07-17,16.68
2015-07-20,16.549999
2015-07-21,16.139999
2015-07-22,15.98
2015-07-23,15.99
2015-07-24,15.68
2015-07-27,15.53
2015-07-28,15.21
2015-07-29,14.95
2015-07-30,14.94
2015-07-31,15.45
2015-08-03,16.290001
2015-08-04,15.87
2015-08-05,15.82
2015-08-06,15.5
2015-08-07,15.16
2015-08-10,15.21
2015-08-11,14.87
2015-08-12,14.91
2015-08-13,14.95
2015-08-14,15.11
2015-08-17,15.07
2015-08-18,14.6
2015-08-19,14.34
2015-08-20,14.16
2015-08-21,14.04
2015-08-24,13.49
2015-08-25,13.05
2015-08-26,12.32
2015-08-27,12.49
2015-08-28,12.51
2015-08-31,13.05
2015-09-01,12.96
2015-09-02,12.9
2015-09-03,12.78
2015-09-04,12.68
2015-09-08,12.84
2015-09-09,12.58
2015-09-10,12.47
2015-09-11,12.43
2015-09-14,12.5
2015-09-15,12.48
2015-09-16,12.5
2015-09-17,12.36
2015-09-18,12.48
2015-09-21,12.47
2015-09-22,12.41
2015-09-23,12.41
2015-09-24,12.52
2015-09-25,12.42
2015-09-28,12.22
2015-09-29,11.96
2015-09-30,12.5
2015-10-01,12.4
2015-10-02,12.375
2015-10-05,12.962
2015-10-06,13.56
2015-10-07,14.4
2015-10-08,14.33
2015-10-09,14.08
2015-10-12,13.79
2015-10-13,13.84
2015-10-14,14.15
2015-10-15,14.77
