Date,FN
2010-06-25,10.75
2010-06-28,10.76
2010-06-29,10.76
2010-06-30,10.7
2010-07-01,10.67
2010-07-02,10.76
2010-07-06,10.89
2010-07-07,11.06
2010-07-08,11.02
2010-07-09,11.0
2010-07-12,10.84
2010-07-13,10.75
2010-07-14,10.61
2010-07-15,10.68
2010-07-16,10.83
2010-07-19,10.99
2010-07-20,10.84
2010-07-21,10.74
2010-07-22,10.77
2010-07-23,10.5
2010-07-26,10.17
2010-07-27,10.02
2010-07-28,10.07
2010-07-29,10.3
2010-07-30,10.16
2010-08-02,10.02
2010-08-03,9.9
2010-08-04,10.83
2010-08-05,11.07
2010-08-06,11.25
2010-08-09,11.74
2010-08-10,13.09
2010-08-11,13.61
2010-08-12,14.3
2010-08-13,15.45
2010-08-16,15.59
2010-08-17,15.21
2010-08-18,15.74
2010-08-19,15.17
2010-08-20,13.85
2010-08-23,13.77
2010-08-24,12.42
2010-08-25,11.85
2010-08-26,11.24
2010-08-27,12.39
2010-08-30,12.56
2010-08-31,12.21
2010-09-01,12.52
2010-09-02,12.67
2010-09-03,14.04
2010-09-07,13.93
2010-09-08,13.98
2010-09-09,14.12
2010-09-10,14.0
2010-09-13,14.01
2010-09-14,13.7
2010-09-15,14.63
2010-09-16,16.17
2010-09-17,15.66
2010-09-20,15.7
2010-09-21,15.8
2010-09-22,15.0
2010-09-23,13.74
2010-09-24,14.52
2010-09-27,15.65
2010-09-28,15.7
2010-09-29,15.46
2010-09-30,15.82
2010-10-01,16.41
2010-10-04,16.77
2010-10-05,16.709999
2010-10-06,15.39
2010-10-07,15.11
2010-10-08,15.06
2010-10-11,15.38
2010-10-12,16.23
2010-10-13,16.83
2010-10-14,18.17
2010-10-15,19.190001000000002
2010-10-18,18.809998999999998
2010-10-19,17.49
2010-10-20,17.75
2010-10-21,16.879998999999998
2010-10-22,16.629998999999998
2010-10-25,16.299999
2010-10-26,15.98
2010-10-27,15.99
2010-10-28,13.86
2010-10-29,14.08
2010-11-01,13.42
2010-11-02,15.33
2010-11-03,15.25
2010-11-04,15.05
2010-11-05,15.02
2010-11-08,15.26
2010-11-09,16.200001
2010-11-10,17.190001000000002
2010-11-11,18.0
2010-11-12,18.969998999999998
2010-11-15,19.700001
2010-11-16,17.01
2010-11-17,16.49
2010-11-18,16.530001000000002
2010-11-19,16.559998999999998
2010-11-22,17.48
2010-11-23,18.0
2010-11-24,18.459999
2010-11-26,17.139999
2010-11-29,18.049999
2010-11-30,17.24
2010-12-01,16.51
2010-12-02,16.41
2010-12-03,17.030001000000002
2010-12-06,17.379998999999998
2010-12-07,17.41
2010-12-08,18.18
2010-12-09,19.93
2010-12-10,19.32
2010-12-13,20.200001
2010-12-14,21.07
2010-12-15,21.280001000000002
2010-12-16,21.360001
2010-12-17,21.26
2010-12-20,21.620001000000002
2010-12-21,21.709999
2010-12-22,21.09
2010-12-23,21.049999
2010-12-27,21.040001
2010-12-28,21.6
2010-12-29,20.790001
2010-12-30,21.059998999999998
2010-12-31,21.5
2011-01-03,21.83
2011-01-04,21.629998999999998
2011-01-05,21.870001000000002
2011-01-06,21.84
2011-01-07,22.190001000000002
2011-01-10,23.440001000000002
2011-01-11,23.610001
2011-01-12,24.040001
2011-01-13,25.049999
2011-01-14,25.5
2011-01-18,25.049999
2011-01-19,23.4
2011-01-20,23.299999
2011-01-21,22.4
2011-01-24,21.98
2011-01-25,22.73
2011-01-26,22.6
2011-01-27,22.209999
2011-01-28,24.110001
2011-01-31,23.950001
2011-02-01,25.77
2011-02-02,26.290001
2011-02-03,26.16
2011-02-04,28.440001000000002
2011-02-07,27.379998999999998
2011-02-08,27.02
2011-02-09,27.790001
2011-02-10,27.83
2011-02-11,30.0
2011-02-14,30.83
2011-02-15,31.25
2011-02-16,31.02
2011-02-17,31.65
2011-02-18,31.540001
2011-02-22,27.98
2011-02-23,27.799999
2011-02-24,27.66
2011-02-25,28.99
2011-02-28,29.23
2011-03-01,29.02
2011-03-02,28.459999
2011-03-03,29.540001
2011-03-04,29.0
2011-03-07,27.0
2011-03-08,27.1
2011-03-09,20.49
2011-03-10,21.02
2011-03-11,20.09
2011-03-14,20.719998999999998
2011-03-15,21.049999
2011-03-16,20.6
2011-03-17,19.809998999999998
2011-03-18,18.76
