Date,FPAC
2018-06-27,9.745
2018-06-28,9.74
2018-06-29,9.75
2018-07-02,9.75
2018-07-03,9.75
2018-07-05,9.79
2018-07-06,9.75
2018-07-09,9.75
2018-07-10,9.68
2018-07-11,9.63
2018-07-12,9.69
2018-07-13,9.69
2018-07-16,9.69
2018-07-17,9.68
2018-07-18,9.68
2018-07-19,9.68
2018-07-20,9.67
2018-07-23,9.67
2018-07-24,9.7
2018-07-25,9.76
2018-07-26,9.74
2018-07-27,9.74
2018-07-30,9.74
2018-07-31,9.7
2018-08-01,9.74
2018-08-02,9.74
2018-08-03,9.74
2018-08-06,9.73
2018-08-07,9.719
2018-08-08,9.69
2018-08-09,9.695
2018-08-10,9.69
2018-08-13,9.63
2018-08-14,9.62
2018-08-15,9.635
2018-08-16,9.615
2018-08-17,9.67
2018-08-20,9.65
2018-08-21,9.65
2018-08-22,9.66
2018-08-23,9.67
2018-08-24,9.67
2018-08-27,9.72
2018-08-28,9.72
2018-08-29,9.7
2018-08-30,9.7
2018-08-31,9.7
2018-09-04,9.69
2018-09-05,9.7
2018-09-06,9.71
2018-09-07,9.7
2018-09-10,9.73
2018-09-11,9.71
2018-09-12,9.72
2018-09-13,9.72
2018-09-14,9.66
2018-09-17,9.65
2018-09-18,9.65
2018-09-19,9.595
2018-09-20,9.66
2018-09-21,9.6
2018-09-24,9.63
2018-09-25,9.61
2018-09-26,9.6
2018-09-27,9.6
2018-09-28,9.633
2018-10-01,9.7
2018-10-02,9.7
2018-10-03,9.7
2018-10-04,9.68
2018-10-05,9.69
2018-10-08,9.69
2018-10-09,9.7
2018-10-10,9.65
2018-10-11,9.65
2018-10-12,9.62
2018-10-15,9.66
2018-10-16,9.65
2018-10-17,9.66
2018-10-18,9.65
2018-10-19,9.65
2018-10-22,9.65
2018-10-23,9.61
2018-10-24,9.64
2018-10-25,9.636
2018-10-26,9.65
2018-10-29,9.65
2018-10-30,9.65
2018-10-31,9.63
2018-11-01,9.65
2018-11-02,9.65
2018-11-05,9.65
2018-11-06,9.61
2018-11-07,9.61
2018-11-08,9.64
2018-11-09,9.64
2018-11-12,9.63
2018-11-13,9.63
2018-11-14,9.63
2018-11-15,9.63
2018-11-16,9.64
2018-11-19,9.64
2018-11-20,9.64
2018-11-21,9.64
2018-11-23,9.62
2018-11-26,9.65
2018-11-27,9.65
2018-11-28,9.65
2018-11-29,9.65
2018-11-30,9.62
2018-12-03,9.64
2018-12-04,9.65
2018-12-06,9.69
2018-12-07,9.69
2018-12-10,9.66
2018-12-11,9.65
2018-12-12,9.66
2018-12-13,9.65
2018-12-14,9.65
2018-12-17,9.695
2018-12-18,9.65
2018-12-19,9.67
2018-12-20,9.65
2018-12-21,9.65
2018-12-24,9.65
2018-12-26,9.68
2018-12-27,9.65
2018-12-28,9.65
2018-12-31,9.65
2019-01-02,9.65
2019-01-03,9.65
2019-01-04,9.65
2019-01-07,9.68
2019-01-08,9.67
2019-01-09,9.679
2019-01-10,9.7
2019-01-11,9.707
2019-01-14,9.68
2019-01-15,9.71
2019-01-16,9.67
2019-01-17,9.74
2019-01-18,9.75
2019-01-22,9.77
2019-01-23,9.77
2019-01-24,9.77
2019-01-25,9.75
2019-01-28,9.761
2019-01-29,9.73
2019-01-30,9.76
2019-01-31,9.765
2019-02-01,9.77
2019-02-04,9.77
2019-02-05,9.77
2019-02-06,9.82
2019-02-07,9.82
2019-02-08,9.82
2019-02-11,9.79
2019-02-12,9.81
2019-02-13,9.8
2019-02-14,9.84
2019-02-15,9.8
2019-02-19,9.81
2019-02-20,9.85
2019-02-21,9.85
2019-02-22,9.86
