Date,FPH
2017-05-10,15.04
2017-05-11,15.21
2017-05-12,15.96
2017-05-15,16.450001
2017-05-16,16.120001000000002
2017-05-17,16.0
2017-05-18,15.93
2017-05-19,16.0
2017-05-22,15.81
2017-05-23,15.98
2017-05-24,15.66
2017-05-25,16.030001000000002
2017-05-26,15.72
2017-05-30,15.69
2017-05-31,15.61
2017-06-01,15.65
2017-06-02,15.7
2017-06-05,15.5
2017-06-06,15.37
2017-06-07,15.14
2017-06-08,14.98
2017-06-09,15.25
2017-06-12,14.85
2017-06-13,14.72
2017-06-14,14.47
2017-06-15,14.38
2017-06-16,14.25
2017-06-19,14.55
2017-06-20,14.61
2017-06-21,14.56
2017-06-22,14.55
2017-06-23,14.51
2017-06-26,14.53
2017-06-27,14.33
2017-06-28,14.86
2017-06-29,14.73
2017-06-30,14.76
2017-07-03,14.79
2017-07-05,14.37
2017-07-06,14.1
2017-07-07,14.01
2017-07-10,14.52
2017-07-11,14.3
2017-07-12,14.35
2017-07-13,14.54
2017-07-14,14.25
2017-07-17,14.42
2017-07-18,14.51
2017-07-19,14.47
2017-07-20,14.55
2017-07-21,14.57
2017-07-24,14.3
2017-07-25,14.53
2017-07-26,14.65
2017-07-27,14.65
2017-07-28,14.62
2017-07-31,14.9
2017-08-01,15.0
2017-08-02,14.9
2017-08-03,14.77
2017-08-04,15.11
2017-08-07,15.0
2017-08-08,15.0
2017-08-09,14.53
2017-08-10,13.81
2017-08-11,13.75
2017-08-14,14.01
2017-08-15,14.05
2017-08-16,14.25
2017-08-17,14.11
2017-08-18,14.11
2017-08-21,14.1
2017-08-22,14.02
2017-08-23,14.46
2017-08-24,14.28
2017-08-25,13.99
2017-08-28,14.35
2017-08-29,14.38
2017-08-30,14.42
2017-08-31,14.15
2017-09-01,14.26
2017-09-05,13.73
2017-09-06,13.45
2017-09-07,13.26
2017-09-08,13.37
2017-09-11,13.42
2017-09-12,13.43
2017-09-13,13.41
2017-09-14,13.35
2017-09-15,13.37
2017-09-18,13.57
2017-09-19,13.53
2017-09-20,13.6
2017-09-21,13.35
2017-09-22,13.06
2017-09-25,13.17
2017-09-26,13.58
2017-09-27,13.5
2017-09-28,13.53
2017-09-29,13.64
2017-10-02,13.55
2017-10-03,13.51
2017-10-04,13.58
2017-10-05,13.81
2017-10-06,13.71
2017-10-09,13.7
2017-10-10,13.64
2017-10-11,13.75
2017-10-12,13.69
2017-10-13,13.61
2017-10-16,13.27
2017-10-17,13.46
2017-10-18,13.1
2017-10-19,13.07
2017-10-20,13.23
2017-10-23,13.09
2017-10-24,13.0
2017-10-25,13.04
2017-10-26,12.83
2017-10-27,13.08
2017-10-30,12.83
2017-10-31,12.85
2017-11-01,12.81
2017-11-02,12.25
2017-11-03,12.63
2017-11-06,12.72
2017-11-07,12.62
2017-11-08,13.3
2017-11-09,13.25
2017-11-10,13.74
2017-11-13,13.76
2017-11-14,14.2
2017-11-15,13.83
2017-11-16,14.01
2017-11-17,13.84
2017-11-20,13.95
2017-11-21,13.9
2017-11-22,13.89
2017-11-24,13.91
2017-11-27,13.64
2017-11-28,13.85
2017-11-29,13.9
2017-11-30,14.0
2017-12-01,14.35
2017-12-04,14.19
2017-12-05,14.05
2017-12-06,14.0
2017-12-07,14.06
2017-12-08,14.13
2017-12-11,14.2
2017-12-12,14.0
2017-12-13,14.03
2017-12-14,14.07
2017-12-15,14.13
2017-12-18,14.1
2017-12-19,13.98
2017-12-20,14.0
2017-12-21,14.02
2017-12-22,13.81
2017-12-26,13.8
2017-12-27,13.71
2017-12-28,14.06
2017-12-29,14.1
2018-01-02,14.07
2018-01-03,14.63
2018-01-04,14.41
2018-01-05,14.22
2018-01-08,14.09
2018-01-09,14.04
2018-01-10,14.56
2018-01-11,14.95
2018-01-12,14.83
2018-01-16,14.59
2018-01-17,14.81
2018-01-18,15.0
2018-01-19,14.95
2018-01-22,14.62
2018-01-23,14.65
2018-01-24,14.36
2018-01-25,14.19
2018-01-26,14.01
2018-01-29,13.71
2018-01-30,13.69
2018-01-31,13.8
2018-02-01,13.94
2018-02-02,13.62
2018-02-05,13.15
2018-02-06,13.11
2018-02-07,12.91
2018-02-08,12.86
2018-02-09,12.81
2018-02-12,13.16
2018-02-13,13.2
2018-02-14,13.26
2018-02-15,13.43
2018-02-16,13.74
2018-02-20,13.67
2018-02-21,13.64
2018-02-22,13.65
2018-02-23,13.72
2018-02-26,13.78
2018-02-27,13.67
2018-02-28,13.51
2018-03-01,13.55
2018-03-02,13.99
2018-03-05,14.25
2018-03-06,14.19
2018-03-07,14.16
2018-03-08,14.18
2018-03-09,14.25
2018-03-12,14.27
2018-03-13,14.76
2018-03-14,14.54
2018-03-15,14.33
2018-03-16,14.23
2018-03-19,14.36
2018-03-20,14.34
2018-03-21,14.42
2018-03-22,14.4
2018-03-23,14.37
2018-03-26,14.64
2018-03-27,14.63
2018-03-28,14.25
2018-03-29,14.26
2018-04-02,14.23
2018-04-03,14.32
2018-04-04,14.71
2018-04-05,14.93
2018-04-06,14.72
2018-04-09,14.58
2018-04-10,14.34
2018-04-11,14.53
2018-04-12,14.45
2018-04-13,14.17
2018-04-16,13.92
2018-04-17,14.07
2018-04-18,14.21
2018-04-19,14.04
2018-04-20,14.11
2018-04-23,14.03
2018-04-24,13.77
2018-04-25,13.43
2018-04-26,13.41
2018-04-27,13.39
2018-04-30,13.3
2018-05-01,13.59
2018-05-02,13.34
2018-05-03,13.05
2018-05-04,13.22
2018-05-07,13.21
2018-05-08,13.24
2018-05-09,13.06
2018-05-10,13.03
2018-05-11,13.26
2018-05-14,13.09
2018-05-15,12.36
2018-05-16,12.3
2018-05-17,12.26
2018-05-18,11.87
2018-05-21,11.47
2018-05-22,11.66
2018-05-23,11.6
2018-05-24,11.47
2018-05-25,11.46
2018-05-29,11.78
2018-05-30,11.18
2018-05-31,11.16
2018-06-01,11.12
2018-06-04,11.08
2018-06-05,11.56
2018-06-06,11.57
2018-06-07,11.44
2018-06-08,11.46
2018-06-11,11.23
2018-06-12,11.38
2018-06-13,11.01
2018-06-14,10.96
2018-06-15,10.7
2018-06-18,10.67
2018-06-19,10.67
2018-06-20,10.62
2018-06-21,11.07
2018-06-22,11.05
2018-06-25,11.0
2018-06-26,11.24
2018-06-27,11.01
2018-06-28,11.28
2018-06-29,11.25
2018-07-02,11.19
2018-07-03,11.23
2018-07-05,11.72
2018-07-06,11.68
2018-07-09,11.81
2018-07-10,12.12
2018-07-11,12.05
2018-07-12,12.18
2018-07-13,12.29
2018-07-16,12.25
2018-07-17,12.36
2018-07-18,12.23
2018-07-19,12.2
2018-07-20,12.1
2018-07-23,11.78
2018-07-24,11.87
2018-07-25,11.38
2018-07-26,11.14
2018-07-27,11.14
2018-07-30,11.28
2018-07-31,11.19
2018-08-01,11.21
2018-08-02,11.02
2018-08-03,11.05
2018-08-06,11.04
2018-08-07,11.15
2018-08-08,11.32
2018-08-09,11.41
2018-08-10,11.06
2018-08-13,11.02
2018-08-14,10.96
2018-08-15,10.65
2018-08-16,10.87
2018-08-17,10.71
2018-08-20,10.77
2018-08-21,11.17
2018-08-22,11.34
2018-08-23,11.14
2018-08-24,10.98
2018-08-27,10.99
2018-08-28,11.0
2018-08-29,11.01
2018-08-30,11.05
2018-08-31,10.94
2018-09-04,10.65
2018-09-05,10.51
2018-09-06,10.56
2018-09-07,10.4
2018-09-10,10.29
2018-09-11,10.22
2018-09-12,10.15
2018-09-13,10.09
2018-09-14,10.29
2018-09-17,10.17
2018-09-18,10.11
2018-09-19,10.09
2018-09-20,10.09
2018-09-21,9.97
2018-09-24,9.86
2018-09-25,9.75
2018-09-26,9.73
2018-09-27,9.55
2018-09-28,9.41
2018-10-01,9.24
2018-10-02,9.11
2018-10-03,9.35
2018-10-04,9.11
2018-10-05,9.01
2018-10-08,9.18
2018-10-09,9.05
2018-10-10,8.39
2018-10-11,8.32
2018-10-12,8.32
2018-10-15,8.32
2018-10-16,8.56
2018-10-17,8.31
2018-10-18,7.99
2018-10-19,7.94
2018-10-22,7.86
2018-10-23,7.68
2018-10-24,7.33
2018-10-25,7.44
2018-10-26,7.53
2018-10-29,7.69
2018-10-30,7.44
2018-10-31,7.6
2018-11-01,8.1
2018-11-02,8.01
2018-11-05,7.95
2018-11-06,8.16
2018-11-07,8.11
2018-11-08,7.77
2018-11-09,7.54
2018-11-12,7.61
2018-11-13,7.73
2018-11-14,7.26
2018-11-15,7.52
2018-11-16,7.59
2018-11-19,7.12
2018-11-20,7.15
2018-11-21,7.52
2018-11-23,7.51
2018-11-26,7.52
2018-11-27,7.57
2018-11-28,7.84
2018-11-29,7.8
2018-11-30,7.67
2018-12-03,7.82
2018-12-04,7.6
2018-12-06,7.98
2018-12-07,8.13
2018-12-10,8.21
2018-12-11,8.19
2018-12-12,8.08
2018-12-13,7.99
2018-12-14,7.93
2018-12-17,7.72
2018-12-18,7.82
2018-12-19,7.69
2018-12-20,7.44
2018-12-21,7.21
2018-12-24,7.04
2018-12-26,7.22
2018-12-27,7.12
2018-12-28,6.93
2018-12-31,6.94
2019-01-02,6.9
2019-01-03,7.18
2019-01-04,7.28
2019-01-07,7.7
2019-01-08,7.92
2019-01-09,8.06
2019-01-10,8.08
2019-01-11,7.72
2019-01-14,7.68
2019-01-15,7.6
2019-01-16,7.4
2019-01-17,7.34
2019-01-18,7.1
2019-01-22,7.05
2019-01-23,7.07
2019-01-24,7.13
2019-01-25,7.12
