Date,IM
2018-01-24,3041.540039
2018-01-25,
2018-01-26,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,
2018-02-02,
2018-02-05,
2018-02-06,
2018-02-07,
2018-02-08,
2018-02-09,
2018-02-12,
2018-02-13,
2018-02-14,
2018-02-15,
2018-02-16,
2018-02-20,
2018-02-21,
2018-02-22,
2018-02-23,
2018-02-26,
2018-02-27,
2018-02-28,
2018-03-01,
2018-03-02,
2018-03-05,
2018-03-06,
2018-03-07,
2018-03-08,
2018-03-09,
2018-03-12,
2018-03-13,
2018-03-14,
2018-03-15,2842.790039
2018-03-16,2826.419922
2018-03-19,
2018-03-20,2795.610107
2018-03-21,2820.3798829999996
2018-03-22,2812.810059
2018-03-23,2766.310059
2018-03-26,2784.929932
2018-03-27,2780.790039
2018-03-28,2739.51001
2018-03-29,
2018-04-02,2724.090088
2018-04-03,2776.199951
2018-04-04,2821.360107
2018-04-05,2853.27002
2018-04-06,2854.699951
2018-04-09,2864.360107
2018-04-10,2878.800049
2018-04-11,2893.23999
2018-04-12,2911.449951
2018-04-13,2909.429932
2018-04-16,2891.389893
2018-04-17,2919.669922
2018-04-18,2929.300049
2018-04-19,2908.110107
2018-04-20,2891.639893
2018-04-23,2900.090088
2018-04-24,2875.110107
2018-04-25,2878.149902
2018-04-26,2890.0
2018-04-27,2888.48999
2018-04-30,2892.02002
2018-05-01,
2018-05-02,2859.780029
2018-05-03,2813.850098
2018-05-04,2807.800049
2018-05-07,2774.570068
2018-05-08,2795.189941
2018-05-09,2772.459961
2018-05-10,2788.8798829999996
2018-05-11,2797.080078
2018-05-14,2789.449951
2018-05-15,2775.100098
2018-05-16,2784.860107
2018-05-17,2748.6201170000004
2018-05-18,2741.73999
2018-05-21,2721.719971
2018-05-22,2736.73999
2018-05-23,2744.300049
2018-05-24,2725.26001
2018-05-25,2704.47998
2018-05-29,2677.699951
2018-05-30,2677.669922
2018-05-31,2675.050049
2018-06-01,2699.780029
2018-06-04,2716.01001
2018-06-05,2712.840088
2018-06-06,2717.050049
2018-06-07,2735.780029
2018-06-08,2759.610107
2018-06-11,2786.340088
2018-06-12,2809.110107
2018-06-13,2815.25
2018-06-14,2843.639893
2018-06-15,2831.590088
2018-06-18,2814.610107
2018-06-19,2807.3701170000004
2018-06-20,2825.429932
2018-06-21,2802.659912
2018-06-22,2819.439941
2018-06-25,2815.3701170000004
2018-06-26,2827.5
2018-06-27,2824.830078
2018-06-28,2835.590088
2018-06-29,2869.669922
2018-07-02,2810.290039
2018-07-03,2834.3701170000004
2018-07-05,2917.659912
2018-07-06,2942.709961
2018-07-09,2957.51001
2018-07-10,2944.97998
2018-07-11,2942.77002
2018-07-12,2920.52002
2018-07-13,2902.209961
2018-07-16,2908.959961
2018-07-17,2928.75
2018-07-18,2949.790039
2018-07-19,2933.47998
2018-07-20,2941.110107
2018-07-23,2936.73999
2018-07-24,2978.6201170000004
2018-07-25,2987.419922
2018-07-26,2981.320068
2018-07-27,2987.860107
2018-07-30,2990.409912
2018-07-31,2988.610107
2018-08-01,2973.469971
2018-08-02,2946.179932
2018-08-03,2964.449951
2018-08-06,2968.939941
2018-08-07,3001.310059
2018-08-08,2991.899902
2018-08-09,2948.969971
2018-08-10,2896.550049
2018-08-13,2919.810059
2018-08-14,2940.22998
2018-08-15,2905.22998
2018-08-16,2870.800049
2018-08-17,2877.0
2018-08-20,2905.5
2018-08-21,2935.580078
2018-08-22,2970.280029
2018-08-23,2963.590088
2018-08-24,2957.199951
2018-08-27,3008.290039
2018-08-28,2987.3701170000004
2018-08-29,2999.080078
2018-08-30,2966.790039
2018-08-31,2961.899902
2018-09-04,2921.610107
2018-09-05,2906.209961
2018-09-06,2913.030029
2018-09-07,2929.3798829999996
2018-09-10,2917.290039
2018-09-11,2921.570068
2018-09-12,2947.25
2018-09-13,2973.209961
2018-09-14,2968.8701170000004
2018-09-17,2955.219971
2018-09-18,2976.6298829999996
2018-09-19,2970.570068
2018-09-20,2965.540039
2018-09-21,2956.8701170000004
2018-09-24,2961.090088
2018-09-25,2972.139893
2018-09-26,2968.909912
2018-09-27,2972.939941
2018-09-28,2963.780029
2018-10-01,2985.689941
2018-10-02,2955.530029
2018-10-03,2932.080078
2018-10-04,2908.1201170000004
2018-10-05,2864.139893
2018-10-08,2865.98999
2018-10-09,2896.0
2018-10-10,2868.6298829999996
2018-10-11,2830.449951
2018-10-12,2825.540039
2018-10-15,2847.570068
2018-10-16,2875.73999
2018-10-17,2854.75
2018-10-18,2796.659912
2018-10-19,2822.209961
2018-10-22,2791.320068
2018-10-23,2755.6298829999996
2018-10-24,2726.27002
2018-10-25,2742.530029
2018-10-26,2711.600098
2018-10-29,2598.780029
2018-10-30,2583.77002
2018-10-31,2615.719971
2018-11-01,2706.550049
2018-11-02,
2018-11-05,2785.560059
2018-11-06,2754.040039
2018-11-07,2789.719971
2018-11-08,2633.649902
2018-11-09,2635.790039
2018-11-12,2585.600098
2018-11-13,2531.679932
2018-11-14,2526.97998
2018-11-15,2476.350098
2018-11-16,
2018-11-19,
2018-11-20,2495.550049
2018-11-21,2475.320068
2018-11-23,2453.409912
2018-11-26,2356.219971
2018-11-27,2383.100098
2018-11-28,2445.050049
2018-11-29,2500.23999
2018-11-30,2485.52002
2018-12-03,2509.25
2018-12-04,2492.3701170000004
2018-12-06,2499.110107
2018-12-07,2494.280029
2018-12-10,2461.73999
2018-12-11,2432.25
2018-12-12,
2018-12-13,2468.429932
2018-12-14,2456.830078
2018-12-17,2400.23999
2018-12-18,2431.060059
2018-12-19,2455.139893
2018-12-20,2475.179932
2018-12-21,
2018-12-24,2454.610107
2018-12-26,2465.73999
2018-12-27,2460.580078
2018-12-28,2459.080078
2018-12-31,2469.27002
2019-01-02,2503.449951
2019-01-03,2484.459961
2019-01-04,2516.459961
2019-01-07,2538.600098
2019-01-08,2579.350098
2019-01-09,2583.820068
2019-01-10,2586.050049
2019-01-11,2572.23999
2019-01-14,2563.820068
2019-01-15,2574.48999
2019-01-16,2590.780029
2019-01-17,2599.139893
2019-01-18,2622.219971
2019-01-22,2586.800049
2019-01-23,2578.580078
2019-01-24,2575.100098
2019-01-25,2580.51001
2019-01-28,2582.209961
2019-01-29,2584.959961
2019-01-30,2589.800049
2019-01-31,2613.600098
2019-02-01,2597.98999
2019-02-04,
2019-02-05,2636.889893
2019-02-06,2604.6201170000004
2019-02-07,2582.610107
2019-02-08,2550.52002
2019-02-11,2555.72998
2019-02-12,2551.22998
2019-02-13,2507.100098
2019-02-14,2537.300049
2019-02-15,2551.73999
2019-02-19,2553.26001
2019-02-20,2567.340088
2019-02-21,2590.179932
2019-02-22,2595.969971
2019-02-25,2590.209961
2019-02-26,2592.709961
2019-02-27,2574.679932
2019-02-28,2537.090088
