Date,JAS
2004-01-08,1.39
2004-01-09,1.57
2004-01-12,1.77
2004-01-13,1.72
2004-01-14,1.73
2004-01-15,1.61
2004-01-16,1.7
2004-01-20,1.56
2004-01-21,1.51
2004-01-22,1.49
2004-01-23,1.55
2004-01-26,1.45
2004-01-27,1.5
2004-01-28,1.45
2004-01-29,1.48
2004-01-30,1.41
2004-02-02,1.26
2004-02-03,1.4
2004-02-04,1.53
2004-02-05,1.53
2004-02-06,1.53
2004-02-09,1.65
2004-02-10,1.66
2004-02-11,1.67
2004-02-12,1.63
2004-02-13,1.67
2004-02-17,1.58
2004-02-18,1.57
2004-02-19,1.51
2004-02-20,1.49
2004-02-23,1.44
2004-02-24,1.38
2004-02-25,1.35
2004-02-26,1.44
2004-02-27,1.53
2004-03-01,1.42
2004-03-02,1.36
2004-03-03,1.35
2004-03-04,1.36
2004-03-05,
2004-03-08,1.35
2004-03-09,1.39
2004-03-10,1.36
2004-03-11,1.39
2004-03-12,1.35
2004-03-15,1.3
2004-03-16,1.27
2004-03-17,1.28
2004-03-18,1.3
2004-03-19,1.28
2004-03-22,1.27
2004-03-23,1.27
2004-03-24,1.27
2004-03-25,1.25
2004-03-26,1.23
2004-03-29,1.16
2004-03-30,1.13
2004-03-31,1.16
2004-04-01,1.25
2004-04-02,1.27
2004-04-05,1.29
2004-04-06,
2004-04-07,1.24
2004-04-08,1.2
2004-04-12,1.22
2004-04-13,
2004-04-14,
2004-04-15,
2004-04-16,1.24
2004-04-19,1.21
2004-04-20,1.24
2004-04-21,1.19
2004-04-22,1.14
2004-04-23,1.13
2004-04-26,1.05
2004-04-27,1.07
2004-04-28,1.04
2004-04-29,1.03
2004-04-30,1.02
2004-05-03,
2004-05-04,1.03
2004-05-05,
2004-05-06,0.99
2004-05-07,0.95
2004-05-10,0.8
2004-05-11,0.86
2004-05-12,0.84
2004-05-13,0.82
2004-05-14,0.77
2004-05-17,0.68
2004-05-18,0.74
2004-05-19,0.82
2004-05-20,0.78
2004-05-21,0.85
2004-05-24,0.82
2004-05-25,0.77
2004-05-26,0.79
2004-05-27,0.87
2004-05-28,0.88
2004-06-01,0.86
2004-06-02,
2004-06-03,0.84
2004-06-04,0.83
2004-06-07,0.81
2004-06-08,0.77
2004-06-09,0.77
2004-06-10,0.77
2004-06-14,0.76
2004-06-15,0.77
2004-06-16,0.84
2004-06-17,0.81
2004-06-18,0.8
2004-06-21,0.84
2004-06-22,0.81
2004-06-23,0.81
2004-06-24,0.82
2004-06-25,0.84
2004-06-28,0.85
2004-06-29,0.86
2004-06-30,0.84
2004-07-01,
2004-07-02,0.84
2004-07-06,0.87
2004-07-07,0.86
2004-07-08,0.85
2004-07-09,0.87
2004-07-12,0.87
2004-07-13,0.87
2004-07-14,0.85
2004-07-15,0.84
2004-07-16,0.83
2004-07-19,0.83
2004-07-20,0.85
2004-07-21,0.85
2004-07-22,0.83
2004-07-23,0.82
2004-07-26,0.79
2004-07-27,0.77
2004-07-28,0.76
2004-07-29,0.72
2004-07-30,0.72
2004-08-02,
2004-08-03,0.7
2004-08-04,0.68
2004-08-05,0.68
2004-08-06,0.65
2004-08-09,0.59
2004-08-10,0.6
2004-08-11,0.55
2004-08-12,
2004-08-13,0.55
2004-08-16,0.6
2004-08-17,0.6
2004-08-18,0.65
2004-08-19,0.64
2004-08-20,0.61
2004-08-23,0.62
2004-08-24,0.62
2004-08-25,0.63
2004-08-26,0.68
2004-08-27,0.68
2004-08-30,0.67
2004-08-31,0.71
2004-09-01,0.72
2004-09-02,0.72
2004-09-03,0.71
2004-09-07,0.71
2004-09-08,0.69
2004-09-09,0.72
2004-09-10,0.71
2004-09-13,0.76
2004-09-14,0.74
2004-09-15,0.76
2004-09-16,0.74
2004-09-17,0.75
2004-09-20,0.74
2004-09-21,0.71
2004-09-22,0.72
2004-09-23,0.66
2004-09-24,0.67
2004-09-27,0.64
2004-09-28,0.62
2004-09-29,0.61
2004-09-30,1.72
2004-10-01,0.68
2004-10-04,0.72
2004-10-05,0.7
2004-10-06,0.7
2004-10-07,1.72
2004-10-08,0.71
2004-10-11,0.7
2004-10-12,0.65
2004-10-13,0.68
2004-10-14,0.64
2004-10-15,0.65
2004-10-18,0.64
2004-10-19,0.65
2004-10-20,0.64
2004-10-21,0.63
2004-10-22,0.64
2004-10-25,
2004-10-26,0.64
2004-10-27,0.61
2004-10-28,0.6
2004-10-29,1.72
2004-11-01,0.6
2004-11-02,0.6
2004-11-03,0.63
2004-11-04,0.62
2004-11-05,0.61
2004-11-08,0.6
2004-11-09,0.62
2004-11-10,0.6
2004-11-11,0.59
2004-11-12,0.61
2004-11-15,1.72
2004-11-16,0.62
2004-11-17,0.64
2004-11-18,0.64
2004-11-19,0.65
2004-11-22,0.63
2004-11-23,0.64
2004-11-24,0.63
2004-11-26,0.65
2004-11-29,0.65
2004-11-30,0.7
2004-12-01,0.69
2004-12-02,0.68
2004-12-03,0.69
2004-12-06,
2004-12-07,0.67
2004-12-08,0.65
2004-12-09,0.65
2004-12-10,
2004-12-13,0.64
2004-12-14,0.64
2004-12-15,0.67
