Date,KBH
1986-08-01,6.125
1986-08-04,6.0
1986-08-05,5.9375
1986-08-06,5.875
1986-08-07,6.0
1986-08-08,6.0
1986-08-11,5.9375
1986-08-12,6.125
1986-08-13,6.5625
1986-08-14,6.5
1986-08-15,6.75
1986-08-18,6.625
1986-08-19,6.5
1986-08-20,6.375
1986-08-21,6.6875
1986-08-22,6.6875
1986-08-25,6.5625
1986-08-26,6.1875
1986-08-27,6.1875
1986-08-28,6.4375
1986-08-29,6.4375
1986-09-02,6.375
1986-09-03,6.25
1986-09-04,6.25
1986-09-05,6.25
1986-09-08,6.0625
1986-09-09,6.0
1986-09-10,5.9375
1986-09-11,5.8125
1986-09-12,5.1875
1986-09-15,5.3125
1986-09-16,5.375
1986-09-17,5.5
1986-09-18,5.625
1986-09-19,5.875
1986-09-22,6.0
1986-09-23,6.25
1986-09-24,6.25
1986-09-25,6.0625
1986-09-26,6.0
1986-09-29,5.9375
1986-09-30,6.125
1986-10-01,6.25
1986-10-02,6.25
1986-10-03,6.125
1986-10-06,6.125
1986-10-07,6.125
1986-10-08,6.0625
1986-10-09,5.75
1986-10-10,5.9375
1986-10-13,5.875
1986-10-14,5.9375
1986-10-15,5.9375
1986-10-16,5.9375
1986-10-17,6.0
1986-10-20,5.875
1986-10-21,5.4375
1986-10-22,5.4375
1986-10-23,5.4375
1986-10-24,5.4375
1986-10-27,5.4375
1986-10-28,5.4375
1986-10-29,5.5
1986-10-30,5.6875
1986-10-31,5.75
1986-11-03,5.9375
1986-11-04,5.9375
1986-11-05,6.125
1986-11-06,6.125
1986-11-07,6.0625
1986-11-10,6.0625
1986-11-11,6.125
1986-11-12,5.875
1986-11-13,5.875
1986-11-14,5.875
1986-11-17,5.875
1986-11-18,5.75
1986-11-19,5.5625
1986-11-20,5.3125
1986-11-21,5.1875
1986-11-24,4.8125
1986-11-25,4.75
1986-11-26,4.625
1986-11-28,4.75
1986-12-01,4.9375
1986-12-02,4.8125
1986-12-03,4.8125
1986-12-04,5.0
1986-12-05,5.0
1986-12-08,5.0625
1986-12-09,5.25
1986-12-10,6.0
1986-12-11,5.8125
1986-12-12,5.8125
1986-12-15,5.4375
1986-12-16,5.5
1986-12-17,5.5
1986-12-18,5.4375
1986-12-19,5.4375
1986-12-22,5.4375
1986-12-23,5.5
1986-12-24,5.4375
1986-12-26,5.4375
1986-12-29,5.375
1986-12-30,5.4375
1986-12-31,5.4375
1987-01-02,5.4375
1987-01-05,5.25
1987-01-06,5.25
1987-01-07,5.125
1987-01-08,5.125
1987-01-09,5.125
