Date,MEGGF
2012-02-22,6.15
2012-02-23,6.22
2012-02-24,6.22
2012-02-27,6.22
2012-02-28,6.22
2012-02-29,6.22
2012-03-01,6.22
2012-03-02,6.43
2012-03-05,6.27
2012-03-06,6.27
2012-03-07,6.27
2012-03-08,6.27
2012-03-09,6.35
2012-03-12,6.2
2012-03-13,6.48
2012-03-14,6.36
2012-03-15,6.38
2012-03-16,6.5
2012-03-19,6.5
2012-03-20,6.5
2012-03-21,6.24
2012-03-22,6.24
2012-03-23,6.24
2012-03-26,6.24
2012-03-27,6.24
2012-03-28,6.43
2012-03-29,6.43
2012-03-30,6.54
2012-04-02,6.54
2012-04-03,6.54
2012-04-04,6.41
2012-04-05,6.41
2012-04-09,6.4
2012-04-10,6.4
2012-04-11,6.19
2012-04-12,6.43
2012-04-13,6.43
2012-04-16,6.5
2012-04-17,6.5
2012-04-18,6.5
2012-04-19,6.5
2012-04-20,6.5
2012-04-23,6.4
2012-04-24,6.4
2012-04-25,6.4
2012-04-26,6.4
2012-04-27,6.4
2012-04-30,6.4
2012-05-01,6.4
2012-05-02,6.4
2012-05-03,6.4
2012-05-04,6.4
2012-05-07,6.56
2012-05-08,6.39
2012-05-09,6.39
2012-05-10,6.39
2012-05-11,6.39
2012-05-14,6.39
2012-05-15,6.39
2012-05-16,6.39
2012-05-17,6.39
2012-05-18,6.39
2012-05-21,6.39
2012-05-22,6.39
2012-05-23,6.39
2012-05-24,6.39
2012-05-25,6.39
2012-05-29,6.39
2012-05-30,5.96
2012-05-31,5.96
2012-06-01,5.96
2012-06-04,5.76
2012-06-05,5.77
2012-06-06,5.77
2012-06-07,5.77
2012-06-08,5.77
2012-06-11,5.77
2012-06-12,5.77
2012-06-13,5.67
2012-06-14,5.67
2012-06-15,5.67
2012-06-18,5.67
2012-06-19,5.67
2012-06-20,5.67
2012-06-21,5.67
2012-06-22,5.67
2012-06-25,5.67
2012-06-26,5.67
2012-06-27,5.67
2012-06-28,5.67
2012-06-29,5.67
2012-07-02,6.19
2012-07-03,6.19
2012-07-05,6.06
2012-07-06,6.06
2012-07-09,6.06
2012-07-10,6.06
2012-07-11,6.06
2012-07-12,6.06
2012-07-13,6.06
2012-07-16,6.06
2012-07-17,6.09
2012-07-18,6.09
2012-07-19,6.09
2012-07-20,6.09
2012-07-23,6.09
2012-07-24,5.8
2012-07-25,5.8
2012-07-26,5.8
2012-07-27,6.0
2012-07-30,6.03
2012-07-31,6.03
2012-08-01,5.94
2012-08-02,5.94
