Date,MON
2012-06-18,79.66999799999999
2012-06-19,80.449997
2012-06-20,79.690002
2012-06-21,77.779999
2012-06-22,78.449997
2012-06-25,77.879997
2012-06-26,77.870003
2012-06-27,80.889999
2012-06-28,80.25
2012-06-29,82.779999
2012-07-02,83.480003
2012-07-03,83.58000200000001
2012-07-05,83.040001
2012-07-06,82.089996
2012-07-09,82.739998
2012-07-10,81.879997
2012-07-11,82.769997
2012-07-12,82.660004
2012-07-13,83.860001
2012-07-16,85.5
2012-07-17,86.5
2012-07-18,86.519997
2012-07-19,86.779999
2012-07-20,87.519997
2012-07-23,85.400002
2012-07-24,85.059998
2012-07-25,84.800003
2012-07-26,85.599998
2012-07-27,86.879997
2012-07-30,86.900002
2012-07-31,85.620003
2012-08-01,86.410004
2012-08-02,87.379997
2012-08-03,87.040001
2012-08-06,88.459999
2012-08-07,88.610001
2012-08-08,88.0
2012-08-09,88.620003
2012-08-10,86.739998
2012-08-13,86.900002
2012-08-14,86.199997
2012-08-15,86.639999
2012-08-16,88.32
2012-08-17,87.870003
2012-08-20,87.470001
2012-08-21,87.690002
2012-08-22,88.059998
2012-08-23,85.83000200000001
2012-08-24,85.339996
2012-08-27,86.129997
2012-08-28,86.970001
2012-08-29,87.730003
2012-08-30,87.16999799999999
2012-08-31,87.110001
2012-09-04,86.620003
2012-09-05,87.550003
2012-09-06,89.440002
2012-09-07,89.389999
2012-09-10,89.41999799999999
2012-09-11,89.5
2012-09-12,87.989998
2012-09-13,89.900002
2012-09-14,88.970001
2012-09-17,89.08000200000001
2012-09-18,89.059998
2012-09-19,91.160004
2012-09-20,91.059998
2012-09-21,90.91999799999999
2012-09-24,91.040001
2012-09-25,90.449997
2012-09-26,89.489998
2012-09-27,91.360001
2012-09-28,91.019997
2012-10-01,90.389999
2012-10-02,90.940002
2012-10-03,88.589996
2012-10-04,90.639999
2012-10-05,91.160004
2012-10-08,91.650002
2012-10-09,90.510002
2012-10-10,89.300003
2012-10-11,88.489998
2012-10-12,88.57
2012-10-15,89.18
2012-10-16,90.480003
2012-10-17,89.629997
2012-10-18,89.980003
2012-10-19,88.690002
2012-10-22,88.870003
2012-10-23,86.93
2012-10-24,86.489998
2012-10-25,86.489998
2012-10-26,86.599998
