Date,NAV
1962-01-02,260.625
1962-01-03,264.375
1962-01-04,261.25
1962-01-05,263.75
1962-01-08,260.0
1962-01-09,257.5
1962-01-10,257.5
1962-01-11,259.375
1962-01-12,264.375
1962-01-15,262.5
1962-01-16,264.375
1962-01-17,262.5
1962-01-18,258.75
1962-01-19,262.5
1962-01-22,262.5
1962-01-23,264.375
1962-01-24,266.25
1962-01-25,265.0
1962-01-26,261.25
1962-01-29,263.125
1962-01-30,269.375
1962-01-31,265.625
1962-02-01,266.25
1962-02-02,266.25
1962-02-05,266.25
1962-02-06,271.25
1962-02-07,274.375
1962-02-08,273.75
1962-02-09,273.75
1962-02-12,276.25
1962-02-13,276.25
1962-02-14,273.75
1962-02-15,274.375
1962-02-16,277.5
1962-02-19,279.375
1962-02-20,279.375
1962-02-21,276.875
1962-02-23,278.75
1962-02-26,279.375
1962-02-27,280.0
1962-02-28,280.0
1962-03-01,285.0
1962-03-02,283.75
1962-03-05,283.75
1962-03-06,281.25
1962-03-07,277.5
1962-03-08,282.5
1962-03-09,281.25
1962-03-12,280.0
1962-03-13,278.125
1962-03-14,275.625
1962-03-15,278.75
1962-03-16,278.125
1962-03-19,276.25
1962-03-20,273.75
1962-03-21,276.25
1962-03-22,274.375
1962-03-23,276.25
1962-03-26,272.5
1962-03-27,273.75
1962-03-28,278.75
1962-03-29,277.5
1962-03-30,273.75
1962-04-02,273.75
1962-04-03,270.625
1962-04-04,273.125
1962-04-05,271.875
1962-04-06,273.75
1962-04-09,271.25
1962-04-10,271.25
1962-04-11,268.75
1962-04-12,266.25
1962-04-13,271.25
1962-04-16,269.375
1962-04-17,268.75
1962-04-18,265.0
1962-04-19,266.25
1962-04-23,265.625
1962-04-24,268.125
1962-04-25,268.125
1962-04-26,265.0
1962-04-27,260.0
1962-04-30,261.25
1962-05-01,261.875
1962-05-02,263.75
1962-05-03,268.125
1962-05-04,263.125
1962-05-07,263.75
1962-05-08,261.875
1962-05-09,264.375
1962-05-10,255.0
1962-05-11,247.5
1962-05-14,255.0
1962-05-15,263.75
1962-05-16,263.125
1962-05-17,260.625
1962-05-18,261.25
1962-05-21,260.0
1962-05-22,252.5
1962-05-23,248.125
1962-05-24,252.5
1962-05-25,246.875
1962-05-28,240.0
1962-05-29,244.375
1962-05-31,254.375
1962-06-01,248.75
1962-06-04,243.125
1962-06-05,250.0
1962-06-06,257.5
1962-06-07,256.25
1962-06-08,252.5
1962-06-11,253.75
1962-06-12,246.25
1962-06-13,238.75
1962-06-14,235.0
1962-06-15,240.0
1962-06-18,233.75
1962-06-19,231.875
1962-06-20,230.0
1962-06-21,226.25
1962-06-22,226.875
1962-06-25,226.25
1962-06-26,225.0
1962-06-27,223.125
1962-06-28,230.0
1962-06-29,235.0
1962-07-02,238.75
1962-07-03,236.25
1962-07-05,238.125
1962-07-06,238.125
1962-07-09,243.75
1962-07-10,247.5
1962-07-11,245.0
1962-07-12,240.0
1962-07-13,244.375
1962-07-16,243.125
1962-07-17,238.125
1962-07-18,235.625
1962-07-19,236.25
1962-07-20,238.125
1962-07-23,238.75
1962-07-24,236.25
1962-07-25,233.125
1962-07-26,233.75
1962-07-27,233.75
1962-07-30,235.625
1962-07-31,232.5
1962-08-01,231.25
1962-08-02,231.25
1962-08-03,231.875
1962-08-06,230.0
1962-08-07,226.25
1962-08-08,230.625
1962-08-09,231.25
1962-08-10,234.375
1962-08-13,230.625
1962-08-14,231.25
1962-08-15,234.375
1962-08-16,233.75
1962-08-17,231.25
1962-08-20,233.75
1962-08-21,234.375
1962-08-22,235.0
1962-08-23,235.0
1962-08-24,235.0
1962-08-27,233.125
1962-08-28,233.75
1962-08-29,234.375
1962-08-30,233.75
1962-08-31,234.375
1962-09-04,232.5
1962-09-05,231.875
1962-09-06,228.75
1962-09-07,230.0
1962-09-10,232.5
1962-09-11,229.375
1962-09-12,228.125
1962-09-13,229.375
1962-09-14,228.75
1962-09-17,227.5
1962-09-18,229.375
1962-09-19,231.25
1962-09-20,230.0
1962-09-21,226.25
