Date,NG
2003-12-04,5.08
2003-12-05,5.01
2003-12-08,5.15
2003-12-09,4.95
2003-12-10,4.63
2003-12-11,4.4
2003-12-12,4.7
2003-12-15,4.72
2003-12-16,4.59
2003-12-17,4.62
2003-12-18,4.62
2003-12-19,4.59
2003-12-22,4.61
2003-12-23,4.76
2003-12-24,4.94
2003-12-26,4.98
2003-12-29,5.15
2003-12-30,5.02
2003-12-31,4.98
2004-01-02,5.09
2004-01-05,5.3
2004-01-06,5.4
2004-01-07,5.45
2004-01-08,5.95
2004-01-09,6.07
2004-01-12,5.8
2004-01-13,5.66
2004-01-14,5.25
2004-01-15,5.1
2004-01-16,5.28
2004-01-20,5.41
2004-01-21,5.49
2004-01-22,5.39
2004-01-23,5.23
2004-01-26,5.02
2004-01-27,5.29
2004-01-28,5.3
2004-01-29,4.94
2004-01-30,4.98
2004-02-02,4.88
2004-02-03,4.97
2004-02-04,5.04
2004-02-05,5.02
2004-02-06,5.23
2004-02-09,5.25
2004-02-10,5.2
2004-02-11,5.33
2004-02-12,5.23
2004-02-13,5.26
2004-02-17,5.34
2004-02-18,5.11
2004-02-19,5.15
2004-02-20,5.0
2004-02-23,4.9
2004-02-24,5.06
2004-02-25,4.89
2004-02-26,4.72
2004-02-27,4.79
2004-03-01,4.93
2004-03-02,4.8
2004-03-03,4.87
2004-03-04,4.88
2004-03-05,5.0
2004-03-08,4.9
2004-03-09,4.92
2004-03-10,4.85
2004-03-11,4.81
2004-03-12,4.74
2004-03-15,4.8
2004-03-16,4.86
2004-03-17,4.8
2004-03-18,4.91
2004-03-19,4.86
2004-03-22,4.7
2004-03-23,4.57
2004-03-24,4.46
2004-03-25,4.54
2004-03-26,4.86
2004-03-29,4.96
2004-03-30,4.9
2004-03-31,5.02
2004-04-01,5.03
2004-04-02,5.09
2004-04-05,5.0
2004-04-06,5.09
2004-04-07,5.21
2004-04-08,5.17
2004-04-12,5.19
2004-04-13,4.93
2004-04-14,4.8
2004-04-15,4.77
2004-04-16,4.75
2004-04-19,4.6
2004-04-20,4.38
2004-04-21,4.12
2004-04-22,4.09
2004-04-23,4.09
2004-04-26,4.19
2004-04-27,4.27
2004-04-28,3.9
2004-04-29,3.77
2004-04-30,3.8
2004-05-03,3.52
2004-05-04,3.9
2004-05-05,4.14
2004-05-06,4.01
2004-05-07,3.88
2004-05-10,3.75
2004-05-11,3.68
2004-05-12,3.82
2004-05-13,3.7
2004-05-14,3.89
2004-05-17,3.8
2004-05-18,3.72
2004-05-19,3.79
2004-05-20,3.84
2004-05-21,4.0
2004-05-24,4.12
2004-05-25,4.15
2004-05-26,4.12
