Date,NVT
2018-04-24,22.51
2018-04-25,23.02
2018-04-26,23.25
2018-04-27,22.85
2018-04-30,
2018-05-01,22.719998999999998
2018-05-02,22.76
2018-05-03,23.51
2018-05-04,24.9
2018-05-07,25.34
2018-05-08,24.629998999999998
2018-05-09,24.48
2018-05-10,24.98
2018-05-11,25.59
2018-05-14,25.65
2018-05-15,25.24
2018-05-16,24.959999
2018-05-17,24.99
2018-05-18,25.280001000000002
2018-05-21,25.459999
2018-05-22,26.01
2018-05-23,26.299999
2018-05-24,26.57
2018-05-25,26.360001
2018-05-29,26.6
2018-05-30,26.73
2018-05-31,27.08
2018-06-01,26.799999
2018-06-04,27.629998999999998
2018-06-05,28.48
2018-06-06,28.1
2018-06-07,27.459999
2018-06-08,27.48
2018-06-11,27.459999
2018-06-12,27.0
2018-06-13,27.110001
2018-06-14,26.74
2018-06-15,26.799999
2018-06-18,26.9
2018-06-19,27.280001000000002
2018-06-20,27.07
2018-06-21,27.16
2018-06-22,26.790001
2018-06-25,25.66
2018-06-26,25.32
2018-06-27,24.969998999999998
2018-06-28,24.82
2018-06-29,25.1
2018-07-02,24.76
2018-07-03,24.77
2018-07-05,24.75
2018-07-06,24.68
2018-07-09,25.59
2018-07-10,25.110001
2018-07-11,24.27
2018-07-12,24.35
2018-07-13,24.99
2018-07-16,24.860001
2018-07-17,24.530001000000002
2018-07-18,24.93
2018-07-19,25.33
2018-07-20,24.59
2018-07-23,25.23
2018-07-24,25.450001
2018-07-25,26.83
2018-07-26,27.200001
2018-07-27,26.92
2018-07-30,26.92
2018-07-31,27.4
2018-08-01,27.23
2018-08-02,27.24
2018-08-03,28.059998999999998
2018-08-06,28.540001
2018-08-07,28.99
2018-08-08,28.52
2018-08-09,28.459999
2018-08-10,27.950001
2018-08-13,27.190001000000002
2018-08-14,27.25
2018-08-15,26.879998999999998
2018-08-16,27.209999
2018-08-17,27.299999
2018-08-20,27.389999
2018-08-21,27.9
2018-08-22,28.120001000000002
2018-08-23,28.0
2018-08-24,27.98
2018-08-27,28.07
2018-08-28,27.959999
2018-08-29,28.73
2018-08-30,28.08
2018-08-31,28.09
2018-09-04,28.24
2018-09-05,28.440001000000002
2018-09-06,28.6
2018-09-07,27.940001000000002
2018-09-10,28.32
2018-09-11,28.110001
2018-09-12,28.09
2018-09-13,28.07
2018-09-14,28.41
2018-09-17,28.549999
2018-09-18,28.65
2018-09-19,29.23
2018-09-20,29.18
2018-09-21,29.42
2018-09-24,29.370001000000002
2018-09-25,28.57
2018-09-26,27.57
2018-09-27,27.0
2018-09-28,27.16
2018-10-01,27.549999
2018-10-02,27.0
2018-10-03,27.25
2018-10-04,27.1
2018-10-05,26.67
2018-10-08,27.290001
2018-10-09,26.629998999999998
2018-10-10,25.780001000000002
2018-10-11,24.690001000000002
2018-10-12,24.129998999999998
2018-10-15,24.059998999999998
2018-10-16,25.360001
2018-10-17,25.52
2018-10-18,24.75
2018-10-19,24.4
2018-10-22,23.42
2018-10-23,22.780001000000002
2018-10-24,21.290001
2018-10-25,23.620001000000002
2018-10-26,23.92
2018-10-29,23.639999
2018-10-30,24.01
2018-10-31,24.42
2018-11-01,24.91
2018-11-02,25.42
2018-11-05,25.4
2018-11-06,26.02
2018-11-07,26.809998999999998
2018-11-08,26.52
2018-11-09,25.690001000000002
2018-11-12,24.51
2018-11-13,24.48
2018-11-14,24.620001000000002
2018-11-15,24.719998999999998
2018-11-16,24.59
2018-11-19,24.57
2018-11-20,24.23
2018-11-21,24.6
2018-11-23,25.200001
2018-11-26,25.719998999999998
2018-11-27,24.959999
2018-11-28,25.01
