Date,OII
1975-10-31,2.96875
1975-11-03,2.96875
1975-11-04,2.625
1975-11-05,2.53125
1975-11-06,2.6875
1975-11-07,2.59375
1975-11-10,2.5625
1975-11-11,2.625
1975-11-12,2.59375
1975-11-13,2.53125
1975-11-14,2.46875
1975-11-17,2.3125
1975-11-18,2.28125
1975-11-19,2.25
1975-11-20,2.28125
1975-11-21,2.34375
1975-11-24,2.34375
1975-11-25,2.28125
1975-11-26,2.25
1975-11-28,2.28125
1975-12-01,2.28125
1975-12-02,2.21875
1975-12-03,2.15625
1975-12-04,2.09375
1975-12-05,2.0625
1975-12-08,2.03125
1975-12-09,1.90625
1975-12-10,1.96875
1975-12-11,1.96875
1975-12-12,1.96875
1975-12-15,1.9375
1975-12-16,1.875
1975-12-17,1.96875
1975-12-18,2.125
1975-12-19,2.46875
1975-12-22,2.40625
1975-12-23,2.375
1975-12-24,2.375
1975-12-26,2.4375
1975-12-29,2.34375
1975-12-30,2.1875
1975-12-31,2.3125
1976-01-02,2.3125
1976-01-05,2.375
1976-01-06,2.375
1976-01-07,2.3125
1976-01-08,2.25
1976-01-09,2.25
1976-01-12,2.25
1976-01-13,2.1875
1976-01-14,2.1875
1976-01-15,2.1875
1976-01-16,2.1875
1976-01-19,2.25
1976-01-20,2.25
1976-01-21,2.3125
1976-01-22,2.25
1976-01-23,2.25
1976-01-26,2.4375
1976-01-27,2.5
1976-01-28,2.4375
1976-01-29,2.4375
1976-01-30,2.5
1976-02-02,2.4375
1976-02-03,2.4375
1976-02-04,2.5
1976-02-05,2.4375
1976-02-06,2.4375
1976-02-09,2.4375
1976-02-10,2.4375
1976-02-11,2.4375
1976-02-12,2.4375
1976-02-13,2.5
1976-02-17,2.4375
1976-02-18,2.375
1976-02-19,2.375
1976-02-20,2.4375
1976-02-23,2.5
1976-02-24,2.4375
1976-02-25,2.4375
1976-02-26,2.375
1976-02-27,2.375
1976-03-01,2.375
1976-03-02,2.375
1976-03-03,2.3125
1976-03-04,2.25
1976-03-05,2.25
1976-03-08,2.1875
1976-03-09,2.125
1976-03-10,2.125
1976-03-11,2.125
1976-03-12,2.125
1976-03-15,2.125
1976-03-16,2.125
1976-03-17,2.125
1976-03-18,2.125
1976-03-19,2.125
1976-03-22,2.0
1976-03-23,2.0625
1976-03-24,2.1875
1976-03-25,2.0625
1976-03-26,2.125
1976-03-29,2.3125
1976-03-30,2.3125
1976-03-31,2.3125
1976-04-01,2.3125
1976-04-02,2.4375
1976-04-05,2.375
1976-04-06,2.375
1976-04-07,2.25
1976-04-08,2.125
1976-04-09,2.1875
1976-04-12,2.25
1976-04-13,2.3125
1976-04-14,2.4375
1976-04-15,2.625
1976-04-19,2.8125
1976-04-20,2.8125
1976-04-21,2.75
1976-04-22,2.6875
1976-04-23,2.625
1976-04-26,2.625
1976-04-27,2.625
1976-04-28,2.875
1976-04-29,2.75
1976-04-30,2.75
1976-05-03,2.8125
1976-05-04,2.8125
1976-05-05,2.75
1976-05-06,2.75
1976-05-07,2.75
1976-05-10,2.8125
1976-05-11,2.75
1976-05-12,2.75
1976-05-13,2.6875
1976-05-14,2.6875
1976-05-17,2.625
1976-05-18,2.625
1976-05-19,2.625
1976-05-20,2.625
1976-05-21,2.5
1976-05-24,2.5
1976-05-25,2.4375
1976-05-26,2.4375
1976-05-27,2.4375
1976-05-28,2.5
1976-06-01,2.5
1976-06-02,2.5
1976-06-03,2.5
1976-06-04,2.375
1976-06-07,2.375
1976-06-08,2.375
1976-06-09,2.375
1976-06-10,2.375
1976-06-11,2.375
1976-06-14,2.4375
1976-06-15,2.5
1976-06-16,2.5
1976-06-17,2.5
1976-06-18,2.4375
1976-06-21,2.4375
1976-06-22,2.375
1976-06-23,2.3125
1976-06-24,2.3125
1976-06-25,2.3125
1976-06-28,2.375
1976-06-29,2.3125
1976-06-30,2.25
1976-07-01,2.25
1976-07-02,2.25
1976-07-06,2.25
1976-07-07,2.15625
1976-07-08,2.1875
1976-07-09,2.1875
1976-07-12,2.1875
1976-07-13,2.25
1976-07-14,2.5
1976-07-15,2.5
1976-07-16,2.4375
1976-07-19,2.4375
1976-07-20,2.375
1976-07-21,2.375
1976-07-22,2.4375
1976-07-23,2.4375
1976-07-26,2.4375
1976-07-27,2.4375
1976-07-28,2.4375
1976-07-29,2.375
1976-07-30,2.375
1976-08-02,2.375
1976-08-03,2.3125
1976-08-04,2.03125
1976-08-05,1.9375
1976-08-06,1.75
1976-08-09,1.75
1976-08-10,1.78125
1976-08-11,1.78125
1976-08-12,1.84375
1976-08-13,1.84375
1976-08-16,1.84375
1976-08-17,1.8125
1976-08-18,1.8125
1976-08-19,1.8125
1976-08-20,1.8125
1976-08-23,1.78125
1976-08-24,1.8125
1976-08-25,1.8125
1976-08-26,1.75
1976-08-27,1.71875
1976-08-30,1.71875
1976-08-31,1.6875
1976-09-01,1.75
1976-09-02,1.8125
1976-09-03,1.8125
1976-09-07,1.8125
1976-09-08,1.8125
1976-09-09,1.8125
1976-09-10,1.8125
1976-09-13,1.875
1976-09-14,1.8125
1976-09-15,1.625
1976-09-16,1.46875
1976-09-17,1.46875
