Date,OSG
2016-06-13,10.9
2016-06-14,10.5
2016-06-15,10.33
2016-06-16,10.54
2016-06-17,10.92
2016-06-20,11.74
2016-06-21,11.79
2016-06-22,11.86
2016-06-23,11.75
2016-06-24,11.19
2016-06-27,10.64
2016-06-28,11.0
2016-06-29,11.0
2016-06-30,10.99
2016-07-01,11.0
2016-07-05,10.49
2016-07-06,11.08
2016-07-07,11.43
2016-07-08,11.91
2016-07-11,11.85
2016-07-12,11.58
2016-07-13,11.54
2016-07-14,11.63
2016-07-15,11.83
2016-07-18,12.62
2016-07-19,12.6
2016-07-20,12.3
2016-07-21,12.91
2016-07-22,13.09
2016-07-25,12.81
2016-07-26,12.74
2016-07-27,12.71
2016-07-28,12.43
2016-07-29,12.79
2016-08-01,12.67
2016-08-02,12.41
2016-08-03,12.69
2016-08-04,12.63
2016-08-05,12.76
2016-08-08,12.77
2016-08-09,11.79
2016-08-10,11.15
2016-08-11,10.57
2016-08-12,10.5
2016-08-15,10.91
2016-08-16,10.98
2016-08-17,10.96
2016-08-18,10.7
2016-08-19,10.67
2016-08-22,10.64
2016-08-23,10.77
2016-08-24,10.75
2016-08-25,10.76
2016-08-26,10.91
2016-08-29,10.82
2016-08-30,11.05
2016-08-31,10.84
2016-09-01,10.19
2016-09-02,10.52
2016-09-06,10.96
2016-09-07,11.05
2016-09-08,11.01
2016-09-09,10.67
2016-09-12,10.91
2016-09-13,10.89
2016-09-14,10.97
2016-09-15,11.13
2016-09-16,11.44
2016-09-19,11.43
2016-09-20,11.26
2016-09-21,11.38
2016-09-22,11.42
2016-09-23,11.31
2016-09-26,11.17
2016-09-27,10.91
2016-09-28,11.01
2016-09-29,10.51
2016-09-30,10.57
2016-10-03,10.41
2016-10-04,10.46
2016-10-05,10.65
2016-10-06,10.7
2016-10-07,10.49
2016-10-10,10.49
2016-10-11,10.4
2016-10-12,10.09
2016-10-13,9.93
2016-10-14,9.85
2016-10-17,9.91
2016-10-18,10.0
2016-10-19,9.91
2016-10-20,9.89
2016-10-21,9.8
2016-10-24,9.4
2016-10-25,9.37
2016-10-26,9.22
2016-10-27,9.19
2016-10-28,8.98
2016-10-31,8.76
2016-11-01,8.68
2016-11-02,8.51
2016-11-03,8.37
2016-11-04,8.15
2016-11-07,8.21
2016-11-08,8.35
2016-11-09,8.35
2016-11-10,8.49
2016-11-11,9.05
2016-11-14,9.14
2016-11-15,9.0
2016-11-16,8.42
2016-11-17,8.06
2016-11-18,7.86
2016-11-21,8.0
2016-11-22,8.0
2016-11-23,8.02
2016-11-25,8.02
2016-11-28,8.06
2016-11-29,7.95
2016-11-30,7.73
2016-12-01,2.92
2016-12-02,3.06
2016-12-05,3.16
2016-12-06,3.35
2016-12-07,3.3
2016-12-08,3.55
2016-12-09,3.93
2016-12-12,3.94
2016-12-13,3.78
2016-12-14,3.73
2016-12-15,3.7
2016-12-16,3.86
2016-12-19,3.75
2016-12-20,3.85
2016-12-21,3.91
2016-12-22,3.87
2016-12-23,3.91
2016-12-27,3.91
2016-12-28,3.81
2016-12-29,3.84
2016-12-30,3.83
2017-01-03,4.12
2017-01-04,4.25
2017-01-05,4.42
2017-01-06,4.48
2017-01-09,4.41
2017-01-10,4.49
2017-01-11,4.69
2017-01-12,4.81
2017-01-13,4.82
2017-01-17,4.92
2017-01-18,4.92
2017-01-19,5.08
2017-01-20,5.45
2017-01-23,5.4
2017-01-24,5.46
2017-01-25,5.51
2017-01-26,5.53
2017-01-27,5.46
2017-01-30,5.0
2017-01-31,4.91
2017-02-01,5.1
2017-02-02,5.01
2017-02-03,5.29
2017-02-06,5.26
2017-02-07,5.11
2017-02-08,4.98
2017-02-09,4.99
2017-02-10,4.91
2017-02-13,4.92
2017-02-14,5.07
2017-02-15,5.18
2017-02-16,5.08
2017-02-17,5.02
2017-02-21,5.03
2017-02-22,5.0
2017-02-23,4.93
2017-02-24,5.01
2017-02-27,5.09
2017-02-28,5.0
2017-03-01,4.86
2017-03-02,4.76
2017-03-03,4.37
2017-03-06,4.27
2017-03-07,4.29
2017-03-08,4.48
2017-03-09,4.4
2017-03-10,4.54
2017-03-13,4.51
2017-03-14,4.32
2017-03-15,4.34
2017-03-16,4.3
2017-03-17,4.35
2017-03-20,4.33
2017-03-21,4.23
2017-03-22,4.04
2017-03-23,4.04
2017-03-24,4.03
2017-03-27,3.9
2017-03-28,3.99
2017-03-29,4.0
2017-03-30,4.05
2017-03-31,3.86
2017-04-03,3.83
2017-04-04,3.66
2017-04-05,3.43
2017-04-06,3.56
2017-04-07,3.5
2017-04-10,3.6
2017-04-11,3.66
2017-04-12,3.56
2017-04-13,3.55
2017-04-17,3.55
2017-04-18,3.58
2017-04-19,3.6
2017-04-20,3.64
2017-04-21,3.74
2017-04-24,3.79
2017-04-25,3.7
2017-04-26,3.77
2017-04-27,3.66
2017-04-28,3.64
2017-05-01,3.53
2017-05-02,3.35
2017-05-03,3.39
2017-05-04,3.39
2017-05-05,3.29
2017-05-08,3.23
2017-05-09,3.25
2017-05-10,3.43
2017-05-11,3.28
2017-05-12,3.34
2017-05-15,3.29
2017-05-16,3.26
2017-05-17,3.3
2017-05-18,3.29
2017-05-19,3.31
2017-05-22,3.32
2017-05-23,3.31
2017-05-24,3.19
2017-05-25,3.04
2017-05-26,3.11
2017-05-30,2.92
2017-05-31,2.64
2017-06-01,2.78
2017-06-02,2.65
2017-06-05,2.6
2017-06-06,2.68
2017-06-07,2.51
2017-06-08,2.68
2017-06-09,2.72
2017-06-12,2.69
2017-06-13,2.68
2017-06-14,2.59
2017-06-15,2.44
2017-06-16,2.59
2017-06-19,2.6
2017-06-20,2.64
2017-06-21,2.43
2017-06-22,2.37
2017-06-23,2.39
2017-06-26,2.58
2017-06-27,2.55
2017-06-28,2.84
2017-06-29,2.57
2017-06-30,2.66
2017-07-03,2.79
2017-07-05,2.46
2017-07-06,2.53
2017-07-07,2.56
2017-07-10,2.6
2017-07-11,2.63
2017-07-12,2.67
2017-07-13,2.8
2017-07-14,2.83
2017-07-17,2.92
2017-07-18,2.78
2017-07-19,2.91
2017-07-20,2.81
2017-07-21,2.8
2017-07-24,2.7
2017-07-25,2.75
2017-07-26,2.73
2017-07-27,2.82
2017-07-28,2.88
2017-07-31,3.08
2017-08-01,3.0
2017-08-02,2.98
2017-08-03,2.95
2017-08-04,3.02
2017-08-07,2.96
2017-08-08,2.96
2017-08-09,2.68
2017-08-10,2.22
2017-08-11,2.2
2017-08-14,2.35
2017-08-15,2.16
2017-08-16,2.21
2017-08-17,2.05
2017-08-18,2.05
2017-08-21,2.03
2017-08-22,2.04
2017-08-23,1.99
2017-08-24,2.02
2017-08-25,2.06
2017-08-28,2.24
