Date,OSTK
2002-05-30,13.03
2002-05-31,13.02
2002-06-03,13.0
2002-06-04,12.8
2002-06-05,12.32
2002-06-06,12.25
2002-06-07,12.51
2002-06-10,12.95
2002-06-11,13.0
2002-06-12,14.14
2002-06-13,14.6
2002-06-14,14.31
2002-06-17,14.41
2002-06-18,13.81
2002-06-19,13.66
2002-06-20,13.22
2002-06-21,13.1
2002-06-24,13.16
2002-06-25,13.41
2002-06-26,13.5
2002-06-27,14.06
2002-06-28,14.05
2002-07-01,14.55
2002-07-02,13.26
2002-07-03,13.25
2002-07-05,13.0
2002-07-08,12.52
2002-07-09,12.26
2002-07-10,12.92
2002-07-11,12.56
2002-07-12,12.43
2002-07-15,12.99
2002-07-16,13.05
2002-07-17,12.62
2002-07-18,12.25
2002-07-19,12.36
2002-07-22,10.9
2002-07-23,8.44
2002-07-24,8.7
2002-07-25,8.85
2002-07-26,8.4
2002-07-29,8.85
2002-07-30,7.95
2002-07-31,7.8
2002-08-01,7.7
2002-08-02,7.31
2002-08-05,7.25
2002-08-06,7.23
2002-08-07,7.22
2002-08-08,7.25
2002-08-09,7.17
2002-08-12,7.23
2002-08-13,7.38
2002-08-14,7.25
2002-08-15,7.15
2002-08-16,7.2
2002-08-19,7.04
2002-08-20,7.06
2002-08-21,6.99
2002-08-22,7.14
2002-08-23,6.89
2002-08-26,7.07
2002-08-27,6.82
2002-08-28,5.96
2002-08-29,6.01
2002-08-30,6.13
2002-09-03,5.96
2002-09-04,5.59
2002-09-05,5.4
2002-09-06,5.5
2002-09-09,5.5
2002-09-10,5.68
2002-09-11,6.09
2002-09-12,5.8
2002-09-13,6.05
2002-09-16,6.5
2002-09-17,6.75
2002-09-18,5.9
2002-09-19,6.1
2002-09-20,6.32
2002-09-23,6.0
2002-09-24,5.97
2002-09-25,6.0
2002-09-26,6.0
2002-09-27,5.79
2002-09-30,5.95
2002-10-01,5.85
2002-10-02,5.6
2002-10-03,5.28
2002-10-04,5.04
2002-10-07,4.7
2002-10-08,4.5
2002-10-09,4.46
2002-10-10,4.7
2002-10-11,4.7
2002-10-14,4.41
2002-10-15,4.52
2002-10-16,4.51
2002-10-17,4.52
2002-10-18,4.55
2002-10-21,4.6
2002-10-22,4.91
2002-10-23,5.4
2002-10-24,5.62
2002-10-25,7.0
2002-10-28,7.16
2002-10-29,8.03
2002-10-30,9.3
2002-10-31,10.09
2002-11-01,9.6
2002-11-04,10.0
2002-11-05,10.0
2002-11-06,10.0
2002-11-07,9.88
2002-11-08,9.75
2002-11-11,9.48
2002-11-12,9.4
2002-11-13,10.0
2002-11-14,9.89
2002-11-15,10.5
2002-11-18,10.8
2002-11-19,10.68
2002-11-20,10.18
2002-11-21,10.22
2002-11-22,10.31
2002-11-25,11.9
2002-11-26,11.19
2002-11-27,11.75
2002-11-29,13.42
2002-12-02,14.65
2002-12-03,15.43
2002-12-04,14.95
2002-12-05,15.0
2002-12-06,14.3
2002-12-09,14.19
2002-12-10,13.78
2002-12-11,13.62
2002-12-12,14.45
2002-12-13,14.49
2002-12-16,13.92
2002-12-17,13.3
2002-12-18,12.0
2002-12-19,12.24
2002-12-20,13.64
2002-12-23,14.43
2002-12-24,14.72
2002-12-26,13.8
2002-12-27,13.2
2002-12-30,13.02
2002-12-31,13.0
2003-01-02,13.31
2003-01-03,13.18
2003-01-06,12.76
2003-01-07,12.89
2003-01-08,12.25
2003-01-09,14.04
2003-01-10,13.94
2003-01-13,14.5
2003-01-14,15.1
2003-01-15,16.049999
2003-01-16,17.190001000000002
2003-01-17,17.57
2003-01-21,17.049999
2003-01-22,16.940001000000002
2003-01-23,16.77
2003-01-24,16.049999
2003-01-27,16.690001000000002
2003-01-28,15.25
2003-01-29,14.97
2003-01-30,14.91
2003-01-31,14.54
2003-02-03,14.2
2003-02-04,14.65
2003-02-05,14.8
2003-02-06,14.57
2003-02-07,14.33
2003-02-10,14.35
2003-02-11,14.8
2003-02-12,15.25
2003-02-13,15.66
2003-02-14,16.15
2003-02-18,17.0
2003-02-19,16.82
2003-02-20,16.52
2003-02-21,16.559998999999998
2003-02-24,18.110001
2003-02-25,14.85
2003-02-26,13.67
2003-02-27,12.95
2003-02-28,12.7
2003-03-03,14.24
2003-03-04,13.94
2003-03-05,14.6
2003-03-06,14.47
2003-03-07,14.77
2003-03-10,14.31
2003-03-11,14.3
2003-03-12,14.46
2003-03-13,15.1
2003-03-14,14.4
2003-03-17,13.57
2003-03-18,12.95
2003-03-19,10.86
2003-03-20,11.1
2003-03-21,12.34
2003-03-24,12.21
2003-03-25,12.05
2003-03-26,10.4
2003-03-27,9.74
2003-03-28,9.92
2003-03-31,9.75
2003-04-01,10.39
2003-04-02,10.67
2003-04-03,10.02
2003-04-04,10.28
2003-04-07,10.81
2003-04-08,10.88
2003-04-09,11.08
2003-04-10,11.84
2003-04-11,11.68
2003-04-14,12.03
2003-04-15,11.91
2003-04-16,11.84
2003-04-17,11.95
2003-04-21,11.47
2003-04-22,11.11
2003-04-23,11.35
2003-04-24,10.83
2003-04-25,10.15
2003-04-28,10.3
2003-04-29,8.54
2003-04-30,8.0
2003-05-01,8.71
2003-05-02,9.87
2003-05-05,10.63
2003-05-06,11.74
2003-05-07,11.04
2003-05-08,11.09
2003-05-09,11.55
2003-05-12,12.13
2003-05-13,12.6
2003-05-14,13.21
2003-05-15,13.9
2003-05-16,13.88
2003-05-19,13.4
2003-05-20,13.23
2003-05-21,13.44
2003-05-22,14.14
2003-05-23,14.61
2003-05-27,14.47
2003-05-28,14.06
2003-05-29,13.69
2003-05-30,13.45
2003-06-02,12.75
2003-06-03,11.67
2003-06-04,12.7
2003-06-05,12.9
2003-06-06,12.17
2003-06-09,11.94
2003-06-10,12.15
2003-06-11,13.9
2003-06-12,14.48
2003-06-13,14.02
2003-06-16,13.64
2003-06-17,13.67
2003-06-18,14.2
2003-06-19,13.64
2003-06-20,13.5
2003-06-23,13.69
2003-06-24,13.96
2003-06-25,14.2
2003-06-26,14.69
2003-06-27,14.4
2003-06-30,14.56
2003-07-01,13.71
2003-07-02,13.55
2003-07-03,13.27
2003-07-07,14.2
2003-07-08,14.59
2003-07-09,14.11
2003-07-10,13.55
2003-07-11,13.42
2003-07-14,14.53
2003-07-15,13.0
2003-07-16,12.5
2003-07-17,11.9
2003-07-18,12.99
2003-07-21,12.6
2003-07-22,13.03
2003-07-23,12.72
2003-07-24,12.4
2003-07-25,12.5
