Date,PDCO
1992-10-28,1.9722220000000001
1992-10-29,2.0
1992-10-30,1.9444439999999998
1992-11-02,1.861111
1992-11-03,1.888889
1992-11-04,1.916667
1992-11-05,1.9444439999999998
1992-11-06,2.0
1992-11-09,2.083333
1992-11-10,2.166667
1992-11-11,2.305556
1992-11-12,2.277778
1992-11-13,2.305556
1992-11-16,2.166667
1992-11-17,2.194444
1992-11-18,2.277778
1992-11-19,2.25
1992-11-20,2.277778
1992-11-23,2.25
1992-11-24,2.333333
1992-11-25,2.361111
1992-11-27,2.361111
1992-11-30,2.333333
1992-12-01,2.430556
1992-12-02,2.5
1992-12-03,2.5
1992-12-04,2.555556
1992-12-07,2.472222
1992-12-08,2.583333
1992-12-09,2.611111
1992-12-10,2.583333
1992-12-11,2.583333
1992-12-14,2.611111
1992-12-15,2.5
1992-12-16,2.513889
1992-12-17,2.611111
1992-12-18,2.805556
1992-12-21,2.694444
1992-12-22,2.694444
1992-12-23,2.694444
1992-12-24,2.722222
1992-12-28,2.777778
1992-12-29,2.722222
1992-12-30,2.777778
1992-12-31,2.833333
1993-01-04,2.833333
1993-01-05,2.833333
1993-01-06,2.694444
1993-01-07,2.361111
1993-01-08,2.305556
1993-01-11,2.319444
1993-01-12,2.333333
1993-01-13,2.305556
1993-01-14,2.361111
1993-01-15,2.361111
1993-01-18,2.277778
1993-01-19,2.277778
1993-01-20,2.319444
1993-01-21,2.333333
1993-01-22,2.333333
1993-01-25,2.305556
1993-01-26,2.277778
1993-01-27,2.402778
1993-01-28,2.5
1993-01-29,2.5
1993-02-01,2.5
1993-02-02,2.527778
1993-02-03,2.569444
1993-02-04,2.583333
1993-02-05,2.583333
1993-02-08,2.555556
1993-02-09,2.555556
1993-02-10,2.583333
1993-02-11,2.583333
1993-02-12,2.555556
1993-02-16,2.166667
1993-02-17,2.305556
1993-02-18,2.319444
1993-02-19,2.388889
1993-02-22,2.277778
1993-02-23,2.222222
1993-02-24,2.194444
1993-02-25,2.222222
1993-02-26,2.25
1993-03-01,2.166667
1993-03-02,2.25
1993-03-03,2.319444
1993-03-04,2.319444
1993-03-05,2.277778
1993-03-08,2.277778
1993-03-09,2.236111
1993-03-10,2.236111
1993-03-11,2.305556
1993-03-12,2.222222
1993-03-15,2.222222
1993-03-16,2.138889
1993-03-17,2.166667
1993-03-18,2.194444
1993-03-19,2.277778
1993-03-22,2.194444
1993-03-23,2.166667
1993-03-24,2.138889
1993-03-25,2.194444
1993-03-26,2.111111
1993-03-29,2.222222
1993-03-30,2.222222
1993-03-31,2.166667
1993-04-01,2.166667
1993-04-02,2.166667
1993-04-05,2.111111
1993-04-06,2.013889
1993-04-07,1.888889
1993-04-08,1.9444439999999998
1993-04-12,1.888889
1993-04-13,1.916667
1993-04-14,1.9722220000000001
1993-04-15,1.916667
1993-04-16,1.9722220000000001
1993-04-19,2.0
1993-04-20,2.111111
1993-04-21,2.111111
1993-04-22,2.013889
1993-04-23,1.9444439999999998
1993-04-26,1.916667
1993-04-27,1.986111
1993-04-28,2.027778
1993-04-29,2.055556
1993-04-30,2.125
1993-05-03,2.138889
1993-05-04,2.083333
1993-05-05,2.166667
1993-05-06,2.208333
1993-05-07,2.222222
1993-05-10,2.25
1993-05-11,2.194444
1993-05-12,2.222222
1993-05-13,2.208333
1993-05-14,2.194444
1993-05-17,2.180556
1993-05-18,2.222222
1993-05-19,2.166667
1993-05-20,2.194444
1993-05-21,2.194444
1993-05-24,2.222222
1993-05-25,2.166667
1993-05-26,2.333333
1993-05-27,2.305556
1993-05-28,2.361111
1993-06-01,2.361111
1993-06-02,2.444444
1993-06-03,2.388889
1993-06-04,2.25
1993-06-07,2.25
1993-06-08,2.277778
1993-06-09,2.222222
1993-06-10,2.305556
1993-06-11,2.291667
1993-06-14,2.305556
1993-06-15,2.333333
1993-06-16,2.333333
1993-06-17,2.458333
1993-06-18,2.75
1993-06-21,2.777778
1993-06-22,2.75
1993-06-23,2.694444
1993-06-24,2.833333
1993-06-25,2.819444
1993-06-28,2.805556
1993-06-29,2.861111
1993-06-30,2.888889
1993-07-01,2.833333
1993-07-02,2.944444
1993-07-06,2.916667
1993-07-07,2.861111
1993-07-08,2.944444
1993-07-09,2.861111
1993-07-12,2.888889
1993-07-13,2.944444
1993-07-14,2.916667
1993-07-15,2.888889
1993-07-16,2.944444
1993-07-19,2.930556
1993-07-20,2.888889
1993-07-21,2.944444
1993-07-22,2.944444
1993-07-23,2.944444
1993-07-26,2.944444
1993-07-27,2.944444
1993-07-28,2.944444
1993-07-29,3.0
1993-07-30,2.944444
1993-08-02,3.0
1993-08-03,2.972222
1993-08-04,3.0
1993-08-05,3.0
1993-08-06,3.0
1993-08-09,3.194444
1993-08-10,3.138889
1993-08-11,3.138889
1993-08-12,3.138889
1993-08-13,3.111111
1993-08-16,3.111111
1993-08-17,3.041667
1993-08-18,3.0
1993-08-19,3.083333
1993-08-20,3.083333
1993-08-23,3.069444
1993-08-24,3.083333
1993-08-25,3.069444
1993-08-26,3.111111
1993-08-27,3.111111
1993-08-30,3.111111
1993-08-31,3.125
1993-09-01,3.25
1993-09-02,3.402778
1993-09-03,3.361111
1993-09-07,3.333333
1993-09-08,3.3055559999999997
1993-09-09,3.3055559999999997
1993-09-10,3.333333
1993-09-13,3.333333
1993-09-14,3.333333
1993-09-15,3.361111
1993-09-16,3.361111
1993-09-17,3.3055559999999997
1993-09-20,3.361111
1993-09-21,3.361111
1993-09-22,3.388889
1993-09-23,3.388889
1993-09-24,3.527778
1993-09-27,3.583333
1993-09-28,3.638889
1993-09-29,3.638889
1993-09-30,3.638889
1993-10-01,3.638889
1993-10-04,3.638889
1993-10-05,3.638889
1993-10-06,3.611111
1993-10-07,3.611111
1993-10-08,3.611111
1993-10-11,3.638889
1993-10-12,3.611111
1993-10-13,3.597222
1993-10-14,3.583333
1993-10-15,3.638889
1993-10-18,3.583333
1993-10-19,3.583333
1993-10-20,3.583333
1993-10-21,3.638889
1993-10-22,3.638889
1993-10-25,3.527778
1993-10-26,3.583333
1993-10-27,3.5555559999999997
1993-10-28,3.5555559999999997
1993-10-29,3.583333
1993-11-01,3.583333
1993-11-02,3.583333
1993-11-03,3.583333
1993-11-04,3.3055559999999997
1993-11-05,3.277778
1993-11-08,3.3055559999999997
1993-11-09,3.263889
1993-11-10,3.25
1993-11-11,3.055556
1993-11-12,3.166667
1993-11-15,3.277778
1993-11-16,3.222222
1993-11-17,3.25
1993-11-18,3.25
1993-11-19,3.166667
1993-11-22,3.194444
1993-11-23,3.236111
1993-11-24,3.222222
1993-11-26,3.166667
1993-11-29,3.166667
1993-11-30,3.222222
1993-12-01,3.277778
1993-12-02,3.388889
1993-12-03,3.388889
1993-12-06,3.388889
1993-12-07,3.361111
1993-12-08,3.416667
1993-12-09,3.388889
1993-12-10,3.402778
1993-12-13,3.4444440000000003
1993-12-14,3.388889
1993-12-15,3.333333
1993-12-16,3.333333
1993-12-17,3.388889
1993-12-20,3.3055559999999997
1993-12-21,3.388889
1993-12-22,3.388889
1993-12-23,3.333333
1993-12-27,3.361111
1993-12-28,3.388889
1993-12-29,3.388889
1993-12-30,3.388889
1993-12-31,3.611111
1994-01-03,3.527778
1994-01-04,3.527778
1994-01-05,3.541667
1994-01-06,3.5555559999999997
1994-01-07,3.527778
1994-01-10,3.583333
1994-01-11,3.5555559999999997
1994-01-12,3.583333
1994-01-13,3.5555559999999997
1994-01-14,3.583333
1994-01-17,3.5555559999999997
1994-01-18,3.541667
1994-01-19,3.583333
1994-01-20,3.625
1994-01-21,3.611111
1994-01-24,3.6944440000000003
1994-01-25,3.75
1994-01-26,3.8055559999999997
1994-01-27,3.9444440000000003
1994-01-28,3.916667
1994-01-31,3.972222
1994-02-01,4.027778
1994-02-02,3.9444440000000003
1994-02-03,4.0
1994-02-04,3.888889
1994-02-07,3.972222
1994-02-08,4.0
1994-02-09,4.0
1994-02-10,4.0
1994-02-11,3.972222
1994-02-14,4.027778
1994-02-15,4.027778
1994-02-16,4.013889
1994-02-17,3.986111
1994-02-18,4.055555
1994-02-22,4.0
1994-02-23,3.916667
1994-02-24,3.6944440000000003
1994-02-25,3.625
1994-02-28,3.625
1994-03-01,3.638889
1994-03-02,3.75
1994-03-03,3.736111
1994-03-04,3.833333
1994-03-07,3.777778
1994-03-08,3.861111
1994-03-09,3.9305559999999997
1994-03-10,3.916667
1994-03-11,3.972222
1994-03-14,3.916667
1994-03-15,3.916667
1994-03-16,3.916667
1994-03-17,3.972222
1994-03-18,3.916667
1994-03-21,3.9444440000000003
1994-03-22,3.9305559999999997
1994-03-23,3.972222
1994-03-24,3.916667
1994-03-25,3.9305559999999997
1994-03-28,3.888889
1994-03-29,3.777778
1994-03-30,3.583333
1994-03-31,3.5555559999999997
1994-04-04,3.4444440000000003
1994-04-05,3.583333
1994-04-06,3.666667
1994-04-07,3.722222
1994-04-08,3.722222
1994-04-11,3.833333
1994-04-12,3.666667
1994-04-13,3.5555559999999997
1994-04-14,3.527778
1994-04-15,3.583333
1994-04-18,3.5555559999999997
1994-04-19,3.527778
1994-04-20,3.5
1994-04-21,3.583333
1994-04-22,3.625
1994-04-25,3.583333
1994-04-26,3.791667
1994-04-28,3.875
1994-04-29,3.875
1994-05-02,3.888889
1994-05-03,3.888889
1994-05-04,3.861111
