Date,PRGO
1991-12-17,11.625
1991-12-18,11.5
1991-12-19,11.25
1991-12-20,11.5
1991-12-23,11.875
1991-12-24,12.0
1991-12-26,13.5
1991-12-27,13.5
1991-12-30,14.25
1991-12-31,14.875
1992-01-02,14.25
1992-01-03,15.125
1992-01-06,15.5
1992-01-07,15.0
1992-01-08,15.0
1992-01-09,14.5
1992-01-10,14.875
1992-01-13,15.25
1992-01-14,15.125
1992-01-15,15.0
1992-01-16,14.75
1992-01-17,14.375
1992-01-20,13.625
1992-01-21,13.5
1992-01-22,13.75
1992-01-23,14.75
1992-01-24,15.5
1992-01-27,15.5
1992-01-28,15.625
1992-01-29,15.875
1992-01-30,15.9375
1992-01-31,16.0
1992-02-03,16.25
1992-02-04,16.375
1992-02-05,16.25
1992-02-06,16.5
1992-02-07,16.625
1992-02-10,16.875
1992-02-11,16.625
1992-02-12,16.625
1992-02-13,16.5
1992-02-14,16.25
1992-02-18,16.375
1992-02-19,16.0
1992-02-20,16.375
1992-02-21,17.75
1992-02-24,16.625
1992-02-25,16.125
1992-02-26,16.25
1992-02-27,15.75
1992-02-28,15.75
1992-03-02,15.25
1992-03-03,14.875
1992-03-04,14.6875
1992-03-05,15.125
1992-03-06,14.75
1992-03-09,15.125
1992-03-10,15.75
1992-03-11,15.375
1992-03-12,15.5
1992-03-13,15.25
1992-03-16,15.375
1992-03-17,15.25
1992-03-18,14.875
1992-03-19,14.75
1992-03-20,15.3125
1992-03-23,15.5
1992-03-24,15.75
1992-03-25,15.6875
1992-03-26,16.375
1992-03-27,16.375
1992-03-30,16.375
1992-03-31,16.375
1992-04-01,16.5
1992-04-02,15.875
1992-04-03,15.5
1992-04-06,15.5
1992-04-07,15.25
1992-04-08,14.75
1992-04-09,15.0
1992-04-10,15.625
1992-04-13,16.375
1992-04-14,16.625
1992-04-15,17.5
1992-04-16,16.25
1992-04-20,15.75
1992-04-21,15.6875
1992-04-22,15.625
1992-04-23,15.375
1992-04-24,15.0
1992-04-27,14.0
1992-04-28,13.75
1992-04-29,14.5
1992-04-30,15.625
1992-05-01,15.25
1992-05-04,15.25
1992-05-05,15.5
1992-05-06,15.25
1992-05-07,15.25
1992-05-08,15.125
1992-05-11,15.375
1992-05-12,15.125
1992-05-13,15.125
1992-05-14,15.375
1992-05-15,14.875
1992-05-18,14.5625
1992-05-19,14.75
1992-05-20,14.375
1992-05-21,14.0625
1992-05-22,14.1875
1992-05-26,14.0
1992-05-27,14.0
1992-05-28,14.125
1992-05-29,14.0
1992-06-01,13.625
1992-06-02,13.6875
1992-06-03,13.6875
1992-06-04,14.125
1992-06-05,13.75
1992-06-08,14.25
1992-06-09,13.875
1992-06-10,13.4375
1992-06-11,12.875
1992-06-12,13.0
1992-06-15,12.75
1992-06-16,12.625
1992-06-17,12.25
1992-06-18,11.9375
1992-06-19,13.0
1992-06-22,12.875
1992-06-23,13.5
1992-06-24,14.0
1992-06-25,13.75
1992-06-26,14.0
1992-06-29,14.75
1992-06-30,16.0
1992-07-01,16.125
1992-07-02,15.125
1992-07-06,14.75
1992-07-07,14.5
1992-07-08,14.75
1992-07-09,15.625
1992-07-10,15.75
1992-07-13,16.0
1992-07-14,16.125
1992-07-15,16.0
1992-07-16,16.0
1992-07-17,15.5
1992-07-20,15.5
1992-07-21,16.4375
1992-07-22,16.3125
1992-07-23,16.5
1992-07-24,16.625
1992-07-27,16.5
1992-07-28,16.4375
1992-07-29,16.375
1992-07-30,15.5
1992-07-31,15.875
1992-08-03,15.625
1992-08-04,15.6875
1992-08-05,15.875
1992-08-06,15.5
1992-08-07,15.6875
1992-08-10,15.75
1992-08-11,15.125
1992-08-12,15.0
1992-08-13,15.25
1992-08-14,15.25
1992-08-17,15.1875
1992-08-18,15.75
1992-08-19,16.1875
1992-08-20,16.125
1992-08-21,16.5
1992-08-24,16.9375
1992-08-25,17.25
1992-08-26,17.0
1992-08-27,16.625
1992-08-28,16.625
1992-08-31,15.875
1992-09-01,15.625
1992-09-02,16.125
1992-09-03,16.5
1992-09-04,17.0625
1992-09-08,17.375
1992-09-09,17.375
1992-09-10,17.0
1992-09-11,18.0
1992-09-14,18.375
1992-09-15,18.75
1992-09-16,18.625
1992-09-17,17.875
1992-09-18,17.9375
1992-09-21,17.5
1992-09-22,17.0
1992-09-23,17.0
1992-09-24,16.75
1992-09-25,16.5
1992-09-28,16.5625
1992-09-29,16.125
1992-09-30,16.0
1992-10-01,16.0
1992-10-02,16.125
1992-10-05,15.625
1992-10-06,15.875
1992-10-07,16.125
1992-10-08,16.25
1992-10-09,16.625
1992-10-12,17.375
1992-10-13,17.8125
1992-10-14,18.0
1992-10-15,18.1875
1992-10-16,18.25
1992-10-19,18.25
1992-10-20,18.5
1992-10-21,18.5
1992-10-22,18.5
1992-10-23,18.375
1992-10-26,19.125
1992-10-27,19.5
1992-10-28,19.375
1992-10-29,19.5
1992-10-30,19.375
1992-11-02,19.75
1992-11-03,19.625
1992-11-04,19.5625
1992-11-05,20.0
1992-11-06,20.0
1992-11-09,20.75
1992-11-10,21.25
1992-11-11,21.875
1992-11-12,20.875
1992-11-13,20.875
1992-11-16,20.375
1992-11-17,20.25
1992-11-18,20.0
1992-11-19,20.625
1992-11-20,21.5
1992-11-23,21.4375
1992-11-24,21.375
1992-11-25,20.625
1992-11-27,20.625
1992-11-30,20.875
1992-12-01,21.125
1992-12-02,21.625
1992-12-03,22.0
1992-12-04,21.75
1992-12-07,21.9375
1992-12-08,22.0
1992-12-09,22.5
1992-12-10,22.375
1992-12-11,22.5
1992-12-14,21.5
1992-12-15,21.25
1992-12-16,21.375
1992-12-17,21.25
1992-12-18,21.0
1992-12-21,21.5
1992-12-22,22.0
1992-12-23,22.375
1992-12-24,22.0
1992-12-28,22.4375
1992-12-29,22.4375
1992-12-30,22.5
1992-12-31,22.5
1993-01-04,22.125
1993-01-05,22.25
1993-01-06,21.875
1993-01-07,21.375
1993-01-08,21.25
1993-01-11,21.25
1993-01-12,21.25
1993-01-13,21.0
1993-01-14,21.0
1993-01-15,21.5
1993-01-18,21.875
1993-01-19,21.5
1993-01-20,21.75
1993-01-21,21.875
1993-01-22,21.75
1993-01-25,21.875
1993-01-26,23.0
1993-01-27,23.25
1993-01-28,23.125
1993-01-29,22.5
1993-02-01,23.25
1993-02-02,24.0
1993-02-03,25.125
1993-02-04,24.125
1993-02-05,23.9375
1993-02-08,23.5625
1993-02-09,22.625
1993-02-10,21.875
1993-02-11,21.875
1993-02-12,21.5
1993-02-16,21.0
1993-02-17,20.875
1993-02-18,21.25
1993-02-19,21.25
1993-02-22,19.75
1993-02-23,19.375
1993-02-24,19.75
1993-02-25,20.375
1993-02-26,20.5
1993-03-01,20.875
1993-03-02,22.0
1993-03-03,22.25
1993-03-04,21.625
1993-03-05,21.875
1993-03-08,22.25
1993-03-09,22.0
1993-03-10,21.75
1993-03-11,22.25
1993-03-12,23.125
1993-03-15,23.5
1993-03-16,23.625
1993-03-17,23.875
1993-03-18,23.8125
1993-03-19,23.875
1993-03-22,24.0
1993-03-23,24.125
1993-03-24,23.875
1993-03-25,23.625
1993-03-26,23.5
1993-03-29,23.0
1993-03-30,22.375
1993-03-31,22.375
1993-04-01,22.25
1993-04-02,21.6875
1993-04-05,21.875
1993-04-06,22.375
1993-04-07,24.375
1993-04-08,24.75
1993-04-12,24.75
1993-04-13,25.25
1993-04-14,25.625
1993-04-15,25.5
1993-04-16,23.25
1993-04-19,23.1875
1993-04-20,23.0
1993-04-21,22.125
1993-04-22,22.125
1993-04-23,21.875
1993-04-26,21.125
1993-04-27,20.875
1993-04-28,21.0
1993-04-29,21.875
1993-04-30,22.125
1993-05-03,21.8125
1993-05-04,22.5
1993-05-05,22.0
1993-05-06,21.75
1993-05-07,21.5
1993-05-10,22.125
1993-05-11,20.625
1993-05-12,20.375
1993-05-13,20.375
1993-05-14,20.625
1993-05-17,21.375
1993-05-18,21.5
1993-05-19,22.375
1993-05-20,22.875
1993-05-21,21.75
1993-05-24,22.0
1993-05-25,22.25
1993-05-26,22.125
1993-05-27,22.3125
1993-05-28,22.375
1993-06-01,22.0
1993-06-02,22.125
1993-06-03,21.875
1993-06-04,22.1875
1993-06-07,22.0
1993-06-08,21.0
1993-06-09,20.8125
1993-06-10,20.6875
1993-06-11,20.375
1993-06-14,20.125
1993-06-15,20.5
1993-06-16,20.875
1993-06-17,21.125
1993-06-18,21.25
1993-06-21,20.8125
1993-06-22,21.125
1993-06-23,20.9375
1993-06-24,21.25
1993-06-25,21.5
1993-06-28,21.6875
1993-06-29,21.75
1993-06-30,21.8125
1993-07-01,21.6875
1993-07-02,21.75
1993-07-06,22.25
1993-07-07,22.0
1993-07-08,21.75
1993-07-09,21.75
1993-07-12,21.625
1993-07-13,21.0
1993-07-14,21.0
1993-07-15,22.5625
1993-07-16,22.625
1993-07-19,22.25
1993-07-20,22.0
1993-07-21,22.25
1993-07-22,22.25
1993-07-23,22.1875
1993-07-26,22.375
1993-07-27,22.375
1993-07-28,22.5
