Date,SGU
1995-12-15,22.0
1995-12-18,22.0
1995-12-19,22.25
1995-12-20,22.25
1995-12-21,22.25
1995-12-22,22.25
1995-12-26,22.0
1995-12-27,22.0
1995-12-28,22.25
1995-12-29,22.0
1996-01-02,22.5
1996-01-03,22.25
1996-01-04,22.5
1996-01-05,22.0
1996-01-08,22.375
1996-01-09,22.125
1996-01-10,22.0
1996-01-11,22.0
1996-01-12,22.25
1996-01-15,22.0
1996-01-16,22.25
1996-01-17,22.0
1996-01-18,22.0
1996-01-19,22.0
1996-01-22,22.0
1996-01-23,22.0625
1996-01-24,22.0625
1996-01-25,22.0
1996-01-26,22.5
1996-01-29,22.375
1996-01-30,22.0
1996-01-31,22.25
1996-02-01,22.25
1996-02-02,22.0
1996-02-05,22.125
1996-02-06,22.0
1996-02-07,22.25
1996-02-08,21.375
1996-02-09,21.875
1996-02-12,21.625
1996-02-13,21.5
1996-02-14,21.25
1996-02-15,21.625
1996-02-16,21.25
1996-02-20,21.25
1996-02-21,21.25
1996-02-22,21.625
1996-02-23,21.75
1996-02-26,21.625
1996-02-27,21.75
1996-02-28,21.875
1996-02-29,22.0
1996-03-01,22.0
1996-03-04,22.0
1996-03-05,22.0
1996-03-06,21.75
1996-03-07,21.75
1996-03-08,21.25
1996-03-11,21.75
1996-03-12,21.625
1996-03-13,22.0
1996-03-14,22.125
1996-03-15,22.0
1996-03-18,22.125
1996-03-19,21.875
1996-03-20,21.875
1996-03-21,21.75
1996-03-22,22.125
1996-03-25,22.125
1996-03-26,22.125
1996-03-27,22.0
1996-03-28,21.75
1996-03-29,21.625
1996-04-01,21.375
1996-04-02,21.5
1996-04-03,21.375
1996-04-04,21.125
1996-04-08,21.0
1996-04-09,21.0
1996-04-10,21.0
1996-04-11,21.25
1996-04-12,21.25
1996-04-15,21.0
1996-04-16,21.125
1996-04-17,20.875
1996-04-18,21.375
1996-04-19,20.875
1996-04-22,21.25
1996-04-23,21.375
1996-04-24,21.75
1996-04-25,21.625
1996-04-26,21.875
1996-04-29,21.25
1996-04-30,21.0
1996-05-01,20.375
1996-05-02,19.75
1996-05-03,20.0
1996-05-06,20.0
1996-05-07,20.5
1996-05-08,20.625
1996-05-09,20.625
1996-05-10,20.625
1996-05-13,20.625
1996-05-14,20.25
1996-05-15,20.125
1996-05-16,20.0
1996-05-17,20.125
1996-05-20,20.625
1996-05-21,20.75
1996-05-22,20.75
1996-05-23,21.375
1996-05-24,21.375
1996-05-28,21.125
1996-05-29,21.5
1996-05-30,21.125
1996-05-31,21.0
1996-06-03,21.375
1996-06-04,21.25
1996-06-05,21.0
1996-06-06,21.25
1996-06-07,21.375
1996-06-10,21.0
1996-06-11,20.875
1996-06-12,21.25
1996-06-13,20.875
1996-06-14,21.125
1996-06-17,20.875
1996-06-18,21.0
1996-06-19,21.25
1996-06-20,21.25
1996-06-21,21.375
1996-06-24,21.0
1996-06-25,20.75
1996-06-26,20.875
1996-06-27,20.75
1996-06-28,20.5
1996-07-01,20.75
1996-07-02,20.5
1996-07-03,20.75
1996-07-05,20.875
1996-07-08,21.0
1996-07-09,21.25
1996-07-10,21.625
1996-07-11,21.25
1996-07-12,21.25
1996-07-15,20.875
1996-07-16,20.875
1996-07-17,20.875
1996-07-18,21.0
1996-07-19,21.375
1996-07-22,21.75
1996-07-23,21.5
1996-07-24,21.625
1996-07-25,21.25
1996-07-26,21.5
1996-07-29,21.5
1996-07-30,21.125
1996-07-31,20.75
1996-08-01,22.0
1996-08-02,21.875
1996-08-05,22.375
1996-08-06,23.125
1996-08-07,22.875
1996-08-08,23.0
1996-08-09,23.25
1996-08-12,23.25
1996-08-13,22.5
1996-08-14,22.9375
1996-08-15,23.5
1996-08-16,24.0
1996-08-19,23.5
1996-08-20,23.75
