Date,TFSL
2007-04-23,11.79
2007-04-24,11.88
2007-04-25,11.88
2007-04-26,11.87
2007-04-27,11.8
2007-04-30,11.72
2007-05-01,11.71
2007-05-02,11.91
2007-05-03,12.0
2007-05-04,12.16
2007-05-07,12.16
2007-05-08,12.19
2007-05-09,12.3
2007-05-10,12.32
2007-05-11,12.33
2007-05-14,12.38
2007-05-15,12.48
2007-05-16,12.49
2007-05-17,12.42
2007-05-18,12.45
2007-05-21,12.33
2007-05-22,12.34
2007-05-23,12.33
2007-05-24,12.32
2007-05-25,12.3
2007-05-29,12.23
2007-05-30,12.2
2007-05-31,12.13
2007-06-01,12.1
2007-06-04,12.23
2007-06-05,12.3
2007-06-06,12.2
2007-06-07,12.14
2007-06-08,12.09
2007-06-11,12.17
2007-06-12,12.1
2007-06-13,12.16
2007-06-14,12.22
2007-06-15,12.33
2007-06-18,12.18
2007-06-19,12.08
2007-06-20,12.11
2007-06-21,12.0
2007-06-22,12.01
2007-06-25,11.84
2007-06-26,11.84
2007-06-27,11.73
2007-06-28,11.6
2007-06-29,11.54
2007-07-02,11.53
2007-07-03,11.53
2007-07-05,11.59
2007-07-06,11.61
2007-07-09,11.6
2007-07-10,11.5
2007-07-11,11.48
2007-07-12,11.43
2007-07-13,11.32
2007-07-16,11.03
2007-07-17,10.97
2007-07-18,11.05
2007-07-19,11.45
2007-07-20,11.85
2007-07-23,11.81
2007-07-24,11.62
2007-07-25,11.6
2007-07-26,11.39
2007-07-27,11.35
2007-07-30,11.4
2007-07-31,11.36
2007-08-01,11.37
2007-08-02,11.44
2007-08-03,11.01
2007-08-06,11.05
2007-08-07,10.74
2007-08-08,10.95
2007-08-09,10.69
2007-08-10,11.01
2007-08-13,10.85
2007-08-14,10.67
2007-08-15,10.84
2007-08-16,11.13
2007-08-17,11.38
2007-08-20,11.36
2007-08-21,11.62
2007-08-22,11.59
2007-08-23,11.48
2007-08-24,11.63
2007-08-27,11.58
2007-08-28,11.48
2007-08-29,11.58
2007-08-30,11.57
2007-08-31,11.6
2007-09-04,11.55
2007-09-05,11.77
2007-09-06,11.65
2007-09-07,11.9
2007-09-10,11.84
2007-09-11,11.99
2007-09-12,11.95
2007-09-13,11.95
2007-09-14,11.99
2007-09-17,12.0
2007-09-18,12.07
2007-09-19,12.22
2007-09-20,12.37
2007-09-21,12.58
2007-09-24,12.66
2007-09-25,12.79
2007-09-26,12.8
2007-09-27,12.95
2007-09-28,12.94
2007-10-01,12.9
2007-10-02,12.91
2007-10-03,13.0
2007-10-04,13.0
2007-10-05,13.04
2007-10-08,13.1
2007-10-09,13.15
2007-10-10,13.13
2007-10-11,13.02
2007-10-12,13.06
2007-10-15,13.0
2007-10-16,12.82
2007-10-17,12.62
2007-10-18,12.59
2007-10-19,12.69
2007-10-22,12.66
2007-10-23,12.66
2007-10-24,12.75
2007-10-25,12.67
2007-10-26,12.79
2007-10-29,12.61
2007-10-30,12.7
2007-10-31,12.75
2007-11-01,12.67
2007-11-02,12.69
2007-11-05,12.65
2007-11-06,12.59
2007-11-07,12.33
2007-11-08,12.13
2007-11-09,12.22
2007-11-12,12.0
2007-11-13,12.23
2007-11-14,12.27
2007-11-15,12.19
2007-11-16,12.34
2007-11-19,12.23
2007-11-20,12.05
2007-11-21,11.97
2007-11-23,12.1
2007-11-26,11.97
2007-11-27,11.78
2007-11-28,12.0
2007-11-29,11.99
2007-11-30,12.35
2007-12-03,12.32
2007-12-04,12.23
2007-12-05,12.41
2007-12-06,12.65
2007-12-07,12.7
2007-12-10,12.84
2007-12-11,12.83
2007-12-12,12.8
2007-12-13,12.5
2007-12-14,12.4
2007-12-17,12.28
2007-12-18,12.03
2007-12-19,11.91
2007-12-20,12.06
2007-12-21,12.2
2007-12-24,12.13
2007-12-26,12.16
2007-12-27,12.09
2007-12-28,12.06
2007-12-31,11.94
2008-01-02,11.84
2008-01-03,11.67
2008-01-04,11.35
2008-01-07,11.46
2008-01-08,11.25
2008-01-09,11.35
2008-01-10,11.34
2008-01-11,11.2
2008-01-14,10.99
2008-01-15,10.87
2008-01-16,10.69
2008-01-17,10.86
2008-01-18,10.89
2008-01-22,11.02
2008-01-23,11.26
2008-01-24,11.17
2008-01-25,11.32
2008-01-28,11.42
2008-01-29,11.71
2008-01-30,11.71
2008-01-31,11.94
2008-02-01,12.02
2008-02-04,12.05
2008-02-05,11.96
2008-02-06,11.74
2008-02-07,11.57
2008-02-08,11.54
2008-02-11,12.21
2008-02-12,12.34
2008-02-13,12.31
2008-02-14,12.3
2008-02-15,12.3
2008-02-19,12.36
2008-02-20,12.56
2008-02-21,12.59
2008-02-22,12.5
2008-02-25,12.46
2008-02-26,12.62
2008-02-27,12.71
2008-02-28,12.6
2008-02-29,12.4
2008-03-03,12.34
2008-03-04,12.14
2008-03-05,12.15
2008-03-06,12.15
2008-03-07,12.06
2008-03-10,11.92
2008-03-11,11.95
2008-03-12,12.0
2008-03-13,12.07
2008-03-14,12.1
2008-03-17,11.96
2008-03-18,12.1
2008-03-19,12.0
2008-03-20,12.08
2008-03-24,12.12
2008-03-25,12.15
2008-03-26,12.15
2008-03-27,12.08
2008-03-28,12.0
2008-03-31,12.03
2008-04-01,12.24
2008-04-02,12.3
2008-04-03,12.17
2008-04-04,12.11
2008-04-07,11.98
2008-04-08,11.92
2008-04-09,11.9
2008-04-10,11.81
2008-04-11,11.74
2008-04-14,11.65
2008-04-15,11.63
2008-04-16,11.98
