Date,ULTA
2007-10-25,29.82
2007-10-26,32.0
2007-10-29,34.700001
2007-10-30,35.43
2007-10-31,34.200001
2007-11-01,32.73
2007-11-02,32.419998
2007-11-05,31.5
2007-11-06,31.43
2007-11-07,29.35
2007-11-08,30.0
2007-11-09,29.9
2007-11-12,29.040001
2007-11-13,29.129998999999998
2007-11-14,29.950001
2007-11-15,30.200001
2007-11-16,30.690001000000002
2007-11-19,29.190001000000002
2007-11-20,27.0
2007-11-21,24.35
2007-11-23,24.17
2007-11-26,24.200001
2007-11-27,23.870001000000002
2007-11-28,24.85
2007-11-29,24.790001
2007-11-30,25.74
2007-12-03,26.299999
2007-12-04,25.85
2007-12-05,26.540001
2007-12-06,27.49
2007-12-07,27.98
2007-12-10,27.5
2007-12-11,20.91
2007-12-12,19.549999
2007-12-13,18.559998999999998
2007-12-14,18.549999
2007-12-17,17.860001
2007-12-18,17.700001
2007-12-19,17.75
2007-12-20,16.75
2007-12-21,16.58
2007-12-24,16.799999
2007-12-26,17.35
2007-12-27,17.27
2007-12-28,17.1
2007-12-31,17.15
2008-01-02,16.549999
2008-01-03,15.5
2008-01-04,14.49
2008-01-07,12.52
2008-01-08,13.55
2008-01-09,14.5
2008-01-10,16.07
2008-01-11,15.8
2008-01-14,16.049999
2008-01-15,15.61
2008-01-16,15.91
2008-01-17,14.76
2008-01-18,12.5
2008-01-22,12.58
2008-01-23,14.25
2008-01-24,14.3
2008-01-25,15.19
2008-01-28,15.5
2008-01-29,16.35
2008-01-30,15.55
2008-01-31,15.24
2008-02-01,14.75
2008-02-04,14.03
2008-02-05,14.0
2008-02-06,14.2
2008-02-07,15.92
2008-02-08,15.55
2008-02-11,15.09
2008-02-12,14.91
2008-02-13,14.93
2008-02-14,14.79
2008-02-15,14.79
2008-02-19,14.78
2008-02-20,14.92
2008-02-21,14.78
2008-02-22,14.0
2008-02-25,14.15
2008-02-26,15.17
2008-02-27,14.82
2008-02-28,14.62
2008-02-29,14.01
2008-03-03,14.75
