Date,VECO
1994-11-29,10.9375
1994-11-30,11.0
1994-12-01,11.0
1994-12-02,11.0
1994-12-05,11.0
1994-12-06,11.0
1994-12-07,11.25
1994-12-08,9.25
1994-12-09,9.0
1994-12-12,9.4375
1994-12-13,9.875
1994-12-14,9.75
1994-12-15,9.75
1994-12-16,10.0
1994-12-19,10.25
1994-12-20,9.75
1994-12-21,10.25
1994-12-22,9.75
1994-12-23,9.75
1994-12-27,9.75
1994-12-28,9.25
1994-12-29,10.0
1994-12-30,10.125
1995-01-03,9.5
1995-01-04,10.5
1995-01-05,10.5
1995-01-06,10.5
1995-01-09,10.0
1995-01-10,9.875
1995-01-11,9.25
1995-01-12,9.0
1995-01-13,9.0
1995-01-16,9.25
1995-01-17,9.0
1995-01-18,9.75
1995-01-19,10.0
1995-01-20,10.25
1995-01-23,10.0
1995-01-24,9.625
1995-01-25,9.5
1995-01-26,9.375
1995-01-27,8.875
1995-01-30,8.5
1995-01-31,8.75
1995-02-01,8.5
1995-02-02,8.5
1995-02-03,9.0
1995-02-06,9.25
1995-02-07,9.25
1995-02-08,9.5
1995-02-09,9.5
1995-02-10,9.75
1995-02-13,9.5
1995-02-14,9.8125
1995-02-15,9.75
1995-02-16,9.625
1995-02-17,9.25
1995-02-21,9.625
1995-02-22,10.0
1995-02-23,10.0
1995-02-24,10.0
1995-02-27,10.0
1995-02-28,10.125
1995-03-01,10.0
1995-03-02,10.25
1995-03-03,10.25
1995-03-06,10.0
1995-03-07,9.875
1995-03-08,9.875
1995-03-09,10.125
1995-03-10,10.0
1995-03-13,9.875
1995-03-14,10.25
1995-03-15,11.5
1995-03-16,12.0
1995-03-17,12.0
1995-03-20,12.25
1995-03-21,12.75
1995-03-22,13.0
1995-03-23,13.125
1995-03-24,13.5
1995-03-27,13.25
1995-03-28,14.25
1995-03-29,14.0
1995-03-30,13.5625
1995-03-31,14.0
1995-04-03,14.0
1995-04-04,13.25
1995-04-05,13.0
1995-04-06,13.75
1995-04-07,13.5
1995-04-10,13.875
1995-04-11,13.75
1995-04-12,14.125
1995-04-13,14.25
1995-04-17,14.375
1995-04-18,13.75
1995-04-19,14.0
1995-04-20,13.625
1995-04-21,13.875
1995-04-24,13.875
1995-04-25,13.875
1995-04-26,13.875
1995-04-27,14.375
1995-04-28,14.375
1995-05-01,14.375
1995-05-02,13.875
1995-05-03,13.375
1995-05-04,13.75
1995-05-05,13.5
1995-05-08,13.5
1995-05-09,13.375
1995-05-10,13.25
1995-05-11,13.5
1995-05-12,14.125
1995-05-15,15.25
1995-05-16,15.25
1995-05-17,16.75
1995-05-18,15.25
1995-05-19,15.125
1995-05-22,16.375
1995-05-23,16.125
1995-05-24,16.0
1995-05-25,17.625
1995-05-26,17.5
1995-05-30,16.0
1995-05-31,16.5
1995-06-01,16.0
1995-06-02,15.625
1995-06-05,17.5625
1995-06-06,17.125
1995-06-07,17.625
1995-06-08,18.0
1995-06-09,17.75
1995-06-12,17.125
1995-06-13,17.875
1995-06-14,18.5
1995-06-15,19.75
1995-06-16,19.625
1995-06-19,20.25
1995-06-20,19.0
1995-06-21,18.25
1995-06-22,18.75
1995-06-23,19.5
1995-06-26,19.0
1995-06-27,17.0
1995-06-28,16.875
1995-06-29,16.25
1995-06-30,16.75
1995-07-03,16.875
1995-07-05,16.0
1995-07-06,17.125
1995-07-07,18.75
1995-07-10,19.5
1995-07-11,18.625
1995-07-12,20.5
1995-07-13,22.0
1995-07-14,21.375
1995-07-17,20.5
1995-07-18,20.0
1995-07-19,19.0
1995-07-20,19.125
1995-07-21,20.75
1995-07-24,20.0
1995-07-25,18.5
1995-07-26,20.375
1995-07-27,21.75
1995-07-28,21.75
1995-07-31,21.25
1995-08-01,21.5
1995-08-02,21.625
1995-08-03,21.125
1995-08-04,21.75
1995-08-07,22.25
1995-08-08,21.5
1995-08-09,21.5625
1995-08-10,21.0
1995-08-11,21.0
1995-08-14,22.25
1995-08-15,22.0
1995-08-16,24.75
1995-08-17,25.25
1995-08-18,24.0
