Date,VOXX
1992-03-16,1.875
1992-03-17,2.125
1992-03-18,2.25
1992-03-19,2.25
1992-03-20,2.125
1992-03-23,2.125
1992-03-24,2.125
1992-03-25,2.125
1992-03-26,2.125
1992-03-27,2.0
1992-03-30,2.125
1992-03-31,2.125
1992-04-01,2.0
1992-04-02,1.875
1992-04-03,2.0
1992-04-06,1.875
1992-04-07,2.125
1992-04-08,1.875
1992-04-09,2.0
1992-04-10,1.875
1992-04-13,2.5
1992-04-14,3.0
1992-04-15,3.0
1992-04-16,3.5
1992-04-20,3.375
1992-04-21,3.375
1992-04-22,3.25
1992-04-23,3.125
1992-04-24,3.25
1992-04-27,3.125
1992-04-28,3.25
1992-04-29,3.125
1992-04-30,3.125
1992-05-01,3.0
1992-05-04,2.75
1992-05-05,3.0
1992-05-06,3.375
1992-05-07,3.5
1992-05-08,3.875
1992-05-11,3.875
1992-05-12,3.75
1992-05-13,3.75
1992-05-14,3.5
1992-05-15,3.75
1992-05-18,3.875
1992-05-19,3.75
1992-05-20,3.75
1992-05-21,3.875
1992-05-22,3.875
1992-05-26,4.0
1992-05-27,4.0
1992-05-28,3.625
1992-05-29,3.75
1992-06-01,3.625
1992-06-02,3.625
1992-06-03,3.5
1992-06-04,3.625
1992-06-05,3.625
1992-06-08,3.625
1992-06-09,3.5
1992-06-10,3.375
1992-06-11,3.25
1992-06-12,3.25
1992-06-15,3.0
1992-06-16,3.125
1992-06-17,2.75
1992-06-18,2.625
1992-06-19,2.875
1992-06-22,2.875
1992-06-23,2.875
1992-06-24,3.0
1992-06-25,3.25
1992-06-26,3.25
1992-06-29,3.375
1992-06-30,3.25
1992-07-01,3.125
1992-07-02,3.375
1992-07-06,3.25
1992-07-07,3.375
1992-07-08,3.625
1992-07-09,3.75
1992-07-10,3.75
1992-07-13,3.875
1992-07-14,3.75
1992-07-15,3.875
1992-07-16,3.75
1992-07-17,3.875
1992-07-20,3.75
1992-07-21,3.875
1992-07-22,3.75
1992-07-23,3.75
1992-07-24,3.875
1992-07-27,4.0
1992-07-28,3.875
1992-07-29,3.875
1992-07-30,3.75
1992-07-31,3.75
1992-08-03,3.75
1992-08-04,3.875
1992-08-05,3.625
1992-08-06,3.625
1992-08-07,3.625
1992-08-10,3.5
1992-08-11,3.625
1992-08-12,3.5
1992-08-13,3.5
1992-08-14,3.625
1992-08-17,3.5
1992-08-18,3.5
1992-08-19,3.5
1992-08-20,3.5
1992-08-21,3.375
1992-08-24,3.375
1992-08-25,3.375
1992-08-26,3.375
1992-08-27,3.5
1992-08-28,3.5
1992-08-31,3.5
1992-09-01,3.375
1992-09-02,3.5
1992-09-03,3.5
1992-09-04,3.625
1992-09-08,3.5
1992-09-09,3.5
1992-09-10,3.375
1992-09-11,3.5
1992-09-14,3.5
1992-09-15,3.5
1992-09-16,3.375
1992-09-17,3.5
1992-09-18,3.625
1992-09-21,3.625
1992-09-22,3.875
1992-09-23,3.75
1992-09-24,3.625
1992-09-25,3.75
1992-09-28,3.875
1992-09-29,3.9375
1992-09-30,4.0
1992-10-01,3.875
1992-10-02,4.0
1992-10-05,3.8125
1992-10-06,3.9375
1992-10-07,3.9375
1992-10-08,3.8125
1992-10-09,3.875
1992-10-12,4.0
1992-10-13,4.5
1992-10-14,4.375
1992-10-15,4.25
1992-10-16,4.25
1992-10-19,4.5
1992-10-20,4.5
1992-10-21,4.625
1992-10-22,4.625
1992-10-23,4.5
1992-10-26,4.375
1992-10-27,4.5
1992-10-28,4.5
1992-10-29,4.5
1992-10-30,4.5
1992-11-02,4.625
1992-11-03,4.625
1992-11-04,5.0
1992-11-05,5.5
1992-11-06,5.125
1992-11-09,5.125
1992-11-10,5.0
1992-11-11,5.25
1992-11-12,5.625
1992-11-13,5.5
1992-11-16,6.0
1992-11-17,5.75
1992-11-18,5.875
1992-11-19,5.875
1992-11-20,5.75
1992-11-23,5.625
1992-11-24,5.625
1992-11-25,5.625
1992-11-27,5.75
1992-11-30,5.75
1992-12-01,5.625
1992-12-02,5.875
1992-12-03,5.75
1992-12-04,6.125
1992-12-07,6.125
1992-12-08,6.0
1992-12-09,6.125
1992-12-10,6.75
1992-12-11,7.0
1992-12-14,7.75
1992-12-15,8.375
1992-12-16,8.625
1992-12-17,7.875
1992-12-18,8.125
1992-12-21,8.5
1992-12-22,8.5
1992-12-23,8.0
1992-12-24,7.75
1992-12-28,7.625
1992-12-29,7.0
1992-12-30,7.25
1992-12-31,7.25
1993-01-04,7.625
1993-01-05,7.875
1993-01-06,7.625
1993-01-07,7.5
1993-01-08,7.625
1993-01-11,7.875
1993-01-12,7.875
1993-01-13,7.75
1993-01-14,7.375
1993-01-15,7.0
1993-01-18,7.625
1993-01-19,8.125
1993-01-20,8.625
1993-01-21,8.625
1993-01-22,8.5
1993-01-25,8.625
1993-01-26,8.5
1993-01-27,8.375
1993-01-28,8.5
1993-01-29,8.25
1993-02-01,7.75
1993-02-02,8.0
1993-02-03,7.875
1993-02-04,8.0
1993-02-05,8.5
1993-02-08,8.625
1993-02-09,7.875
1993-02-10,7.625
1993-02-11,7.875
1993-02-12,8.0
1993-02-16,7.125
1993-02-17,7.125
1993-02-18,7.25
1993-02-19,7.375
1993-02-22,7.25
1993-02-23,7.0
1993-02-24,7.125
1993-02-25,7.25
1993-02-26,7.375
1993-03-01,7.875
1993-03-02,8.0
1993-03-03,8.0
1993-03-04,8.125
1993-03-05,7.75
1993-03-08,7.75
1993-03-09,7.625
1993-03-10,7.375
1993-03-11,7.375
1993-03-12,7.375
1993-03-15,7.25
1993-03-16,7.25
1993-03-17,7.125
1993-03-18,7.375
1993-03-19,7.375
1993-03-22,7.5
1993-03-23,7.5
1993-03-24,7.5
1993-03-25,7.5
1993-03-26,7.375
1993-03-29,7.75
1993-03-30,8.125
1993-03-31,8.25
1993-04-01,8.125
1993-04-02,7.875
1993-04-05,7.75
1993-04-06,7.875
1993-04-07,8.625
1993-04-08,8.625
1993-04-12,8.5
1993-04-13,8.25
1993-04-14,8.125
1993-04-15,8.0
1993-04-16,8.25
1993-04-19,8.25
1993-04-20,8.375
1993-04-21,8.375
1993-04-22,8.0
1993-04-23,8.25
1993-04-26,8.0
1993-04-27,8.125
1993-04-28,8.0
1993-04-29,7.875
1993-04-30,7.875
1993-05-03,7.875
1993-05-04,8.0
1993-05-05,8.375
1993-05-06,9.625
1993-05-07,9.5
1993-05-10,9.75
1993-05-11,10.875
1993-05-12,10.375
1993-05-13,10.0
1993-05-14,10.375
1993-05-17,10.0
1993-05-18,10.25
1993-05-19,10.125
1993-05-20,10.125
1993-05-21,10.25
1993-05-24,10.125
1993-05-25,10.375
1993-05-26,11.25
1993-05-27,11.625
1993-05-28,12.25
1993-06-01,12.75
1993-06-02,12.25
1993-06-03,12.125
1993-06-04,12.75
1993-06-07,12.375
1993-06-08,12.25
1993-06-09,12.0
1993-06-10,11.75
1993-06-11,11.375
1993-06-14,11.625
1993-06-15,12.0
1993-06-16,12.5
1993-06-17,12.25
1993-06-18,12.125
1993-06-21,12.625
1993-06-22,13.0
1993-06-23,12.75
1993-06-24,13.375
1993-06-25,13.875
1993-06-28,14.0
1993-06-29,14.625
1993-06-30,13.5
1993-07-01,13.5
1993-07-02,13.375
1993-07-06,12.375
1993-07-07,12.125
1993-07-08,12.625
1993-07-09,12.75
1993-07-12,12.5
1993-07-13,12.0
1993-07-14,11.875
1993-07-15,12.125
1993-07-16,11.625
1993-07-19,11.625
1993-07-20,12.0
1993-07-21,12.625
1993-07-22,12.375
1993-07-23,12.25
1993-07-26,12.375
1993-07-27,11.875
1993-07-28,11.625
1993-07-29,11.875
1993-07-30,11.625
1993-08-02,11.75
1993-08-03,11.625
1993-08-04,11.75
1993-08-05,11.625
1993-08-06,11.875
1993-08-09,12.0
1993-08-10,11.875
1993-08-11,11.0
1993-08-12,10.75
1993-08-13,10.75
1993-08-16,11.5
1993-08-17,11.5
1993-08-18,12.125
1993-08-19,12.125
1993-08-20,12.0
1993-08-23,12.0
1993-08-24,11.75
1993-08-25,11.25
1993-08-26,11.75
1993-08-27,11.75
1993-08-30,12.25
1993-08-31,12.375
1993-09-01,12.25
1993-09-02,12.625
1993-09-03,12.75
1993-09-07,13.0
1993-09-08,12.625
1993-09-09,13.0
1993-09-10,13.0
1993-09-13,13.125
1993-09-14,13.625
1993-09-15,14.25
1993-09-16,14.875
1993-09-17,14.875
1993-09-20,14.75
1993-09-21,14.375
1993-09-22,15.25
1993-09-23,15.75
1993-09-24,15.75
1993-09-27,15.75
1993-09-28,15.625
1993-09-29,15.75
1993-09-30,15.625
1993-10-01,16.375
1993-10-04,16.875
1993-10-05,16.5
1993-10-06,16.5
1993-10-07,16.875
1993-10-08,16.75
1993-10-11,16.75
1993-10-12,17.5
1993-10-13,17.875
1993-10-14,16.0
1993-10-15,16.375
1993-10-18,16.25
1993-10-19,15.75
1993-10-20,16.0
1993-10-21,16.625
1993-10-22,17.5
1993-10-25,17.375
1993-10-26,17.0
1993-10-27,17.0
1993-10-28,16.875
1993-10-29,17.625
1993-11-01,17.875
1993-11-02,17.75
1993-11-03,17.25
1993-11-04,16.375
1993-11-05,15.75
1993-11-08,15.875
1993-11-09,15.875
1993-11-10,15.625
1993-11-11,15.75
1993-11-12,16.75
1993-11-15,17.25
1993-11-16,16.75
1993-11-17,16.625
1993-11-18,16.5
1993-11-19,16.25
1993-11-22,15.625
1993-11-23,16.375
1993-11-24,16.75
1993-11-26,16.875
1993-11-29,17.25
1993-11-30,17.375
1993-12-01,17.25
1993-12-02,17.0
1993-12-03,17.0
1993-12-06,16.75
1993-12-07,16.125
1993-12-08,16.875
1993-12-09,16.875
1993-12-10,16.875
1993-12-13,17.0
