Date,VRS
2016-07-19,12.0
2016-07-20,11.8
2016-07-21,11.75
2016-07-22,11.6
2016-07-25,11.54
2016-07-26,11.53
2016-07-27,11.55
2016-07-28,11.5
2016-07-29,11.65
2016-08-01,11.75
2016-08-02,11.3
2016-08-03,11.07
2016-08-04,10.75
2016-08-05,10.739
2016-08-08,10.19
2016-08-09,9.81
2016-08-10,10.05
2016-08-11,10.32
2016-08-12,10.65
2016-08-15,10.54
2016-08-16,8.5
2016-08-17,7.11
2016-08-18,6.2
2016-08-19,5.94
2016-08-22,5.82
2016-08-23,5.66
2016-08-24,5.95
2016-08-25,6.17
2016-08-26,6.1
2016-08-29,6.1
2016-08-30,6.09
2016-08-31,6.31
2016-09-01,6.41
2016-09-02,7.09
2016-09-06,7.79
2016-09-07,7.94
2016-09-08,7.8
2016-09-09,7.62
2016-09-12,7.63
2016-09-13,7.49
2016-09-14,7.4
2016-09-15,7.2
2016-09-16,6.87
2016-09-19,6.96
2016-09-20,6.98
2016-09-21,6.85
2016-09-22,6.91
2016-09-23,6.79
2016-09-26,6.82
2016-09-27,6.63
2016-09-28,6.68
2016-09-29,6.53
2016-09-30,6.45
2016-10-03,6.7
2016-10-04,6.49
2016-10-05,6.59
2016-10-06,6.42
2016-10-07,6.23
2016-10-10,6.39
2016-10-11,6.29
2016-10-12,6.08
2016-10-13,6.12
2016-10-14,6.09
2016-10-17,6.18
2016-10-18,6.31
2016-10-19,6.36
2016-10-20,6.25
2016-10-21,6.23
2016-10-24,6.0
2016-10-25,6.01
2016-10-26,5.94
2016-10-27,5.72
2016-10-28,5.85
2016-10-31,6.14
2016-11-01,5.68
2016-11-02,5.59
2016-11-03,5.39
2016-11-04,4.95
2016-11-07,4.819
2016-11-08,5.02
2016-11-09,5.13
2016-11-10,5.24
2016-11-11,5.32
2016-11-14,5.88
2016-11-15,5.7
2016-11-16,5.45
2016-11-17,5.36
2016-11-18,5.36
2016-11-21,5.34
2016-11-22,5.22
2016-11-23,5.47
2016-11-25,5.47
2016-11-28,5.37
2016-11-29,5.28
2016-11-30,5.35
2016-12-01,5.46
2016-12-02,5.29
2016-12-05,5.39
2016-12-06,5.38
2016-12-07,6.2
2016-12-08,6.97
2016-12-09,6.86
2016-12-12,6.8
2016-12-13,6.77
2016-12-14,6.74
2016-12-15,6.7
2016-12-16,7.16
2016-12-19,6.6
