Date,VVV
2016-09-23,23.1
2016-09-26,23.98
2016-09-27,23.68
2016-09-28,23.85
2016-09-29,23.5
2016-09-30,23.49
2016-10-03,23.209999
2016-10-04,23.129998999999998
2016-10-05,23.0
2016-10-06,23.07
2016-10-07,22.75
2016-10-10,23.09
2016-10-11,22.98
2016-10-12,23.200001
2016-10-13,23.15
2016-10-14,23.280001000000002
2016-10-17,23.110001
2016-10-18,22.780001000000002
2016-10-19,22.299999
2016-10-20,22.1
2016-10-21,21.57
2016-10-24,21.35
2016-10-25,21.07
2016-10-26,20.709999
2016-10-27,20.4
2016-10-28,20.59
2016-10-31,20.4
2016-11-01,20.059998999999998
2016-11-02,20.1
2016-11-03,20.33
2016-11-04,20.68
2016-11-07,20.790001
2016-11-08,21.030001000000002
2016-11-09,19.799999
2016-11-10,18.93
2016-11-11,18.9
2016-11-14,19.610001
2016-11-15,19.84
2016-11-16,20.280001000000002
2016-11-17,20.93
2016-11-18,21.49
2016-11-21,21.5
2016-11-22,21.0
2016-11-23,21.0
2016-11-25,21.09
2016-11-28,21.139999
2016-11-29,21.219998999999998
2016-11-30,20.99
2016-12-01,20.280001000000002
2016-12-02,19.98
2016-12-05,19.91
2016-12-06,19.799999
2016-12-07,20.24
2016-12-08,19.959999
2016-12-09,20.540001
2016-12-12,20.889999
2016-12-13,21.190001000000002
2016-12-14,20.559998999999998
2016-12-15,20.73
2016-12-16,20.6
2016-12-19,20.719998999999998
2016-12-20,20.809998999999998
2016-12-21,21.190001000000002
2016-12-22,21.299999
2016-12-23,21.59
2016-12-27,21.92
2016-12-28,21.610001
2016-12-29,21.5
2016-12-30,21.5
2017-01-03,21.49
2017-01-04,21.17
2017-01-05,21.6
2017-01-06,21.469998999999998
2017-01-09,21.67
2017-01-10,21.950001
2017-01-11,21.92
2017-01-12,21.99
2017-01-13,22.360001
2017-01-17,22.360001
2017-01-18,22.290001
2017-01-19,21.940001000000002
2017-01-20,22.059998999999998
2017-01-23,21.889999
2017-01-24,22.18
2017-01-25,22.4
2017-01-26,22.49
2017-01-27,23.66
2017-01-30,23.65
2017-01-31,23.15
2017-02-01,22.76
2017-02-02,22.629998999999998
2017-02-03,23.059998999999998
2017-02-06,23.379998999999998
2017-02-07,23.209999
2017-02-08,23.34
2017-02-09,23.25
2017-02-10,23.4
2017-02-13,23.85
2017-02-14,23.870001000000002
2017-02-15,23.719998999999998
2017-02-16,23.74
