Date,WIX
2013-11-06,16.309998999999998
2013-11-07,16.559998999999998
2013-11-08,17.299999
2013-11-11,17.940001000000002
2013-11-12,17.549999
2013-11-13,17.27
2013-11-14,17.34
2013-11-15,17.66
2013-11-18,18.74
2013-11-19,18.110001
2013-11-20,18.41
2013-11-21,18.299999
2013-11-22,18.17
2013-11-25,18.299999
2013-11-26,18.209999
2013-11-27,19.530001000000002
2013-11-29,20.5
2013-12-02,22.940001000000002
2013-12-03,22.07
2013-12-04,21.030001000000002
2013-12-05,21.93
2013-12-06,23.889999
2013-12-09,24.639999
2013-12-10,25.190001000000002
2013-12-11,24.99
2013-12-12,23.959999
2013-12-13,24.23
2013-12-16,25.91
2013-12-17,27.620001000000002
2013-12-18,27.92
2013-12-19,26.870001000000002
2013-12-20,27.959999
2013-12-23,27.74
2013-12-24,27.82
2013-12-26,28.49
2013-12-27,28.16
2013-12-30,27.77
2013-12-31,26.85
2014-01-02,25.780001000000002
2014-01-03,25.030001000000002
2014-01-06,24.43
2014-01-07,24.049999
2014-01-08,24.299999
2014-01-09,26.059998999999998
2014-01-10,26.450001
2014-01-13,26.889999
2014-01-14,27.389999
2014-01-15,27.43
2014-01-16,27.58
2014-01-17,28.450001
2014-01-21,28.85
2014-01-22,29.5
2014-01-23,30.07
2014-01-24,28.33
2014-01-27,27.09
2014-01-28,27.549999
2014-01-29,26.99
2014-01-30,27.91
2014-01-31,28.66
2014-02-03,27.01
2014-02-04,26.219998999999998
2014-02-05,25.290001
2014-02-06,25.58
2014-02-07,28.139999
2014-02-10,28.51
2014-02-11,29.77
2014-02-12,29.809998999999998
2014-02-13,29.450001
2014-02-14,29.040001
2014-02-18,28.280001000000002
2014-02-19,27.940001000000002
2014-02-20,28.98
2014-02-21,29.35
2014-02-24,29.120001000000002
2014-02-25,31.23
2014-02-26,31.209999
2014-02-27,31.32
2014-02-28,30.9
2014-03-03,29.889999
2014-03-04,30.34
2014-03-05,29.219998999999998
2014-03-06,29.65
2014-03-07,28.16
2014-03-10,26.870001000000002
2014-03-11,26.549999
2014-03-12,27.35
2014-03-13,26.35
2014-03-14,26.4
2014-03-17,26.780001000000002
2014-03-18,26.799999
2014-03-19,26.629998999999998
2014-03-20,26.559998999999998
2014-03-21,25.68
2014-03-24,23.209999
2014-03-25,23.5
2014-03-26,22.41
2014-03-27,20.200001
2014-03-28,21.02
2014-03-31,22.969998999999998
2014-04-01,22.610001
2014-04-02,22.5
2014-04-03,22.790001
2014-04-04,21.440001000000002
2014-04-07,21.01
2014-04-08,21.1
2014-04-09,22.75
2014-04-10,22.549999
2014-04-11,21.370001000000002
2014-04-14,21.0
2014-04-15,21.209999
2014-04-16,21.25
2014-04-17,21.450001
2014-04-21,21.290001
2014-04-22,22.0
2014-04-23,21.82
2014-04-24,21.15
2014-04-25,20.52
2014-04-28,19.940001000000002
2014-04-29,19.879998999999998
2014-04-30,20.49
2014-05-01,20.24
2014-05-02,19.91
2014-05-05,19.84
2014-05-06,19.26
2014-05-07,18.440001000000002
2014-05-08,17.24
2014-05-09,16.52
2014-05-12,17.43
2014-05-13,16.84
2014-05-14,16.219998999999998
2014-05-15,14.76
2014-05-16,15.43
2014-05-19,15.95
2014-05-20,15.62
2014-05-21,15.57
2014-05-22,15.93
2014-05-23,15.43
2014-05-27,16.65
2014-05-28,17.84
2014-05-29,17.879998999999998
2014-05-30,17.860001
2014-06-02,17.700001
2014-06-03,16.59
2014-06-04,16.549999
2014-06-05,16.700001
2014-06-06,17.01
2014-06-09,17.49
2014-06-10,18.030001000000002
2014-06-11,17.83
2014-06-12,17.76
2014-06-13,17.93
2014-06-16,17.59
2014-06-17,17.629998999999998
2014-06-18,17.76
2014-06-19,17.620001000000002
2014-06-20,17.540001
2014-06-23,17.77
2014-06-24,20.040001
2014-06-25,20.059998999999998
2014-06-26,20.049999
2014-06-27,19.99
2014-06-30,19.84
2014-07-01,20.23
2014-07-02,19.91
2014-07-03,20.09
2014-07-07,20.0
2014-07-08,19.309998999999998
2014-07-09,19.93
2014-07-10,19.17
2014-07-11,19.1
2014-07-14,19.24
2014-07-15,18.33
2014-07-16,18.07
2014-07-17,17.92
2014-07-18,17.83
2014-07-21,17.360001
2014-07-22,17.92
2014-07-23,17.700001
2014-07-24,17.76
2014-07-25,17.629998999999998
2014-07-28,17.190001000000002
2014-07-29,17.75
2014-07-30,17.469998999999998
2014-07-31,16.950001
2014-08-01,16.15
2014-08-04,16.33
2014-08-05,17.360001
2014-08-06,17.620001000000002
2014-08-07,16.780001000000002
2014-08-08,16.52
2014-08-11,16.5
2014-08-12,16.200001
2014-08-13,16.790001
2014-08-14,16.709999
2014-08-15,16.74
2014-08-18,17.49
2014-08-19,17.450001
2014-08-20,16.9
2014-08-21,17.6
2014-08-22,16.77
2014-08-25,16.92
2014-08-26,16.74
2014-08-27,16.5
2014-08-28,16.23
2014-08-29,16.459999
2014-09-02,16.629998999999998
2014-09-03,16.700001
2014-09-04,16.559998999999998
2014-09-05,16.200001
2014-09-08,16.889999
2014-09-09,16.870001000000002
2014-09-10,16.84
2014-09-11,17.82
2014-09-12,17.98
2014-09-15,17.5
2014-09-16,17.620001000000002
2014-09-17,17.68
2014-09-18,17.540001
2014-09-19,17.440001000000002
2014-09-22,16.610001
2014-09-23,16.549999
2014-09-24,16.540001
2014-09-25,16.129998999999998
2014-09-26,16.07
2014-09-29,16.76
2014-09-30,16.25
2014-10-01,16.68
2014-10-02,16.83
2014-10-03,17.83
2014-10-06,17.5
2014-10-07,16.799999
2014-10-08,17.41
2014-10-09,16.83
2014-10-10,16.52
2014-10-13,16.5
2014-10-14,16.48
2014-10-15,16.639999
2014-10-16,17.780001000000002
2014-10-17,17.219998999999998
2014-10-20,17.15
2014-10-21,17.379998999999998
2014-10-22,16.84
2014-10-23,16.49
2014-10-24,16.27
2014-10-27,16.190001000000002
2014-10-28,16.620001000000002
2014-10-29,16.74
2014-10-30,16.58
2014-10-31,16.99
2014-11-03,17.059998999999998
2014-11-04,16.940001000000002
2014-11-05,17.690001000000002
2014-11-06,17.059998999999998
2014-11-07,17.440001000000002
2014-11-10,17.49
2014-11-11,17.75
2014-11-12,18.98
2014-11-13,20.35
2014-11-14,20.24
2014-11-17,19.940001000000002
2014-11-18,19.969998999999998
2014-11-19,19.99
2014-11-20,20.459999
2014-11-21,21.450001
