Date,WPC
1998-01-21,22.125
1998-01-22,21.75
1998-01-23,21.625
1998-01-26,21.1875
1998-01-27,21.0
1998-01-28,22.0
1998-01-29,22.125
1998-01-30,21.75
1998-02-02,21.75
1998-02-03,21.375
1998-02-04,21.25
1998-02-05,21.6875
1998-02-06,21.375
1998-02-09,21.0
1998-02-10,21.5
1998-02-11,21.3125
1998-02-12,21.4375
1998-02-13,21.4375
1998-02-17,21.5625
1998-02-18,21.5
1998-02-19,21.5625
1998-02-20,21.5625
1998-02-23,21.5
1998-02-24,21.5
1998-02-25,21.25
1998-02-26,21.5
1998-02-27,21.5
1998-03-02,21.5625
1998-03-03,21.25
1998-03-04,21.25
1998-03-05,21.25
1998-03-06,21.1875
1998-03-09,20.9375
1998-03-10,20.875
1998-03-11,21.125
1998-03-12,21.0625
1998-03-13,21.0625
1998-03-16,20.875
1998-03-17,20.625
1998-03-18,20.5
1998-03-19,20.5
1998-03-20,20.875
1998-03-23,20.75
1998-03-24,20.5
1998-03-25,20.5625
1998-03-26,20.8125
1998-03-27,20.625
1998-03-30,20.25
1998-03-31,20.125
1998-04-01,20.8125
1998-04-02,20.875
1998-04-03,20.9375
1998-04-06,20.75
1998-04-07,20.75
1998-04-08,20.8125
1998-04-09,20.8125
1998-04-13,20.5
1998-04-14,20.4375
1998-04-15,20.5625
1998-04-16,20.375
1998-04-17,20.6875
1998-04-20,20.875
1998-04-21,20.75
1998-04-22,20.75
1998-04-23,20.875
1998-04-24,21.0
1998-04-27,20.9375
1998-04-28,20.9375
1998-04-29,21.5625
1998-04-30,22.1875
1998-05-01,22.0625
1998-05-04,21.75
1998-05-05,21.8125
1998-05-06,21.5625
1998-05-07,21.4375
1998-05-08,21.25
1998-05-11,21.625
1998-05-12,21.8125
1998-05-13,21.5625
1998-05-14,21.375
1998-05-15,21.25
1998-05-18,21.0
1998-05-19,21.0
1998-05-20,20.5
1998-05-21,20.875
1998-05-22,20.8125
1998-05-26,20.8125
1998-05-27,20.8125
1998-05-28,20.875
1998-05-29,21.375
1998-06-01,21.5625
1998-06-02,21.8125
1998-06-03,21.625
1998-06-04,21.5625
1998-06-05,22.0
1998-06-08,22.0625
1998-06-09,21.5625
1998-06-10,22.0
1998-06-11,21.5
1998-06-12,21.625
1998-06-15,21.0
1998-06-16,20.6875
1998-06-17,20.5
1998-06-18,20.5625
1998-06-19,20.5
1998-06-22,20.25
1998-06-23,20.25
1998-06-24,20.8125
1998-06-25,20.9375
1998-06-26,20.5
1998-06-29,20.625
1998-06-30,19.75
1998-07-01,20.5
1998-07-02,20.5625
1998-07-06,20.3125
1998-07-07,20.625
1998-07-08,20.375
1998-07-09,20.25
1998-07-10,20.5
1998-07-13,20.5
1998-07-14,19.9375
1998-07-15,20.75
1998-07-16,20.4375
1998-07-17,20.4375
1998-07-20,20.5
1998-07-21,20.1875
1998-07-22,20.5
1998-07-23,20.625
1998-07-24,20.625
1998-07-27,20.4375
1998-07-28,20.625
1998-07-29,20.375
1998-07-30,20.1875
1998-07-31,19.9375
1998-08-03,19.9375
1998-08-04,19.875
1998-08-05,19.875
