Date,WSC
2015-11-05,9.65
2015-11-06,9.72
2015-11-09,
2015-11-10,9.65
2015-11-11,
2015-11-12,9.6
2015-11-13,9.65
2015-11-16,9.65
2015-11-17,9.62
2015-11-18,9.61
2015-11-19,9.66
2015-11-20,9.65
2015-11-23,9.65
2015-11-24,9.76
2015-11-25,9.76
2015-11-27,9.76
2015-11-30,9.73
2015-12-01,9.73
2015-12-02,9.73
2015-12-03,9.73
2015-12-04,9.73
2015-12-07,9.73
2015-12-08,9.73
2015-12-09,9.73
2015-12-10,9.73
2015-12-11,9.73
2015-12-14,9.6
2015-12-15,9.6
2015-12-16,9.6
2015-12-17,9.6
2015-12-18,9.6
2015-12-21,9.6
2015-12-22,9.55
2015-12-23,9.53
2015-12-24,9.53
2015-12-28,9.55
2015-12-29,9.55
2015-12-30,9.55
2015-12-31,9.56
2016-01-04,9.73
2016-01-05,9.66
2016-01-06,9.68
2016-01-07,9.61
2016-01-08,9.6
2016-01-11,9.67
2016-01-12,9.55
2016-01-13,9.56
2016-01-14,9.56
2016-01-15,9.51
2016-01-19,9.55
2016-01-20,9.5
2016-01-21,9.5
2016-01-22,9.55
2016-01-25,9.55
2016-01-26,9.55
2016-01-27,9.65
2016-01-28,9.61
2016-01-29,9.61
2016-02-01,9.61
2016-02-02,9.61
2016-02-03,9.61
2016-02-04,9.56
2016-02-05,9.58
2016-02-08,9.58
2016-02-09,9.6
2016-02-10,9.57
2016-02-11,9.59
2016-02-12,9.59
2016-02-16,9.56
2016-02-17,9.56
2016-02-18,9.55
2016-02-19,9.68
2016-02-22,9.55
2016-02-23,9.64
2016-02-24,9.7
2016-02-25,9.7
2016-02-26,9.7
2016-02-29,9.7
2016-03-01,9.6
2016-03-02,9.75
2016-03-03,9.75
2016-03-04,9.75
2016-03-07,9.75
2016-03-08,9.75
2016-03-09,9.78
2016-03-10,9.78
2016-03-11,9.78
2016-03-14,9.78
2016-03-15,9.78
2016-03-16,9.78
2016-03-17,9.78
2016-03-18,9.78
2016-03-21,9.74
2016-03-22,9.72
2016-03-23,9.72
2016-03-24,9.72
2016-03-28,9.72
2016-03-29,9.72
2016-03-30,9.72
2016-03-31,9.72
2016-04-01,9.77
2016-04-04,9.77
2016-04-05,9.77
2016-04-06,9.77
2016-04-07,9.719
2016-04-08,9.749
2016-04-11,9.749
2016-04-12,9.749
2016-04-13,9.749
2016-04-14,9.749
2016-04-15,9.749
2016-04-18,9.749
2016-04-19,9.72
2016-04-20,9.72
2016-04-21,9.72
2016-04-22,9.72
2016-04-25,9.72
2016-04-26,9.72
2016-04-27,9.66
2016-04-28,9.66
2016-04-29,9.66
2016-05-02,9.66
2016-05-03,9.75
2016-05-04,9.75
2016-05-05,9.66
2016-05-06,9.66
2016-05-09,9.66
2016-05-10,9.65
2016-05-11,9.65
2016-05-12,9.65
2016-05-13,9.65
2016-05-16,9.65
2016-05-17,9.65
2016-05-18,9.65
2016-05-19,9.65
2016-05-20,9.65
2016-05-23,9.65
2016-05-24,9.65
2016-05-25,9.65
2016-05-26,9.65
2016-05-27,9.64
2016-05-31,9.64
2016-06-01,9.64
2016-06-02,9.75
2016-06-03,9.75
2016-06-06,9.75
2016-06-07,9.75
2016-06-08,9.74
2016-06-09,9.74
2016-06-10,9.74
2016-06-13,9.74
2016-06-14,9.74
2016-06-15,9.74
2016-06-16,9.74
2016-06-17,9.74
2016-06-20,9.74
2016-06-21,9.74
2016-06-22,9.74
2016-06-23,9.74
2016-06-24,9.79
2016-06-27,9.79
2016-06-28,9.79
2016-06-29,9.79
2016-06-30,9.79
2016-07-01,9.79
2016-07-05,9.79
2016-07-06,9.79
2016-07-07,9.79
2016-07-08,9.72
2016-07-11,9.72
2016-07-12,9.72
2016-07-13,9.72
2016-07-14,9.72
2016-07-15,9.72
2016-07-18,9.72
2016-07-19,9.72
2016-07-20,9.72
2016-07-21,9.72
2016-07-22,9.7
2016-07-25,9.7
2016-07-26,9.7
2016-07-27,9.7
2016-07-28,9.7
2016-07-29,9.7
2016-08-01,9.7
2016-08-02,9.7
2016-08-03,9.7
2016-08-04,9.7
2016-08-05,9.75
2016-08-08,9.71
2016-08-09,9.71
2016-08-10,9.71
2016-08-11,9.71
2016-08-12,9.77
2016-08-15,9.76
2016-08-16,9.77
2016-08-17,9.77
2016-08-18,9.77
2016-08-19,9.77
2016-08-22,9.82
2016-08-23,9.82
2016-08-24,9.79
2016-08-25,9.79
2016-08-26,9.79
2016-08-29,9.79
2016-08-30,9.81
2016-08-31,9.81
2016-09-01,9.81
2016-09-02,9.81
2016-09-06,9.78
2016-09-07,9.782
2016-09-08,9.78
2016-09-09,9.78
2016-09-12,9.78
2016-09-13,9.75
2016-09-14,9.79
2016-09-15,9.79
2016-09-16,9.79
2016-09-19,9.81
2016-09-20,9.81
2016-09-21,10.11
2016-09-22,10.11
2016-09-23,10.11
2016-09-26,9.81
2016-09-27,9.81
2016-09-28,9.83
2016-09-29,9.93
2016-09-30,9.9
2016-10-03,9.86
2016-10-04,9.761
2016-10-05,9.8
2016-10-06,9.75
2016-10-07,9.828
2016-10-10,9.83
2016-10-11,9.89
2016-10-12,9.89
2016-10-13,9.89
2016-10-14,9.9
2016-10-17,9.94
