Date,WTM
1985-10-23,27.75
1985-10-24,27.25
1985-10-25,28.125
1985-10-28,28.0
1985-10-29,29.125
1985-10-30,29.625
1985-10-31,29.125
1985-11-01,29.625
1985-11-04,29.625
1985-11-05,29.625
1985-11-06,30.5
1985-11-07,31.0
1985-11-08,30.875
1985-11-11,31.5
1985-11-12,31.375
1985-11-13,31.375
1985-11-14,31.0
1985-11-15,30.25
1985-11-18,30.625
1985-11-19,30.375
1985-11-20,30.5
1985-11-21,31.625
1985-11-22,32.0
1985-11-25,31.375
1985-11-26,31.25
1985-11-27,31.5
1985-11-29,31.875
1985-12-02,31.75
1985-12-03,31.0
1985-12-04,31.75
1985-12-05,32.75
1985-12-06,32.125
1985-12-09,32.0
1985-12-10,31.75
1985-12-11,31.75
1985-12-12,32.25
1985-12-13,32.625
1985-12-16,33.375
1985-12-17,33.375
1985-12-18,32.875
1985-12-19,32.625
1985-12-20,32.625
1985-12-23,32.0
1985-12-24,31.375
1985-12-26,31.125
1985-12-27,31.25
1985-12-30,30.75
1985-12-31,30.875
1986-01-02,30.875
1986-01-03,31.0
1986-01-06,32.0
1986-01-07,33.0
1986-01-08,33.375
1986-01-09,31.75
1986-01-10,32.625
1986-01-13,32.0
1986-01-14,32.125
1986-01-15,33.0
1986-01-16,33.25
1986-01-17,32.5
1986-01-20,32.0
1986-01-21,31.75
1986-01-22,32.625
1986-01-23,34.0
1986-01-24,34.5
1986-01-27,35.375
1986-01-28,35.0
1986-01-29,36.5
1986-01-30,36.625
1986-01-31,36.625
1986-02-03,36.5
1986-02-04,37.375
1986-02-05,37.625
1986-02-06,37.625
1986-02-07,38.0
1986-02-10,37.75
1986-02-11,37.75
1986-02-12,37.625
1986-02-13,37.5
1986-02-14,37.0
1986-02-18,36.625
1986-02-19,35.75
1986-02-20,36.375
1986-02-21,37.25
1986-02-24,37.125
1986-02-25,35.75
1986-02-26,35.625
1986-02-27,37.5
1986-02-28,39.25
1986-03-03,39.375
1986-03-04,38.875
1986-03-05,38.5
1986-03-06,39.75
1986-03-07,39.5
1986-03-10,38.5
1986-03-11,38.5
1986-03-12,38.375
1986-03-13,38.5
1986-03-14,39.5
1986-03-17,39.75
1986-03-18,41.5
1986-03-19,42.875
1986-03-20,43.125
1986-03-21,42.5
1986-03-24,40.25
1986-03-25,40.0
1986-03-26,40.125
1986-03-27,41.5
1986-03-31,42.625
1986-04-01,41.875
1986-04-02,41.5
1986-04-03,41.375
1986-04-04,40.0
1986-04-07,39.0
1986-04-08,40.75
1986-04-09,40.75
1986-04-10,40.75
1986-04-11,41.75
1986-04-14,42.75
1986-04-15,42.25
1986-04-16,43.25
1986-04-17,42.5
1986-04-18,41.5
1986-04-21,40.375
1986-04-22,40.25
1986-04-23,39.875
1986-04-24,38.875
1986-04-25,39.0
1986-04-28,37.875
1986-04-29,37.375
1986-04-30,37.25
1986-05-01,37.125
1986-05-02,37.75
1986-05-05,38.75
1986-05-06,38.75
1986-05-07,38.25
1986-05-08,38.0
1986-05-09,37.25
1986-05-12,36.5
1986-05-13,36.375
1986-05-14,36.5
1986-05-15,36.125
1986-05-16,36.25
1986-05-19,36.0
1986-05-20,36.0
1986-05-21,36.5
1986-05-22,36.875
1986-05-23,37.25
1986-05-27,37.875
1986-05-28,38.75
1986-05-29,38.125
1986-05-30,38.625
1986-06-02,36.875
1986-06-03,35.875
1986-06-04,35.875
1986-06-05,36.125
1986-06-06,35.25
1986-06-09,33.625
1986-06-10,33.75
1986-06-11,34.25
1986-06-12,34.25
1986-06-13,34.875
1986-06-16,34.5
1986-06-17,33.875
1986-06-18,34.75
1986-06-19,35.0
1986-06-20,33.5
1986-06-23,34.0
1986-06-24,34.5
1986-06-25,35.0
1986-06-26,35.25
1986-06-27,35.25
1986-06-30,36.75
1986-07-01,37.75
1986-07-02,37.75
1986-07-03,38.0
1986-07-07,36.625
1986-07-08,35.25
1986-07-09,35.0
1986-07-10,35.25
1986-07-11,36.625
1986-07-14,35.25
1986-07-15,34.75
1986-07-16,35.0
1986-07-17,36.0
1986-07-18,37.0
1986-07-21,37.125
1986-07-22,38.0
1986-07-23,37.875
1986-07-24,37.75
1986-07-25,38.125
1986-07-28,37.5
1986-07-29,37.375
1986-07-30,37.875
1986-07-31,37.625
1986-08-01,37.875
1986-08-04,37.5
1986-08-05,38.5
1986-08-06,38.5
1986-08-07,38.125
1986-08-08,37.125
1986-08-11,37.75
1986-08-12,38.875
1986-08-13,39.625
1986-08-14,40.125
1986-08-15,39.875
1986-08-18,39.875
1986-08-19,39.375
1986-08-20,39.5
1986-08-21,39.5
1986-08-22,39.625
1986-08-25,39.75
1986-08-26,40.25
1986-08-27,40.0
1986-08-28,39.75
