,ABT,AGN,AMG,ANK,AON,BEN,BK,BRK.A,BRK.B,CEIX,CHK,CHKGF,CKHUY,CMCSA,CNHI,CNX,CPB,CTL,CX,DD,DD-OLD,DELL-OL,DIS,DTV,EBAY,FDX,FFH,FWONA,GE,GM,GOOG,HCMLF,IHG,JAVA,L,LFGEF,LMDIA,LVLT,MAR,MAT,MCD,MDLZ,MUR,NLOK,NPPKF,NWSA,PHG,PHGFF,PK,PXD,QRTEA,RL,RTX,S,SNI,TDS,TDS.S,TROW,TRV,UBS,VIVEF,VMC,WBA,WLTW,WMB,WYNN,YUM
2019 Q4,,,5.11,,,,,,,,,4.95,8.65,5.01,6.63,5.45,,11.5,,,,,,,,6.99,5.38,,9.04,,4.37,4.85,,,,,,,,8.33,,,,,,,,,4.64,,,,4.96,,,,,,,,,,,,4.12,,
2019 Q3,,,5.38,,,,,,,,,4.98,8.57,5.37,6.58,5.44,,11.62,,,,,,,,7.2,5.7,,8.51,,4.26,5.61,,,,,,,,7.5,,,,,,,,,4.8,,,,4.84,,,,,,,,,,,,,3.65,
2019 Q2,,4.16,5.34,,,,,,,,,5.17,8.6,5.35,5.96,4.92,,9.85,,,,,,,,7.31,6.26,,8.99,,4.02,5.8,,,,,,,,6.63,,,,,,,,,3.76,,,,4.15,,,,,,,,,,,,,3.74,
2019 Q1,,5.09,5.36,,,,,,,,,5.07,7.91,4.36,5.1,5.86,,8.67,,,,,,,,6.97,5.1,,8.16,,4.99,5.25,,,,,,,,6.64,,,,,,,,,5.24,,,,5.16,,,,,,,,,,,,,5.06,
2018 Q4,,4.82,4.92,,,,,,,,,4.81,7.8,3.75,4.88,6.26,,11.04,,3.45,,,,,,5.87,4.88,,7.05,,4.89,6.05,,,,,,,,5.87,,,,,,,,,4.41,,,,4.74,,,,,,,,,,,,,4.52,
2018 Q3,,5.38,3.26,,,,,,,,,5.02,8.38,5.24,5.25,6.07,,13.15,,,,,,,,7.08,5.43,,5.98,,5.38,7.23,,,,,,,,6.81,,,,,,,,,5.5,,,,4.83,,,,,,,,,,,,,,
2018 Q2,,5.52,,,,,,,,1.55,,5.27,7.65,6.96,5.46,7.48,,11.61,,,,,,,,6.63,5.72,,5.33,,5.5,7.05,,,,,,,,7.07,,,,,,,,,5.52,,,,5.69,,,,,,,,,,,,,,
2018 Q1,,6.96,,,,,,,,1.62,,5.64,8.74,5.58,4.88,6.54,,10.31,,,,,,,,7.06,5.93,,5.49,,5.62,7.99,,,,,,,,5.71,,,,,,,,,6.15,,,,5.77,,,,,,,,,,,,,,
2017 Q4,,5.15,,,,,,,,2.22,2.48,7.99,9.16,,5.31,6.22,,10.51,,,,,,,,9.81,7.53,,2.53,,6.27,8.3,,,,,,,,6.81,,,,,,,,,,,,,6.34,,,,,,,,,,,,,3.37,
2017 Q3,,,,,,,,,,,3.88,7.92,9.76,,6.54,8.07,,,,,,,,,,9.28,7.69,,,,8.37,6.76,,,,,,13.67,,0.85,,,,,,,,,,,,,6.78,,,,,4.32,,,,,,,,6.13,
2017 Q2,,,,,,,,,,,4.32,7.22,9.23,,6.34,6.86,,,,,,,,,,10.26,6.17,,,,7.64,6.4,,,,,,14.06,,,,,,,,,,,,,,,7.13,,4.65,,,3.41,,,,,,,,6.31,
2017 Q1,,,,,,,,,,,5.05,6.08,8.86,,6.29,7.54,,,,,,,,,,13.32,,,,,9.28,6.47,,,,,,13.28,,,,,,,,,,,,,,,6.41,,5.52,,,3.07,,,,,,,,8.84,
2016 Q4,,,,,,,,,,,5.43,5.03,7.42,,7.02,7.45,,,,,4.18,,,,,11.56,,,,,7.85,5.82,,,,,,11.89,,,,,,,,,,,,,,4.31,5.86,,5.88,,,3.08,,,,,,,,7.22,
2016 Q3,,,,,,,,,,,7.12,6.32,8.77,,6.07,8.22,,,,,3.99,,,,,11.36,,,,,8.29,6.41,,,,,,8.46,,,,,,,,,,,,,,4.37,6.08,,6.22,,,,,,,,,,,8.32,
2016 Q2,,,,,,,,,,,,6.19,9.7,,6.21,7.0,,,,,6.18,,,,,10.03,,,,,7.5,5.73,,,,,,11.25,,,,,,,,,,5.98,,,,3.93,6.24,,6.2,,,,,,,,,,,7.87,
