Date,ESS
1994-06-07,19.375
1994-06-08,19.25
1994-06-09,19.25
1994-06-10,19.125
1994-06-13,19.125
1994-06-14,19.25
1994-06-15,19.25
1994-06-16,19.125
1994-06-17,19.0
1994-06-20,19.125
1994-06-21,19.0
1994-06-22,19.0
1994-06-23,18.75
1994-06-24,18.375
1994-06-27,17.875
1994-06-28,17.625
1994-06-29,17.875
1994-06-30,17.625
1994-07-01,17.75
1994-07-05,17.875
1994-07-06,17.625
1994-07-07,17.625
1994-07-08,17.625
1994-07-11,17.75
1994-07-12,17.75
1994-07-13,17.75
1994-07-14,17.875
1994-07-15,18.0
1994-07-18,18.0
1994-07-19,18.5
1994-07-20,18.25
1994-07-21,18.25
1994-07-22,18.375
1994-07-25,18.5
1994-07-26,18.5
1994-07-27,18.25
1994-07-28,17.875
1994-07-29,17.75
1994-08-01,17.625
1994-08-02,18.125
1994-08-03,18.375
1994-08-04,18.0
1994-08-05,18.0
1994-08-08,18.0
1994-08-09,17.75
1994-08-10,18.125
1994-08-11,17.875
1994-08-12,18.0
1994-08-15,17.875
1994-08-16,18.125
1994-08-17,18.125
1994-08-18,18.0
1994-08-19,18.0
1994-08-22,18.125
1994-08-23,18.125
1994-08-24,18.125
1994-08-25,17.75
1994-08-26,18.0
1994-08-29,18.125
1994-08-30,18.25
1994-08-31,18.375
1994-09-01,18.5
1994-09-02,19.0
1994-09-06,18.75
1994-09-07,18.75
1994-09-08,18.625
1994-09-09,18.625
1994-09-12,18.75
1994-09-13,18.5
1994-09-14,18.375
1994-09-15,18.625
1994-09-16,18.25
1994-09-19,18.5
1994-09-20,18.625
1994-09-21,18.375
1994-09-22,18.0
1994-09-23,17.875
1994-09-26,18.0
1994-09-27,18.0
1994-09-28,17.375
1994-09-29,17.875
1994-09-30,18.0
1994-10-03,17.75
1994-10-04,17.75
1994-10-05,17.0
1994-10-06,16.75
1994-10-07,17.0
1994-10-10,17.0
1994-10-11,16.75
1994-10-12,17.0
1994-10-13,16.75
1994-10-14,16.625
1994-10-17,16.875
1994-10-18,16.875
1994-10-19,16.75
1994-10-20,16.875
1994-10-21,17.125
1994-10-24,17.125
1994-10-25,16.875
1994-10-26,16.625
1994-10-27,16.625
1994-10-28,17.25
1994-10-31,17.625
1994-11-01,17.25
1994-11-02,17.5
1994-11-03,17.375
1994-11-04,17.375
1994-11-07,17.25
1994-11-08,17.125
1994-11-09,17.125
1994-11-10,16.875
1994-11-11,16.625
1994-11-14,16.625
1994-11-15,16.5
1994-11-16,15.875
1994-11-17,16.25
1994-11-18,16.625
1994-11-21,16.375
1994-11-22,16.5
1994-11-23,17.0
1994-11-25,16.875
1994-11-28,17.0
1994-11-29,16.875
1994-11-30,17.0
1994-12-01,16.625
1994-12-02,16.5
1994-12-05,16.25
1994-12-06,16.125
1994-12-07,16.125
1994-12-08,15.625
1994-12-09,15.75
1994-12-12,15.75
1994-12-13,15.75
1994-12-14,15.75
1994-12-15,16.5
1994-12-16,16.25
1994-12-19,16.125
1994-12-20,16.0
1994-12-21,15.75
1994-12-22,15.625
1994-12-23,15.375
1994-12-27,15.125
1994-12-28,14.875
1994-12-29,15.125
1994-12-30,15.125
1995-01-03,16.0
1995-01-04,16.25
1995-01-05,16.375
1995-01-06,16.625
1995-01-09,16.5
1995-01-10,16.5
1995-01-11,16.375
1995-01-12,16.375
1995-01-13,16.5
1995-01-16,16.375
1995-01-17,16.5
1995-01-18,16.5
1995-01-19,16.125
1995-01-20,16.25
1995-01-23,16.0
1995-01-24,16.125
1995-01-25,16.375
1995-01-26,16.25
1995-01-27,16.5
1995-01-30,16.625
1995-01-31,16.5
1995-02-01,16.375
1995-02-02,16.5
1995-02-03,16.0
1995-02-06,16.125
1995-02-07,16.0
1995-02-08,15.75
1995-02-09,16.0
1995-02-10,16.0
1995-02-13,15.5
1995-02-14,15.875
1995-02-15,16.125
1995-02-16,15.875
1995-02-17,15.875
1995-02-21,15.75
1995-02-22,15.75
1995-02-23,15.875
1995-02-24,15.875
1995-02-27,16.0
1995-02-28,16.125
1995-03-01,16.0
1995-03-02,15.625
1995-03-03,15.375
1995-03-06,15.375
