Date,MPC
2011-06-24,18.625
2011-06-27,18.825001
2011-06-28,19.35
2011-06-29,20.035
2011-06-30,20.700001
2011-07-01,21.1
2011-07-05,21.105
2011-07-06,20.945
2011-07-07,20.889999
2011-07-08,20.705
2011-07-11,20.049999
2011-07-12,20.24
2011-07-13,19.98
2011-07-14,19.32
2011-07-15,19.58
2011-07-18,19.559998999999998
2011-07-19,19.870001000000002
2011-07-20,19.764999
2011-07-21,20.049999
2011-07-22,20.285
2011-07-25,20.684998999999998
2011-07-26,21.525
2011-07-27,21.030001000000002
2011-07-28,21.389999
2011-07-29,21.895
2011-08-01,22.485001
2011-08-02,21.165001
2011-08-03,20.715
2011-08-04,19.209999
2011-08-05,18.655001000000002
2011-08-08,16.165001
2011-08-09,18.049999
2011-08-10,17.559998999999998
2011-08-11,18.67
2011-08-12,18.705
2011-08-15,19.549999
2011-08-16,19.43
2011-08-17,19.549999
2011-08-18,18.305
2011-08-19,17.495001000000002
2011-08-22,16.285
2011-08-23,17.125
2011-08-24,17.915001
2011-08-25,17.190001000000002
2011-08-26,17.434998999999998
2011-08-29,18.0
2011-08-30,18.014999
2011-08-31,18.530001000000002
2011-09-01,18.504998999999998
2011-09-02,17.709999
2011-09-06,17.5
2011-09-07,18.145
2011-09-08,18.865
2011-09-09,18.174999
2011-09-12,18.33
2011-09-13,17.67
2011-09-14,17.514999
2011-09-15,17.709999
2011-09-16,17.549999
2011-09-19,16.775
2011-09-20,16.844998999999998
2011-09-21,16.200001
2011-09-22,14.735
2011-09-23,14.765
2011-09-26,15.05
2011-09-27,14.915
2011-09-28,14.49
2011-09-29,13.92
2011-09-30,13.53
2011-10-03,13.575
2011-10-04,14.38
2011-10-05,15.74
2011-10-06,16.645
2011-10-07,15.8
2011-10-10,16.485001
2011-10-11,16.575001
2011-10-12,16.785
2011-10-13,16.885
2011-10-14,18.07
2011-10-17,17.469998999999998
2011-10-18,18.094998999999998
2011-10-19,17.799999
2011-10-20,18.245001000000002
2011-10-21,18.674999
2011-10-24,17.924999
2011-10-25,16.485001
2011-10-26,17.365
2011-10-27,18.665001
2011-10-28,18.66
2011-10-31,17.950001
2011-11-01,18.0
2011-11-02,19.165001
2011-11-03,19.334999
2011-11-04,19.309998999999998
2011-11-07,19.459999
2011-11-08,19.055
2011-11-09,18.51
2011-11-10,18.85
2011-11-11,18.885
2011-11-14,18.355
2011-11-15,18.49
2011-11-16,16.32
2011-11-17,15.81
2011-11-18,16.41
2011-11-21,16.42
2011-11-22,16.76
2011-11-23,16.415001
2011-11-25,16.135
2011-11-28,16.639999
2011-11-29,16.584999
2011-11-30,16.695
2011-12-01,16.975
2011-12-02,16.655001000000002
2011-12-05,17.200001
2011-12-06,17.32
2011-12-07,17.25
2011-12-08,17.01
2011-12-09,17.440001000000002
2011-12-12,17.295
2011-12-13,16.975
2011-12-14,16.34
2011-12-15,16.264999
2011-12-16,15.98
2011-12-19,15.97
2011-12-20,16.1
2011-12-21,16.334999
2011-12-22,16.655001000000002
2011-12-23,16.764999
2011-12-27,16.825001
2011-12-28,16.57
2011-12-29,16.639999
2011-12-30,16.645
2012-01-03,16.705
2012-01-04,16.879998999999998
2012-01-05,15.96
2012-01-06,15.83
2012-01-09,15.48
2012-01-10,15.915
2012-01-11,16.445
2012-01-12,16.32
2012-01-13,16.514999
2012-01-17,16.77
2012-01-18,17.73
2012-01-19,17.924999
2012-01-20,18.584999
2012-01-23,18.934998999999998
2012-01-24,19.52
2012-01-25,19.379998999999998
2012-01-26,18.754998999999998
2012-01-27,18.764999
2012-01-30,18.74
2012-01-31,19.110001
2012-02-01,20.940001000000002
