Date,NDAQ
2002-07-01,15.0
2002-07-02,15.13
2002-07-03,15.0
2002-07-05,15.0
2002-07-08,14.0
2002-07-09,15.5
2002-07-10,15.5
2002-07-11,15.5
2002-07-12,15.0
2002-07-15,12.75
2002-07-16,12.5
2002-07-17,12.5
2002-07-18,11.75
2002-07-19,10.5
2002-07-22,10.2
2002-07-23,10.2
2002-07-24,10.5
2002-07-25,10.15
2002-07-26,10.15
2002-07-29,11.1
2002-07-30,11.5
2002-07-31,12.0
2002-08-01,11.8
2002-08-02,11.8
2002-08-05,11.85
2002-08-06,12.0
2002-08-07,12.05
2002-08-08,12.1
2002-08-09,12.15
2002-08-12,12.15
2002-08-13,12.2
2002-08-14,12.2
2002-08-15,12.1
2002-08-16,12.15
2002-08-19,11.65
2002-08-20,11.6
2002-08-21,11.75
2002-08-22,11.0
2002-08-23,11.1
2002-08-26,10.87
2002-08-27,10.51
2002-08-28,10.1
2002-08-29,10.2
2002-08-30,10.0
2002-09-03,9.9
2002-09-04,9.3
2002-09-05,9.3
2002-09-06,9.7
2002-09-09,9.8
2002-09-10,9.9
2002-09-11,10.05
2002-09-12,9.9
2002-09-13,9.94
2002-09-16,10.0
2002-09-17,9.9
2002-09-18,9.87
2002-09-19,9.8
2002-09-20,9.4
2002-09-23,9.7
2002-09-24,9.4
2002-09-25,9.6
2002-09-26,9.7
2002-09-27,9.49
2002-09-30,9.35
2002-10-01,9.5
2002-10-02,9.47
2002-10-03,9.55
2002-10-04,9.55
2002-10-07,9.5
2002-10-08,9.25
2002-10-09,9.0
2002-10-10,9.0
2002-10-11,9.0
2002-10-14,8.99
2002-10-15,8.65
2002-10-16,8.35
2002-10-17,8.25
2002-10-18,8.25
2002-10-21,8.05
2002-10-22,8.0
2002-10-23,7.8
2002-10-24,7.25
2002-10-25,7.2
2002-10-28,7.0
2002-10-29,7.75
2002-10-30,7.55
2002-10-31,7.5
2002-11-01,7.5
2002-11-04,7.5
2002-11-05,7.5
2002-11-06,7.6
2002-11-07,7.5
2002-11-08,7.5
2002-11-11,7.9
2002-11-12,7.9
2002-11-13,8.38
2002-11-14,8.45
2002-11-15,8.4
2002-11-18,8.5
2002-11-19,8.27
2002-11-20,8.4
2002-11-21,8.4
2002-11-22,8.4
2002-11-25,8.4
2002-11-26,9.3
2002-11-27,10.0
2002-11-29,10.0
2002-12-02,10.15
2002-12-03,10.15
2002-12-04,10.05
2002-12-05,10.5
2002-12-06,10.7
2002-12-09,10.45
2002-12-10,10.6
2002-12-11,10.6
2002-12-12,11.1
2002-12-13,11.0
2002-12-16,11.05
2002-12-17,11.01
2002-12-18,11.05
2002-12-19,11.05
2002-12-20,10.5
2002-12-23,10.8
2002-12-24,10.8
2002-12-26,10.5
2002-12-27,10.5
2002-12-30,10.52
2002-12-31,10.0
2003-01-02,10.25
2003-01-03,10.25
2003-01-06,10.4
2003-01-07,10.3
2003-01-08,10.2
2003-01-09,9.5
2003-01-10,9.25
2003-01-13,10.01
2003-01-14,9.2
2003-01-15,9.8
2003-01-16,9.75
2003-01-17,9.5
2003-01-21,9.5
2003-01-22,9.35
2003-01-23,9.25
2003-01-24,9.2
2003-01-27,9.29
2003-01-28,9.2
2003-01-29,9.11
2003-01-30,9.1
2003-01-31,9.1
2003-02-03,9.1
2003-02-04,9.2
2003-02-05,9.1
2003-02-06,9.08
2003-02-07,9.19
2003-02-10,9.0
2003-02-11,8.1
2003-02-12,7.9
2003-02-13,8.0
2003-02-14,8.0
2003-02-18,8.0
2003-02-19,8.1
2003-02-20,7.95
2003-02-21,7.95
2003-02-24,8.0
2003-02-25,7.75
2003-02-26,7.77
2003-02-27,7.9
2003-02-28,7.75
2003-03-03,7.75
2003-03-04,7.8
2003-03-05,7.8
2003-03-06,7.9
2003-03-07,7.72
2003-03-10,7.72
2003-03-11,6.9
2003-03-12,6.9
2003-03-13,7.0
2003-03-14,7.0
2003-03-17,7.0
2003-03-18,7.2
2003-03-19,7.19
2003-03-20,7.15
2003-03-21,7.0
2003-03-24,6.95
2003-03-25,7.0
2003-03-26,7.0
2003-03-27,7.0
2003-03-28,6.95
2003-03-31,6.95
2003-04-01,7.0
2003-04-02,7.0
2003-04-03,6.5
2003-04-04,6.0
2003-04-07,6.15
2003-04-08,6.2
2003-04-09,5.37
2003-04-10,5.5
2003-04-11,5.32
2003-04-14,5.32
2003-04-15,5.28
2003-04-16,5.25
2003-04-17,5.25
2003-04-21,5.25
2003-04-22,5.3
2003-04-23,5.25
2003-04-24,5.25
2003-04-25,5.9
2003-04-28,5.72
2003-04-29,6.04
2003-04-30,6.3
2003-05-01,6.2
2003-05-02,6.45
2003-05-05,6.35
2003-05-06,6.4
2003-05-07,6.4
2003-05-08,6.39
2003-05-09,6.25
2003-05-12,6.33
2003-05-13,6.3
2003-05-14,6.35
2003-05-15,6.35
2003-05-16,6.3
2003-05-19,6.35
2003-05-20,6.2
2003-05-21,6.15
2003-05-22,6.07
2003-05-23,5.86
2003-05-27,5.9
2003-05-28,6.0
2003-05-29,6.05
2003-05-30,6.2
2003-06-02,6.32
2003-06-03,6.2
2003-06-04,6.2
2003-06-05,6.3
2003-06-06,6.39
2003-06-09,6.3
2003-06-10,6.3
2003-06-11,6.22
2003-06-12,6.24
2003-06-13,6.4
2003-06-16,7.3
2003-06-17,7.0
2003-06-18,7.1
2003-06-19,6.9
2003-06-20,7.15
2003-06-23,7.0
2003-06-24,7.15
2003-06-25,7.1
2003-06-26,7.8
2003-06-27,8.25
2003-06-30,8.05
2003-07-01,7.75
2003-07-02,8.15
2003-07-03,8.25
2003-07-07,8.0
2003-07-08,8.6
2003-07-09,9.28
2003-07-10,9.05
2003-07-11,9.16
2003-07-14,9.55
2003-07-15,9.76
2003-07-16,9.51
2003-07-17,9.05
2003-07-18,8.9
2003-07-21,8.6
2003-07-22,8.3
2003-07-23,8.45
2003-07-24,8.45
2003-07-25,8.45
2003-07-28,8.5
2003-07-29,8.55
2003-07-30,8.6
2003-07-31,8.6
2003-08-01,8.5
2003-08-04,8.25
2003-08-05,8.15
