Date,VRSN
1998-01-30,6.375
1998-02-02,7.75
1998-02-03,8.25
1998-02-04,7.90625
1998-02-05,7.640625
1998-02-06,6.96875
1998-02-09,6.75
1998-02-10,7.0
1998-02-11,7.4375
1998-02-12,7.78125
1998-02-13,7.75
1998-02-17,7.8125
1998-02-18,7.8125
1998-02-19,7.6875
1998-02-20,7.96875
1998-02-23,7.25
1998-02-24,6.84375
1998-02-25,7.25
1998-02-26,7.21875
1998-02-27,7.15625
1998-03-02,7.109375
1998-03-03,7.125
1998-03-04,6.8984380000000005
1998-03-05,6.671875
1998-03-06,7.078125
1998-03-09,7.5625
1998-03-10,8.265625
1998-03-11,8.96875
1998-03-12,9.625
1998-03-13,9.46875
1998-03-16,11.1875
1998-03-17,11.085938
1998-03-18,10.765625
1998-03-19,10.78125
1998-03-20,10.296875
1998-03-23,10.78125
1998-03-24,11.125
1998-03-25,10.75
1998-03-26,10.5
1998-03-27,10.625
1998-03-30,10.875
1998-03-31,11.0
1998-04-01,12.0
1998-04-02,11.0625
1998-04-03,10.625
1998-04-06,10.21875
1998-04-07,9.734375
1998-04-08,10.1875
1998-04-09,11.0
1998-04-13,11.21875
1998-04-14,10.96875
1998-04-15,10.75
1998-04-16,10.75
1998-04-17,10.59375
1998-04-20,10.4375
1998-04-21,10.1875
1998-04-22,10.25
1998-04-23,9.53125
1998-04-24,8.8125
1998-04-27,9.28125
1998-04-28,9.15625
1998-04-29,8.890625
1998-04-30,9.59375
1998-05-01,10.0
1998-05-04,9.625
1998-05-05,9.015625
1998-05-06,8.921875
1998-05-07,8.8125
1998-05-08,8.875
1998-05-11,8.75
1998-05-12,8.6875
1998-05-13,9.5625
1998-05-14,9.3125
1998-05-15,9.015625
1998-05-18,8.921875
1998-05-19,8.96875
1998-05-20,9.0625
1998-05-21,9.4375
1998-05-22,8.84375
1998-05-26,8.625
1998-05-27,8.125
1998-05-28,8.1875
1998-05-29,7.984375
1998-06-01,7.25
1998-06-02,7.03125
1998-06-03,7.125
1998-06-04,7.1875
1998-06-05,7.25
1998-06-08,6.75
1998-06-09,6.84375
1998-06-10,6.875
1998-06-11,6.75
1998-06-12,7.0
1998-06-15,6.75
1998-06-16,6.78125
1998-06-17,7.15625
1998-06-18,7.5
1998-06-19,7.46875
1998-06-22,8.75
1998-06-23,9.5625
1998-06-24,10.4375
1998-06-25,10.0
1998-06-26,9.5625
1998-06-29,9.125
