Date,WFC
1972-06-01,0.880208
1972-06-02,0.882813
1972-06-05,0.895833
1972-06-06,0.895833
1972-06-07,0.888021
1972-06-08,0.890625
1972-06-09,0.890625
1972-06-12,0.901042
1972-06-13,0.885417
1972-06-14,0.885417
1972-06-15,0.893229
1972-06-16,0.901042
1972-06-19,0.893229
1972-06-20,0.895833
1972-06-21,0.893229
1972-06-22,0.901042
1972-06-23,0.914063
1972-06-26,0.916667
1972-06-27,0.921875
1972-06-28,0.947917
1972-06-29,0.945313
1972-06-30,0.958333
1972-07-03,0.973958
1972-07-05,0.963542
1972-07-06,1.010417
1972-07-07,1.015625
1972-07-10,1.020833
1972-07-11,1.020833
1972-07-12,1.020833
1972-07-13,1.03125
1972-07-14,1.03125
1972-07-17,1.033854
1972-07-18,1.036458
1972-07-19,1.041667
1972-07-20,1.0390629999999998
1972-07-21,1.046875
1972-07-24,1.044271
1972-07-25,1.0546879999999998
1972-07-26,1.059896
1972-07-27,1.041667
1972-07-28,1.049479
1972-07-31,1.049479
1972-08-01,1.0625
1972-08-02,1.072917
1972-08-03,1.078125
1972-08-04,1.088542
1972-08-07,1.1015629999999998
1972-08-08,1.098958
1972-08-09,1.09375
1972-08-10,1.104167
1972-08-11,1.104167
1972-08-14,1.109375
1972-08-15,1.1171879999999998
1972-08-16,1.130208
1972-08-17,1.1328129999999998
1972-08-18,1.153646
1972-08-21,1.158854
1972-08-22,1.177083
1972-08-23,1.182292
1972-08-24,1.1875
1972-08-25,1.1796879999999998
1972-08-28,1.174479
1972-08-29,1.171875
1972-08-30,1.166667
1972-08-31,1.169271
1972-09-01,1.174479
1972-09-05,1.169271
1972-09-06,1.1640629999999998
1972-09-07,1.151042
1972-09-08,1.143229
1972-09-11,1.145833
1972-09-12,1.15625
1972-09-13,1.15625
1972-09-14,1.15625
1972-09-15,1.161458
1972-09-18,1.15625
1972-09-19,1.15625
1972-09-20,1.145833
1972-09-21,1.15625
1972-09-22,1.15625
1972-09-25,1.151042
1972-09-26,1.145833
1972-09-27,1.130208
1972-09-28,1.114583
1972-09-29,1.119792
1972-10-02,1.135417
1972-10-03,1.140625
1972-10-04,1.15625
1972-10-05,1.1640629999999998
1972-10-06,1.166667
1972-10-09,1.177083
1972-10-10,1.171875
1972-10-11,1.174479
1972-10-12,1.166667
1972-10-13,1.140625
1972-10-16,1.109375
1972-10-17,1.104167
1972-10-18,1.125
1972-10-19,1.125
1972-10-20,1.1328129999999998
1972-10-23,1.177083
1972-10-24,1.177083
1972-10-25,1.166667
1972-10-26,1.158854
1972-10-27,1.161458
1972-10-30,1.171875
1972-10-31,1.177083
1972-11-01,1.1875
1972-11-02,1.1875
1972-11-03,1.192708
1972-11-06,1.1875
1972-11-08,1.192708
1972-11-09,1.1953129999999998
1972-11-10,1.213542
1972-11-13,1.216146
1972-11-14,1.205729
1972-11-15,1.2109379999999998
1972-11-16,1.208333
1972-11-17,1.208333
1972-11-20,1.200521
1972-11-21,1.197917
1972-11-22,1.203125
1972-11-24,1.208333
1972-11-27,1.203125
1972-11-28,1.197917
1972-11-29,1.197917
1972-11-30,1.192708
1972-12-01,1.200521
1972-12-04,1.197917
1972-12-05,1.203125
1972-12-06,1.1953129999999998
1972-12-07,1.200521
1972-12-08,1.1953129999999998
1972-12-11,1.197917
1972-12-12,1.1953129999999998
1972-12-13,1.197917
1972-12-14,1.197917
1972-12-15,1.205729
1972-12-18,1.203125
1972-12-19,1.208333
1972-12-20,1.213542
1972-12-21,1.223958
1972-12-22,1.216146
1972-12-26,1.216146
1972-12-27,1.223958
1972-12-29,1.276042
1973-01-02,1.307292
1973-01-03,1.296875
1973-01-04,1.307292
1973-01-05,1.3046879999999998
1973-01-08,1.291667
1973-01-09,1.291667
1973-01-10,1.307292
1973-01-11,1.328125
1973-01-12,1.328125
1973-01-15,1.338542
1973-01-16,1.34375
1973-01-17,1.315104
1973-01-18,1.317708
1973-01-19,1.317708
1973-01-22,1.330729
1973-01-23,1.3203129999999998
1973-01-24,1.328125
1973-01-26,1.286458
1973-01-29,1.296875
1973-01-30,1.276042
1973-01-31,1.276042
1973-02-01,1.244792
1973-02-02,1.239583
1973-02-05,1.21875
1973-02-06,1.1875
1973-02-07,1.145833
1973-02-08,1.140625
1973-02-09,1.166667
1973-02-12,1.171875
1973-02-13,1.177083
1973-02-14,1.166667
1973-02-15,1.145833
1973-02-16,1.130208
1973-02-20,1.125
1973-02-21,1.135417
1973-02-22,1.122396
1973-02-23,1.106771
1973-02-26,1.109375
1973-02-27,1.114583
1973-02-28,1.111979
1973-03-01,1.1171879999999998
1973-03-02,1.122396
1973-03-05,1.145833
1973-03-06,1.140625
1973-03-07,1.135417
1973-03-08,1.15625
1973-03-09,1.161458
1973-03-12,1.161458
1973-03-13,1.158854
1973-03-14,1.174479
1973-03-15,1.1796879999999998
1973-03-16,1.177083
1973-03-19,1.1796879999999998
1973-03-20,1.166667
1973-03-21,1.166667
1973-03-22,1.161458
1973-03-23,1.158854
1973-03-26,1.166667
1973-03-27,1.166667
1973-03-28,1.182292
1973-03-29,1.184896
1973-03-30,1.177083
1973-04-02,1.161458
1973-04-03,1.161458
1973-04-04,1.171875
1973-04-05,1.161458
1973-04-06,1.161458
1973-04-09,1.177083
1973-04-10,1.1875
1973-04-11,1.192708
1973-04-12,1.182292
1973-04-13,1.177083
1973-04-16,1.182292
1973-04-17,1.1875
1973-04-18,1.197917
1973-04-19,1.203125
1973-04-23,1.203125
1973-04-24,1.208333
1973-04-25,1.208333
1973-04-26,1.192708
1973-04-27,1.177083
1973-04-30,1.169271
1973-05-01,1.177083
1973-05-02,1.169271
1973-05-03,1.1796879999999998
1973-05-04,1.190104
1973-05-07,1.169271
1973-05-08,1.190104
1973-05-09,1.190104
1973-05-10,1.169271
1973-05-11,1.169271
1973-05-14,1.158854
1973-05-15,1.158854
1973-05-16,1.158854
1973-05-17,1.130208
1973-05-18,1.130208
1973-05-21,1.119792
1973-05-22,1.119792
1973-05-23,1.119792
1973-05-24,1.119792
1973-05-25,1.119792
1973-05-29,1.130208
1973-05-30,1.140625
1973-05-31,1.151042
1973-06-01,1.158854
1973-06-04,1.158854
1973-06-05,1.1796879999999998
1973-06-06,1.190104
1973-06-07,1.190104
1973-06-08,1.1796879999999998
1973-06-11,1.1796879999999998
1973-06-12,1.200521
1973-06-13,1.190104
1973-06-14,1.190104
1973-06-15,1.1796879999999998
1973-06-18,1.190104
1973-06-19,1.1796879999999998
1973-06-20,1.1796879999999998
1973-06-21,1.1796879999999998
1973-06-22,1.169271
1973-06-25,1.1796879999999998
1973-06-26,1.1796879999999998
1973-06-27,1.169271
1973-06-28,1.169271
1973-06-29,1.190104
1973-07-02,1.190104
1973-07-03,1.190104
1973-07-05,1.1796879999999998
1973-07-06,1.1796879999999998
1973-07-09,1.190104
1973-07-10,1.200521
1973-07-11,1.229167
1973-07-12,1.239583
1973-07-13,1.21875
1973-07-16,1.21875
1973-07-17,1.21875
1973-07-18,1.21875
1973-07-19,1.229167
1973-07-20,1.21875
1973-07-23,1.190104
1973-07-24,1.2109379999999998
1973-07-25,1.229167
1973-07-26,1.25
1973-07-27,1.25
1973-07-30,1.229167
1973-07-31,1.21875
1973-08-01,1.21875
1973-08-02,1.229167
1973-08-03,1.260417
1973-08-06,1.25
1973-08-07,1.229167
1973-08-08,1.2109379999999998
1973-08-09,1.190104
1973-08-10,1.1796879999999998
1973-08-13,1.1796879999999998
1973-08-14,1.1796879999999998
1973-08-15,1.1796879999999998
1973-08-16,1.190104
1973-08-17,1.190104
1973-08-20,1.190104
1973-08-21,1.1796879999999998
1973-08-22,1.1796879999999998
1973-08-23,1.200521
1973-08-24,1.200521
1973-08-27,1.200521
1973-08-28,1.190104
1973-08-29,1.200521
1973-08-30,1.2109379999999998
1973-08-31,1.2109379999999998
1973-09-04,1.21875
1973-09-05,1.229167
1973-09-06,1.25
1973-09-07,1.25
1973-09-10,1.239583
1973-09-11,1.229167
1973-09-12,1.21875
1973-09-13,1.229167
1973-09-14,1.239583
1973-09-17,1.25
1973-09-18,1.229167
1973-09-19,1.229167
1973-09-20,1.260417
1973-09-21,1.28125
1973-09-24,1.270833
1973-09-25,1.2890629999999998
1973-09-26,1.2890629999999998
1973-09-27,1.28125
1973-09-28,1.260417
1973-10-01,1.260417
1973-10-02,1.260417
1973-10-03,1.28125
1973-10-04,1.270833
1973-10-05,1.270833
1973-10-08,1.270833
1973-10-09,1.2890629999999998
1973-10-10,1.2890629999999998
1973-10-11,1.2890629999999998
1973-10-12,1.2890629999999998
1973-10-15,1.299479
1973-10-16,1.309896
1973-10-17,1.3203129999999998
1973-10-18,1.348958
1973-10-19,1.348958
1973-10-22,1.348958
1973-10-23,1.348958
1973-10-24,1.380208
1973-10-25,1.390625
1973-10-26,1.401042
1973-10-29,1.390625
1973-10-30,1.401042
1973-10-31,1.390625
1973-11-01,1.369792
1973-11-02,1.369792
1973-11-05,1.369792
1973-11-06,1.369792
1973-11-07,1.369792
1973-11-08,1.380208
1973-11-09,1.390625
1973-11-12,1.369792
1973-11-13,1.380208
1973-11-14,1.359375
1973-11-15,1.359375
1973-11-16,1.369792
1973-11-19,1.3203129999999998
1973-11-20,1.239583
1973-11-21,1.229167
1973-11-23,1.25
1973-11-26,1.239583
1973-11-27,1.21875
1973-11-28,1.229167
1973-11-29,1.229167
1973-11-30,1.260417
1973-12-03,1.25
1973-12-04,1.25
1973-12-05,1.25
1973-12-06,1.229167
1973-12-07,1.229167
1973-12-10,1.229167
1973-12-11,1.239583
1973-12-12,1.2109379999999998
1973-12-13,1.200521
1973-12-14,1.229167
1973-12-17,1.21875
1973-12-18,1.25
1973-12-19,1.239583
1973-12-20,1.25
1973-12-21,1.239583
1973-12-24,1.25
1973-12-26,1.25
1973-12-27,1.25
1973-12-28,1.260417
1973-12-31,1.260417
1974-01-02,1.260417
1974-01-03,1.299479
1974-01-04,1.3203129999999998
1974-01-07,1.309896
1974-01-08,1.3203129999999998
1974-01-09,1.341146
1974-01-10,1.330729
1974-01-11,1.3203129999999998
1974-01-14,1.309896
1974-01-15,1.309896
1974-01-16,1.3203129999999998
1974-01-17,1.3203129999999998
1974-01-18,1.3203129999999998
1974-01-21,1.330729
1974-01-22,1.341146
1974-01-23,1.341146
1974-01-24,1.341146
1974-01-25,1.330729
1974-01-28,1.3203129999999998
1974-01-29,1.3203129999999998
1974-01-30,1.341146
1974-01-31,1.341146
1974-02-01,1.348958
1974-02-04,1.359375
1974-02-05,1.348958
1974-02-06,1.348958
1974-02-07,1.348958
1974-02-08,1.348958
1974-02-11,1.348958
1974-02-12,1.3203129999999998
1974-02-13,1.341146
1974-02-14,1.330729
1974-02-15,1.3203129999999998
1974-02-19,1.330729
1974-02-20,1.341146
1974-02-21,1.348958
1974-02-22,1.348958
1974-02-25,1.348958
1974-02-26,1.348958
1974-02-27,1.330729
1974-02-28,1.341146
1974-03-01,1.341146
1974-03-04,1.341146
1974-03-05,1.330729
1974-03-06,1.3203129999999998
1974-03-07,1.3203129999999998
1974-03-08,1.3203129999999998
1974-03-11,1.3203129999999998
1974-03-12,1.3203129999999998
1974-03-13,1.3203129999999998
1974-03-14,1.3203129999999998
1974-03-15,1.3203129999999998
1974-03-18,1.3203129999999998
1974-03-19,1.341146
1974-03-20,1.359375
1974-03-21,1.359375
1974-03-22,1.341146
1974-03-25,1.330729
1974-03-26,1.309896
1974-03-27,1.299479
1974-03-28,1.2890629999999998
1974-03-29,1.260417
1974-04-01,1.25
1974-04-02,1.239583
1974-04-03,1.200521
1974-04-04,1.21875
1974-04-05,1.229167
1974-04-08,1.2109379999999998
1974-04-09,1.200521
1974-04-10,1.200521
1974-04-11,1.190104
1974-04-15,1.1796879999999998
1974-04-16,1.190104
1974-04-17,1.2109379999999998
1974-04-18,1.2109379999999998
1974-04-19,1.229167
1974-04-22,1.2109379999999998
1974-04-23,1.200521
1974-04-24,1.200521
1974-04-25,1.190104
1974-04-26,1.200521
1974-04-29,1.1796879999999998
1974-04-30,1.151042
1974-05-01,1.169271
1974-05-02,1.151042
1974-05-03,1.119792
1974-05-06,1.098958
1974-05-07,1.059896
1974-05-08,1.0390629999999998
1974-05-09,1.020833
1974-05-10,0.960938
1974-05-13,0.96875
1974-05-14,0.989583
1974-05-15,1.0
1974-05-16,1.0
1974-05-17,0.96875
1974-05-20,0.940104
1974-05-21,0.940104
1974-05-22,0.929688
1974-05-23,0.919271
1974-05-24,0.929688
1974-05-28,0.960938
1974-05-29,0.979167
1974-05-30,0.950521
1974-05-31,0.940104
1974-06-03,0.940104
1974-06-04,0.940104
1974-06-05,0.908854
1974-06-06,0.929688
1974-06-07,0.929688
1974-06-10,0.929688
1974-06-11,0.919271
1974-06-12,0.919271
1974-06-13,0.919271
1974-06-14,0.929688
1974-06-17,0.890625
1974-06-18,0.880208
1974-06-19,0.859375
1974-06-20,0.841146
1974-06-21,0.820313
1974-06-24,0.799479
1974-06-25,0.809896
1974-06-26,0.799479
1974-06-27,0.78125
1974-06-28,0.78125
1974-07-01,0.789063
1974-07-02,0.75
1974-07-03,0.679688
1974-07-05,0.658854
1974-07-08,0.640625
1974-07-09,0.658854
1974-07-10,0.679688
1974-07-11,0.669271
1974-07-12,0.700521
1974-07-15,0.679688
1974-07-16,0.679688
1974-07-17,0.651042
1974-07-18,0.669271
1974-07-19,0.690104
1974-07-22,0.679688
1974-07-23,0.679688
1974-07-24,0.71875
1974-07-25,0.739583
1974-07-26,0.739583
1974-07-29,0.71875
1974-07-30,0.729167
1974-07-31,0.710938
1974-08-01,0.710938
1974-08-02,0.71875
1974-08-05,0.700521
1974-08-06,0.700521
1974-08-07,0.710938
1974-08-08,0.700521
1974-08-09,0.700521
1974-08-12,0.669271
1974-08-13,0.640625
1974-08-14,0.619792
1974-08-15,0.598958
1974-08-16,0.609375
1974-08-19,0.619792
1974-08-20,0.619792
1974-08-21,0.609375
1974-08-22,0.591146
1974-08-23,0.580729
1974-08-26,0.559896
1974-08-27,0.549479
1974-08-28,0.559896
1974-08-29,0.559896
1974-08-30,0.580729
1974-09-03,0.591146
1974-09-04,0.580729
1974-09-05,0.580729
1974-09-06,0.591146
1974-09-09,0.591146
1974-09-10,0.580729
1974-09-11,0.570313
1974-09-12,0.53125
1974-09-13,0.53125
1974-09-16,0.549479
1974-09-17,0.539063
1974-09-18,0.539063
1974-09-19,0.549479
1974-09-20,0.570313
1974-09-23,0.580729
1974-09-24,0.570313
1974-09-25,0.570313
1974-09-26,0.559896
1974-09-27,0.549479
1974-09-30,0.520833
1974-10-01,0.489583
1974-10-02,0.510417
1974-10-03,0.510417
1974-10-04,0.53125
1974-10-07,0.549479
1974-10-08,0.549479
1974-10-09,0.580729
1974-10-10,0.591146
1974-10-11,0.640625
1974-10-14,0.619792
1974-10-15,0.619792
1974-10-16,0.630208
1974-10-17,0.619792
1974-10-18,0.640625
1974-10-21,0.651042
1974-10-22,0.669271
1974-10-23,0.669271
1974-10-24,0.658854
1974-10-25,0.658854
1974-10-28,0.651042
1974-10-29,0.658854
1974-10-30,0.710938
1974-10-31,0.729167
1974-11-01,0.729167
1974-11-04,0.729167
1974-11-05,0.78125
1974-11-06,0.78125
1974-11-07,0.770833
1974-11-08,0.770833
1974-11-11,0.760417
1974-11-12,0.75
1974-11-13,0.75
1974-11-14,0.760417
1974-11-15,0.760417
1974-11-18,0.760417
1974-11-19,0.75
1974-11-20,0.729167
1974-11-21,0.729167
1974-11-22,0.75
1974-11-25,0.729167
1974-11-26,0.71875
1974-11-27,0.729167
1974-11-29,0.729167
1974-12-02,0.710938
1974-12-03,0.700521
1974-12-04,0.700521
1974-12-05,0.679688
1974-12-06,0.658854
1974-12-09,0.658854
1974-12-10,0.700521
1974-12-11,0.690104
1974-12-12,0.700521
1974-12-13,0.700521
1974-12-16,0.679688
1974-12-17,0.690104
1974-12-18,0.679688
1974-12-19,0.679688
1974-12-20,0.669271
1974-12-23,0.658854
1974-12-24,0.651042
1974-12-26,0.669271
1974-12-27,0.669271
1974-12-30,0.669271
1974-12-31,0.700521
1975-01-02,0.75
1975-01-03,0.75
1975-01-06,0.760417
1975-01-07,0.75
1975-01-08,0.75
1975-01-09,0.760417
1975-01-10,0.770833
1975-01-13,0.78125
1975-01-14,0.770833
1975-01-15,0.789063
1975-01-16,0.789063
1975-01-17,0.799479
1975-01-20,0.78125
1975-01-21,0.789063
1975-01-22,0.789063
1975-01-23,0.799479
1975-01-24,0.789063
1975-01-27,0.809896
1975-01-28,0.799479
1975-01-29,0.799479
1975-01-30,0.830729
1975-01-31,0.830729
1975-02-03,0.820313
1975-02-04,0.809896
1975-02-05,0.799479
1975-02-06,0.820313
1975-02-07,0.820313
1975-02-10,0.809896
1975-02-11,0.820313
1975-02-12,0.830729
1975-02-13,0.841146
1975-02-14,0.820313
1975-02-18,0.809896
1975-02-19,0.799479
1975-02-20,0.799479
1975-02-21,0.789063
1975-02-24,0.770833
1975-02-25,0.770833
1975-02-26,0.760417
1975-02-27,0.760417
1975-02-28,0.75
1975-03-03,0.75
1975-03-04,0.78125
1975-03-05,0.789063
1975-03-06,0.789063
