,ACGL,ADBE,ADS,AMGP,AMX,ANTM,AON,AR,AREX,AXP,AXTA,BAC,BAM,BBU,BHC,BHI,BIP,BPY,BR,BRK,C,CMCSA,CMCSK,CMPR,COL,DELL,DHI,DLTR,EQIX,ESRX,ETN,FB,FISV,FMCC,FTDR,GD,GOOG,GOOGL,GSM,HAL,HCA,HPQ,IQV,IR,JPM,JW,KMI,LBTYA,LBTYK,LEN,LH,LILA,LILAK,LMT,LVNTA,MA,MCO,MSFT,MSI,NICK,NLSN,ONE,ORCL,PCP,PGR,PRI,RJF,RNR,RRC,RYAAY,SCHW,SERV,SGU,ST,T,TDW,UNH,USB,V,VAR,WAT,WFC,XTEX,XTXI
2019 Q4,,,,0.69,,10.02,,1.07,,,,0.03,,,,,,,,17.64,,0.07,,,,,3.19,0.04,,,,,,,,,0.08,16.52,,,,,,,,,,,,7.0200000000000005,,,,,,,0.07,,,,,,,,6.6,4.93,11.33,,,,4.67,,,,,,2.47,,,,,,,
2019 Q3,,,,0.18,,8.18,,1.85,,,,0.02,,,,,,,,16.69,5.06,0.07,,,,,3.55,,,,,,,,,,0.07,19.14,,,,,,,,,,,,7.53,,,,,,,0.08,,,,,,,,,5.96,11.33,,,,7.54,,,,,,,,,,,,,
2019 Q2,,,,0.41,,,,3.46,,,,0.02,,,,,,,,14.28,5.17,0.07,,,,,2.91,,,,,5.93,,,0.1,,0.06,17.03,,,,,,,,,,,6.58,8.739999999999998,,,,,,,0.07,,,,,,,,,4.84,10.94,,,,7.28,,,,,,,,,,,,,
2019 Q1,,,9.91,0.43,,,,5.3,,,,0.02,,,,,,,,,4.43,0.06,,,,,2.67,,,,,7.02,,,0.07,,0.07,18.61,,,,,,,,,,0.29,6.44,9.01,,,,,,,0.06,,,,,,,,,7.73,9.94,,,,7.43,,,,,,,,,,,,,
2018 Q4,,,13.3,0.05,,,,5.3,,,,,,,,,,,,,3.15,0.05,,,,,2.01,,,,,5.62,,,0.06,,0.06,16.24,,,,,,,,,,0.26,6.19,,,,,,,,0.05,,,,3.06,,,,,6.81,8.59,,0.08,,12.65,,,,,,,,,,,,,
2018 Q3,,,17.43,,,,,8.4,,,,0.02,,,,,,,,,4.24,0.05,,,,,1.43,,,,,,,,,,0.05,15.51,,,0.02,,,,,,,0.31,8.28,,,,,,,,0.04,,,,3.42,,,,,7.46,8.13,,,,12.22,,,,,,,,,,,,,
2018 Q2,,,16.53,,,,,9.54,,,,0.02,,,,,,,,,,0.04,,,,,,,,3.95,,,,,,,,14.21,,,11.39,,,,,,,0.28,9.51,,,,,,,,,,,,8.27,,,,,6.43,,,,,12.22,,,,,,,,,,,,,
2018 Q1,,,16.13,,,,,9.59,,,,0.02,4.38,,,,,,,,,0.05,,,,,,,,,,,,,,,,12.28,,,11.6,,,,,,,0.35,8.59,,,,,,,,,,,,10.4,,,,,5.94,,,,,13.48,,,,,,,,,,,,,
2017 Q4,,,17.9,,,,,8.95,,,,0.02,7.13,,,,,,,,,0.05,,,,,,,,0.02,,,,,,,,10.84,,,10.88,,2.02,,,,,0.39,10.08,,,,,,,,,,,,,,,,,6.05,,,,,13.84,,,3.57,,,,,,,,,,
2017 Q3,,,14.89,,,,,10.76,,,5.27,0.02,7.73,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,11.24,,4.37,,,,,0.42,11.03,,,,,,,,,,,,,,,,,5.86,,,,,15.12,,,3.87,,,,,,,,,,
