Date,AWK
2008-04-23,20.6
2008-04-24,20.809998999999998
2008-04-25,21.17
2008-04-28,21.0
2008-04-29,21.07
2008-04-30,21.15
2008-05-01,21.91
2008-05-02,22.01
2008-05-05,21.91
2008-05-06,21.549999
2008-05-07,21.209999
2008-05-08,21.25
2008-05-09,21.67
2008-05-12,21.5
2008-05-13,21.32
2008-05-14,21.299999
2008-05-15,21.16
2008-05-16,21.620001000000002
2008-05-19,21.75
2008-05-20,21.65
2008-05-21,21.16
2008-05-22,21.35
2008-05-23,21.139999
2008-05-27,21.23
2008-05-28,21.41
2008-05-29,21.059998999999998
2008-05-30,21.5
2008-06-02,21.6
2008-06-03,21.32
2008-06-04,21.57
2008-06-05,21.799999
2008-06-06,22.1
2008-06-09,22.33
2008-06-10,21.85
2008-06-11,21.709999
2008-06-12,21.85
2008-06-13,22.389999
2008-06-16,22.75
2008-06-17,23.18
2008-06-18,23.040001
2008-06-19,22.889999
2008-06-20,23.0
2008-06-23,22.75
2008-06-24,22.879998999999998
2008-06-25,23.370001000000002
2008-06-26,22.620001000000002
2008-06-27,22.52
2008-06-30,22.18
2008-07-01,22.879998999999998
2008-07-02,22.65
2008-07-03,21.799999
2008-07-07,21.49
2008-07-08,21.700001
2008-07-09,21.59
2008-07-10,21.26
2008-07-11,20.030001000000002
2008-07-14,19.709999
2008-07-15,18.91
2008-07-16,19.4
2008-07-17,19.700001
2008-07-18,19.549999
2008-07-21,19.719998999999998
2008-07-22,19.93
2008-07-23,19.690001000000002
2008-07-24,18.870001000000002
2008-07-25,19.15
2008-07-28,18.629998999999998
2008-07-29,19.0
2008-07-30,19.459999
2008-07-31,19.25
2008-08-01,19.290001
2008-08-04,19.6
2008-08-05,20.34
2008-08-06,20.1
2008-08-07,20.15
2008-08-08,20.07
2008-08-11,20.77
2008-08-12,20.870001000000002
2008-08-13,21.09
2008-08-14,20.98
2008-08-15,20.75
2008-08-18,21.15
2008-08-19,21.92
2008-08-20,21.9
2008-08-21,21.9
2008-08-22,21.950001
2008-08-25,21.77
2008-08-26,21.610001
2008-08-27,21.719998999999998
2008-08-28,22.110001
2008-08-29,22.950001
2008-09-02,22.799999
2008-09-03,21.870001000000002
