Date,EQR
1993-08-12,14.3125
1993-08-13,13.875
1993-08-16,14.0
1993-08-17,14.0625
1993-08-18,14.0625
1993-08-19,13.8125
1993-08-20,13.9375
1993-08-23,14.0
1993-08-24,14.1875
1993-08-25,14.0
1993-08-26,14.3125
1993-08-27,14.125
1993-08-30,14.125
1993-08-31,14.375
1993-09-01,14.3125
1993-09-02,14.5
1993-09-03,14.625
1993-09-07,14.6875
1993-09-08,14.5
1993-09-09,14.625
1993-09-10,15.125
1993-09-13,15.0
1993-09-14,14.75
1993-09-15,14.75
1993-09-16,14.875
1993-09-17,15.0625
1993-09-20,14.75
1993-09-21,14.8125
1993-09-22,14.9375
1993-09-23,14.8125
1993-09-24,15.0625
1993-09-27,15.6875
1993-09-28,15.75
1993-09-29,15.75
1993-09-30,15.5625
1993-10-01,15.5625
1993-10-04,15.25
1993-10-05,15.25
1993-10-06,15.5
1993-10-07,15.5625
1993-10-08,17.125
1993-10-11,17.0
1993-10-12,18.0
1993-10-13,17.75
1993-10-14,17.75
1993-10-15,18.125
1993-10-18,18.0625
1993-10-19,17.5
1993-10-20,17.4375
1993-10-21,17.25
1993-10-22,17.5
1993-10-25,17.375
1993-10-26,16.9375
1993-10-27,16.75
1993-10-28,17.0
1993-10-29,17.3125
1993-11-01,17.375
1993-11-02,17.3125
1993-11-03,17.5
1993-11-04,16.875
1993-11-05,17.375
1993-11-08,17.9375
1993-11-09,17.9375
1993-11-10,17.625
1993-11-11,17.375
1993-11-12,17.4375
1993-11-15,17.25
1993-11-16,16.9375
1993-11-17,16.4375
1993-11-18,15.75
1993-11-19,15.75
1993-11-22,15.6875
1993-11-23,15.5625
1993-11-24,15.5625
1993-11-26,15.5
1993-11-29,15.5
1993-11-30,16.25
1993-12-01,15.8125
1993-12-02,15.625
1993-12-03,15.5
1993-12-06,15.6875
1993-12-07,15.75
1993-12-08,15.5
1993-12-09,15.5625
1993-12-10,15.625
1993-12-13,15.625
1993-12-14,14.875
1993-12-15,15.5
1993-12-16,15.75
1993-12-17,15.625
1993-12-20,15.625
1993-12-21,15.375
1993-12-22,15.5
1993-12-23,15.5
1993-12-27,15.5
1993-12-28,15.9375
1993-12-29,15.8125
1993-12-30,15.75
1993-12-31,15.9375
1994-01-03,15.25
1994-01-04,15.4375
1994-01-05,15.0
1994-01-06,14.9375
1994-01-07,14.4375
1994-01-10,14.5
1994-01-11,14.625
1994-01-12,14.875
1994-01-13,15.0
1994-01-14,14.875
1994-01-17,14.5
1994-01-18,14.375
1994-01-19,14.5
1994-01-20,14.6875
1994-01-21,14.5625
1994-01-24,14.5625
1994-01-25,14.375
1994-01-26,14.375
1994-01-27,14.5625
1994-01-28,14.375
1994-01-31,14.5625
1994-02-01,14.5625
1994-02-02,14.625
1994-02-03,14.5625
1994-02-04,14.3125
1994-02-07,14.5
1994-02-08,14.5
1994-02-09,14.5625
1994-02-10,14.625
1994-02-11,14.9375
1994-02-14,15.3125
1994-02-15,15.1875
1994-02-16,15.3125
1994-02-17,15.9375
1994-02-18,16.1875
1994-02-22,16.625
1994-02-23,16.625
1994-02-24,16.0
1994-02-25,16.0625
1994-02-28,16.4375
1994-03-01,16.3125
1994-03-02,16.0
1994-03-03,16.0
1994-03-04,16.0
1994-03-07,16.125
1994-03-08,16.0
1994-03-09,15.6875
1994-03-10,15.875
1994-03-11,15.9375
1994-03-14,16.25
1994-03-15,16.0
1994-03-16,15.9375
1994-03-17,16.3125
1994-03-18,16.375
1994-03-21,16.375
1994-03-22,16.25
1994-03-23,16.6875
1994-03-24,16.6875
1994-03-25,16.6875
1994-03-28,16.375
1994-03-29,15.625
1994-03-30,15.25
1994-03-31,15.0625
1994-04-04,14.875
1994-04-05,15.0
1994-04-06,15.875
1994-04-07,16.625
1994-04-08,16.0625
1994-04-11,16.625
1994-04-12,16.375
1994-04-13,15.75
1994-04-14,15.625
1994-04-15,15.875
1994-04-18,16.0
1994-04-19,16.0
1994-04-20,15.875
1994-04-21,15.875
1994-04-22,15.9375
1994-04-25,16.3125
1994-04-26,16.1875
1994-04-28,16.375
1994-04-29,16.375
1994-05-02,16.25
1994-05-03,16.1875
1994-05-04,16.125
1994-05-05,16.125
1994-05-06,16.125
1994-05-09,16.375
1994-05-10,17.0625
1994-05-11,17.375
1994-05-12,17.4375
1994-05-13,17.5625
1994-05-16,17.5
1994-05-17,17.3125
1994-05-18,17.25
1994-05-19,17.0
1994-05-20,17.0
1994-05-23,17.125
1994-05-24,17.25
1994-05-25,17.3125
1994-05-26,17.125
1994-05-27,17.3125
1994-05-31,16.875
1994-06-01,17.0
1994-06-02,17.1875
1994-06-03,17.125
1994-06-06,17.3125
1994-06-07,17.5
1994-06-08,17.375
1994-06-09,17.25
1994-06-10,17.0
1994-06-13,16.9375
1994-06-14,17.0
1994-06-15,16.875
1994-06-16,17.125
1994-06-17,16.8125
1994-06-20,16.0625
1994-06-21,16.0625
1994-06-22,16.25
1994-06-23,15.5625
1994-06-24,15.5
1994-06-27,15.375
1994-06-28,15.125
1994-06-29,15.0
1994-06-30,14.875
1994-07-01,15.25
1994-07-05,15.25
1994-07-06,15.125
1994-07-07,15.375
1994-07-08,15.4375
1994-07-11,15.4375
1994-07-12,15.375
1994-07-13,15.375
1994-07-14,15.75
1994-07-15,16.0625
1994-07-18,15.875
1994-07-19,15.6875
1994-07-20,15.625
1994-07-21,16.0625
1994-07-22,15.875
1994-07-25,16.125
1994-07-26,16.125
1994-07-27,16.1875
1994-07-28,16.125
1994-07-29,16.375
1994-08-01,16.0625
1994-08-02,16.0
1994-08-03,15.8125
1994-08-04,16.0
1994-08-05,15.9375
1994-08-08,16.125
1994-08-09,16.0625
1994-08-10,16.3125
1994-08-11,16.0625
1994-08-12,16.1875
1994-08-15,16.25
1994-08-16,16.375
1994-08-17,16.375
1994-08-18,16.1875
1994-08-19,16.0
1994-08-22,16.1875
1994-08-23,15.875
