Date,FRC
2010-12-09,27.92
2010-12-10,27.41
2010-12-13,27.4
2010-12-14,27.309998999999998
2010-12-15,27.450001
2010-12-16,27.65
2010-12-17,28.059998999999998
2010-12-20,28.139999
2010-12-21,28.91
2010-12-22,29.450001
2010-12-23,29.1
2010-12-27,28.98
2010-12-28,29.049999
2010-12-29,29.08
2010-12-30,28.959999
2010-12-31,29.120001000000002
2011-01-03,28.98
2011-01-04,28.530001000000002
2011-01-05,28.41
2011-01-06,29.0
2011-01-07,30.540001
2011-01-10,30.93
2011-01-11,30.58
2011-01-12,30.299999
2011-01-13,30.51
2011-01-14,31.35
2011-01-18,30.889999
2011-01-19,30.52
2011-01-20,30.6
2011-01-21,30.219998999999998
2011-01-24,30.299999
2011-01-25,30.32
2011-01-26,30.35
2011-01-27,30.309998999999998
2011-01-28,29.719998999999998
2011-01-31,29.73
2011-02-01,29.280001000000002
2011-02-02,29.120001000000002
2011-02-03,28.9
2011-02-04,29.200001
2011-02-07,29.5
2011-02-08,29.84
2011-02-09,29.459999
2011-02-10,29.25
2011-02-11,29.129998999999998
2011-02-14,28.83
2011-02-15,29.040001
2011-02-16,29.139999
2011-02-17,29.02
2011-02-18,29.76
2011-02-22,29.209999
2011-02-23,29.059998999999998
2011-02-24,29.1
2011-02-25,29.299999
2011-02-28,29.25
2011-03-01,29.059998999999998
2011-03-02,28.74
2011-03-03,29.08
2011-03-04,28.799999
2011-03-07,28.0
2011-03-08,28.74
2011-03-09,28.9
2011-03-10,28.5
2011-03-11,28.280001000000002
2011-03-14,28.18
2011-03-15,29.07
2011-03-16,29.360001
2011-03-17,29.969998999999998
2011-03-18,30.34
2011-03-21,30.59
2011-03-22,29.77
2011-03-23,29.9
2011-03-24,29.73
2011-03-25,30.08
2011-03-28,30.370001000000002
2011-03-29,30.1
2011-03-30,30.530001000000002
2011-03-31,30.91
2011-04-01,30.719998999999998
2011-04-04,30.17
2011-04-05,29.83
2011-04-06,29.870001000000002
2011-04-07,29.9
2011-04-08,29.23
2011-04-11,29.9
2011-04-12,29.799999
2011-04-13,29.68
2011-04-14,29.969998999999998
2011-04-15,30.0
2011-04-18,29.809998999999998
2011-04-19,29.98
2011-04-20,30.41
2011-04-21,30.959999
2011-04-25,31.02
2011-04-26,31.82
2011-04-27,31.690001000000002
2011-04-28,31.65
2011-04-29,31.35
2011-05-02,31.6
2011-05-03,31.290001
2011-05-04,31.299999
2011-05-05,31.209999
2011-05-06,31.08
2011-05-09,31.379998999999998
2011-05-10,31.98
2011-05-11,30.940001000000002
2011-05-12,31.450001
2011-05-13,31.379998999999998
2011-05-16,31.940001000000002
2011-05-17,31.690001000000002
2011-05-18,31.74
2011-05-19,31.5
2011-05-20,31.389999
2011-05-23,30.719998999999998
2011-05-24,31.780001000000002
2011-05-25,31.200001
2011-05-26,31.82
2011-05-27,34.599998
2011-05-31,32.25
2011-06-01,31.879998999999998
2011-06-02,32.150002
2011-06-03,32.880001
2011-06-06,33.330002
2011-06-07,33.970001
2011-06-08,34.09
2011-06-09,33.880001
2011-06-10,33.200001
2011-06-13,33.200001
2011-06-14,33.759997999999996
2011-06-15,33.529999
2011-06-16,33.830002
2011-06-17,34.25
2011-06-20,34.049999
2011-06-21,34.049999
2011-06-22,34.439999
2011-06-23,33.810001
2011-06-24,32.959998999999996
2011-06-27,32.75
2011-06-28,31.25
2011-06-29,31.440001000000002
2011-06-30,32.279999
2011-07-01,31.0
2011-07-05,31.0
2011-07-06,30.4
2011-07-07,30.559998999999998
2011-07-08,30.26
2011-07-11,30.049999
2011-07-12,30.42
2011-07-13,30.6
2011-07-14,29.82
2011-07-15,29.879998999999998
2011-07-18,29.120001000000002
2011-07-19,28.950001
2011-07-20,28.860001
2011-07-21,29.129998999999998
2011-07-22,28.940001000000002
2011-07-25,28.85
2011-07-26,29.23
2011-07-27,28.6
2011-07-28,28.59
2011-07-29,28.32
2011-08-01,28.51
2011-08-02,27.809998999999998
2011-08-03,27.76
2011-08-04,27.280001000000002
2011-08-05,27.01
2011-08-08,25.110001
2011-08-09,26.42
2011-08-10,24.959999
2011-08-11,26.110001
2011-08-12,25.299999
2011-08-15,26.17
2011-08-16,25.74
2011-08-17,25.83
2011-08-18,24.4
2011-08-19,23.940001000000002
2011-08-22,23.74
2011-08-23,24.58
2011-08-24,25.040001
2011-08-25,24.23
2011-08-26,24.690001000000002
2011-08-29,25.24
2011-08-30,25.25
2011-08-31,25.5
2011-09-01,24.709999
2011-09-02,24.15
2011-09-06,24.0
2011-09-07,25.040001
2011-09-08,24.0
2011-09-09,24.049999
2011-09-12,24.82
2011-09-13,25.290001
2011-09-14,25.209999
2011-09-15,25.120001000000002
2011-09-16,25.309998999999998
2011-09-19,24.92
2011-09-20,24.940001000000002
2011-09-21,24.18
2011-09-22,23.700001
2011-09-23,23.629998999999998
2011-09-26,24.0
2011-09-27,24.43
2011-09-28,23.08
2011-09-29,23.58
2011-09-30,23.16
2011-10-03,22.48
2011-10-04,24.17
2011-10-05,24.219998999999998
2011-10-06,24.67
2011-10-07,23.370001000000002
2011-10-10,25.030001000000002
2011-10-11,25.139999
2011-10-12,25.870001000000002
2011-10-13,25.09
2011-10-14,25.6
2011-10-17,25.07
2011-10-18,26.379998999999998
2011-10-19,25.84
2011-10-20,25.27
2011-10-21,26.5
2011-10-24,27.34
2011-10-25,27.030001000000002
2011-10-26,28.280001000000002
2011-10-27,29.01
2011-10-28,28.610001
2011-10-31,27.700001
2011-11-01,26.870001000000002
