Date,INCY
1993-11-04,1.875
1993-11-05,1.96875
1993-11-08,1.96875
1993-11-09,1.96875
1993-11-10,2.0
1993-11-11,2.03125
1993-11-12,2.09375
1993-11-15,2.3125
1993-11-16,2.4375
1993-11-17,2.375
1993-11-18,2.3125
1993-11-19,2.34375
1993-11-22,2.25
1993-11-23,2.40625
1993-11-24,2.34375
1993-11-26,2.375
1993-11-29,2.25
1993-11-30,2.25
1993-12-01,2.1875
1993-12-02,2.59375
1993-12-03,2.5625
1993-12-06,2.40625
1993-12-07,2.34375
1993-12-08,2.375
1993-12-09,2.34375
1993-12-10,2.3125
1993-12-13,2.21875
1993-12-14,2.1875
1993-12-15,2.21875
1993-12-16,2.21875
1993-12-17,2.15625
1993-12-20,2.21875
1993-12-21,2.1875
1993-12-22,2.1875
1993-12-23,2.28125
1993-12-27,2.3125
1993-12-28,2.28125
1993-12-29,2.25
1993-12-30,2.21875
1993-12-31,2.25
1994-01-03,2.1875
1994-01-04,2.15625
1994-01-05,2.21875
1994-01-06,2.21875
1994-01-07,2.1875
1994-01-10,2.15625
1994-01-11,2.15625
1994-01-12,2.1875
1994-01-13,2.125
1994-01-14,2.0625
1994-01-17,2.09375
1994-01-18,2.125
1994-01-19,2.25
1994-01-20,2.28125
1994-01-21,2.28125
1994-01-24,2.34375
1994-01-25,2.3125
1994-01-26,2.625
1994-01-27,2.6875
1994-01-28,2.71875
1994-01-31,2.78125
1994-02-01,2.71875
1994-02-02,2.65625
1994-02-03,2.65625
1994-02-04,2.53125
1994-02-07,2.5625
1994-02-08,2.5
1994-02-09,2.78125
1994-02-10,2.8125
1994-02-11,2.75
1994-02-14,2.8125
1994-02-15,2.75
1994-02-16,2.75
1994-02-17,2.71875
1994-02-18,2.65625
1994-02-22,2.5625
1994-02-23,2.53125
1994-02-24,2.5
1994-02-25,2.5
1994-02-28,2.59375
1994-03-01,2.59375
1994-03-02,2.53125
1994-03-03,2.5625
1994-03-04,2.53125
1994-03-07,2.59375
1994-03-08,2.53125
1994-03-09,2.5
1994-03-10,2.4375
1994-03-11,2.40625
1994-03-14,2.40625
1994-03-15,2.34375
1994-03-16,2.4375
1994-03-17,2.375
1994-03-18,2.5625
1994-03-21,2.59375
1994-03-22,2.5
1994-03-23,2.46875
1994-03-24,2.5
1994-03-25,2.4375
1994-03-28,2.375
1994-03-29,2.375
1994-03-30,2.3125
1994-03-31,2.1875
1994-04-04,2.21875
1994-04-05,2.1875
1994-04-06,2.1875
1994-04-07,2.15625
1994-04-08,2.15625
1994-04-11,2.09375
1994-04-12,1.96875
1994-04-13,1.875
1994-04-14,2.0625
1994-04-15,1.96875
1994-04-18,1.9375
1994-04-19,1.875
1994-04-20,1.71875
1994-04-21,1.71875
1994-04-22,1.75
1994-04-25,2.03125
1994-04-26,2.125
1994-04-28,2.15625
1994-04-29,2.21875
