Date,LRCX
1984-05-04,2.222222
1984-05-07,2.194444
1984-05-08,2.194444
1984-05-09,2.194444
1984-05-10,2.138889
1984-05-11,2.111111
1984-05-14,2.111111
1984-05-15,2.166667
1984-05-16,2.166667
1984-05-17,2.166667
1984-05-18,1.888889
1984-05-21,1.888889
1984-05-22,1.888889
1984-05-23,1.916667
1984-05-24,1.916667
1984-05-25,1.916667
1984-05-29,1.916667
1984-05-30,1.916667
1984-05-31,1.916667
1984-06-01,1.9722220000000001
1984-06-04,2.0
1984-06-05,2.027778
1984-06-06,2.027778
1984-06-07,2.083333
1984-06-08,2.083333
1984-06-11,2.083333
1984-06-12,2.111111
1984-06-13,2.111111
1984-06-14,2.111111
1984-06-15,2.111111
1984-06-18,2.111111
1984-06-19,2.138889
1984-06-20,2.138889
1984-06-21,2.138889
1984-06-22,2.138889
1984-06-25,2.111111
1984-06-26,2.055556
1984-06-27,2.055556
1984-06-28,2.0
1984-06-29,2.0
1984-07-02,2.0
1984-07-03,1.888889
1984-07-05,1.888889
1984-07-06,1.888889
1984-07-09,1.833333
1984-07-10,1.833333
1984-07-11,1.861111
1984-07-12,1.861111
1984-07-13,1.861111
1984-07-16,1.861111
1984-07-17,1.861111
1984-07-18,1.888889
1984-07-19,1.916667
1984-07-20,1.916667
1984-07-23,1.916667
1984-07-24,1.916667
1984-07-25,1.916667
1984-07-26,1.916667
1984-07-27,1.916667
1984-07-30,1.888889
1984-07-31,1.888889
1984-08-01,1.888889
1984-08-02,1.916667
1984-08-03,2.027778
1984-08-06,2.138889
1984-08-07,2.111111
1984-08-08,2.111111
1984-08-09,2.111111
1984-08-10,2.111111
1984-08-13,2.166667
1984-08-14,2.166667
1984-08-15,2.166667
1984-08-16,2.166667
1984-08-17,2.166667
1984-08-20,2.166667
1984-08-21,2.166667
1984-08-22,2.277778
1984-08-23,2.222222
1984-08-24,2.222222
1984-08-27,2.166667
1984-08-28,2.166667
1984-08-29,2.166667
1984-08-30,2.194444
1984-08-31,2.194444
1984-09-04,2.222222
1984-09-05,2.222222
1984-09-06,2.222222
1984-09-07,2.361111
1984-09-10,2.361111
1984-09-11,2.416667
1984-09-12,2.444444
1984-09-13,2.527778
1984-09-14,2.583333
1984-09-17,2.638889
1984-09-18,2.638889
1984-09-19,2.638889
1984-09-20,2.388889
1984-09-21,2.388889
1984-09-24,2.388889
1984-09-25,2.222222
1984-09-26,2.194444
1984-09-27,2.138889
1984-09-28,2.0
1984-10-01,1.9444439999999998
1984-10-02,1.888889
1984-10-03,1.888889
1984-10-04,1.861111
1984-10-05,1.861111
1984-10-08,1.861111
1984-10-09,1.861111
1984-10-10,1.861111
1984-10-11,1.861111
1984-10-12,1.861111
1984-10-15,1.7777779999999999
1984-10-16,1.7222220000000001
1984-10-17,1.666667
1984-10-18,1.666667
1984-10-19,1.666667
1984-10-22,1.666667
1984-10-23,1.666667
1984-10-24,1.666667
1984-10-25,1.666667
1984-10-26,1.666667
1984-10-29,1.666667
1984-10-30,1.7777779999999999
1984-10-31,1.8055560000000002
1984-11-01,1.833333
1984-11-02,1.833333
1984-11-05,1.916667
1984-11-06,1.888889
1984-11-07,1.888889
1984-11-08,1.888889
1984-11-09,1.888889
1984-11-12,1.916667
1984-11-13,1.9444439999999998
1984-11-14,1.9444439999999998
