Date,MSCI
2007-11-15,26.1
2007-11-16,24.959999
2007-11-19,25.75
2007-11-20,27.32
2007-11-21,26.65
2007-11-23,27.4
2007-11-26,27.799999
2007-11-27,26.98
2007-11-28,27.299999
2007-11-29,27.299999
2007-11-30,27.65
2007-12-03,27.969998999999998
2007-12-04,29.35
2007-12-05,29.280001000000002
2007-12-06,28.91
2007-12-07,28.879998999999998
2007-12-10,29.0
2007-12-11,29.0
2007-12-12,28.48
2007-12-13,28.940001000000002
2007-12-14,28.719998999999998
2007-12-17,27.98
2007-12-18,28.5
2007-12-19,28.950001
2007-12-20,28.889999
2007-12-21,33.720001
2007-12-24,33.919998
2007-12-26,34.349998
2007-12-27,36.549999
2007-12-28,37.32
2007-12-31,38.400002
2008-01-02,33.849998
2008-01-03,30.790001
2008-01-04,30.15
2008-01-07,28.139999
2008-01-08,26.629998999999998
2008-01-09,27.76
2008-01-10,29.639999
2008-01-11,30.43
2008-01-14,30.5
2008-01-15,30.709999
2008-01-16,29.299999
2008-01-17,28.99
2008-01-18,29.32
2008-01-22,28.9
2008-01-23,31.16
2008-01-24,32.169998
2008-01-25,31.780001000000002
2008-01-28,33.060001
2008-01-29,32.779999
2008-01-30,32.700001
2008-01-31,32.970001
2008-02-01,34.599998
2008-02-04,33.48
2008-02-05,32.869999
2008-02-06,31.370001000000002
2008-02-07,29.709999
2008-02-08,31.33
2008-02-11,31.43
2008-02-12,31.299999
2008-02-13,33.830002
2008-02-14,33.279999
2008-02-15,31.74
2008-02-19,32.099998
2008-02-20,32.209998999999996
2008-02-21,33.599998
2008-02-22,33.73
2008-02-25,33.09
2008-02-26,33.919998
2008-02-27,32.0
2008-02-28,31.09
2008-02-29,29.73
2008-03-03,29.07
2008-03-04,29.360001
2008-03-05,31.65
2008-03-06,29.860001
2008-03-07,28.26
2008-03-10,27.01
2008-03-11,30.290001
2008-03-12,29.83
2008-03-13,29.940001000000002
2008-03-14,26.860001
2008-03-17,23.57
2008-03-18,27.0
2008-03-19,26.690001000000002
2008-03-20,28.209999
2008-03-24,30.07
2008-03-25,30.389999
2008-03-26,29.41
2008-03-27,29.700001
2008-03-28,31.25
2008-03-31,29.75
2008-04-01,30.889999
2008-04-02,31.77
2008-04-03,32.029999
2008-04-04,32.779999
2008-04-07,31.41
2008-04-08,30.790001
2008-04-09,27.98
2008-04-10,28.49
2008-04-11,27.93
2008-04-14,27.719998999999998
2008-04-15,27.17
2008-04-16,28.049999
