Date,MXIM
1988-02-29,0.375
1988-03-01,0.359375
1988-03-02,0.367188
1988-03-03,0.359375
1988-03-04,0.367188
1988-03-07,0.351563
1988-03-08,0.359375
1988-03-09,0.351563
1988-03-10,0.390625
1988-03-11,0.382813
1988-03-14,0.375
1988-03-15,0.367188
1988-03-16,0.375
1988-03-17,0.367188
1988-03-18,0.367188
1988-03-21,0.359375
1988-03-22,0.359375
1988-03-23,0.34375
1988-03-24,0.34375
1988-03-25,0.351563
1988-03-28,0.328125
1988-03-29,0.359375
1988-03-30,0.367188
1988-03-31,0.375
1988-04-04,0.375
1988-04-05,0.382813
1988-04-06,0.382813
1988-04-07,0.382813
1988-04-08,0.390625
1988-04-11,0.390625
1988-04-12,0.375
1988-04-13,0.375
1988-04-14,0.359375
1988-04-15,0.359375
1988-04-18,0.351563
1988-04-19,0.351563
1988-04-20,0.351563
1988-04-21,0.351563
1988-04-22,0.359375
1988-04-25,0.359375
1988-04-26,0.359375
1988-04-27,0.367188
1988-04-28,0.367188
1988-04-29,0.351563
1988-05-02,0.367188
1988-05-03,0.367188
1988-05-04,0.367188
1988-05-05,0.367188
1988-05-06,0.375
1988-05-09,0.375
1988-05-10,0.375
1988-05-11,0.367188
1988-05-12,0.367188
1988-05-13,0.359375
1988-05-16,0.359375
1988-05-17,0.351563
1988-05-18,0.351563
1988-05-19,0.359375
1988-05-20,0.359375
1988-05-23,0.351563
1988-05-24,0.359375
1988-05-25,0.367188
1988-05-26,0.375
1988-05-27,0.375
1988-05-31,0.375
1988-06-01,0.367188
1988-06-02,0.367188
1988-06-03,0.367188
1988-06-06,0.367188
1988-06-07,0.367188
1988-06-08,0.375
1988-06-09,0.40625
1988-06-10,0.390625
1988-06-13,0.4375
1988-06-14,0.4375
1988-06-15,0.445313
1988-06-16,0.414063
1988-06-17,0.4375
1988-06-20,0.421875
1988-06-21,0.429688
1988-06-22,0.429688
1988-06-23,0.453125
1988-06-24,0.484375
1988-06-27,0.46875
1988-06-28,0.46875
1988-06-29,0.445313
1988-06-30,0.4375
1988-07-01,0.445313
1988-07-05,0.460938
1988-07-06,0.484375
1988-07-07,0.476563
1988-07-08,0.484375
1988-07-11,0.476563
1988-07-12,0.476563
1988-07-13,0.476563
1988-07-14,0.476563
1988-07-15,0.46875
1988-07-18,0.460938
1988-07-19,0.46875
1988-07-20,0.46875
1988-07-21,0.46875
1988-07-22,0.460938
1988-07-25,0.445313
1988-07-26,0.4375
1988-07-27,0.445313
1988-07-28,0.453125
1988-07-29,0.453125
1988-08-01,0.46875
1988-08-02,0.46875
1988-08-03,0.46875
1988-08-04,0.445313
1988-08-05,0.4375
1988-08-08,0.4375
1988-08-09,0.40625
1988-08-10,0.429688
1988-08-11,0.429688
1988-08-12,0.4375
1988-08-15,0.4375
1988-08-16,0.4375
1988-08-17,0.4375
1988-08-18,0.4375
1988-08-19,0.4375
1988-08-22,0.421875
1988-08-23,0.429688
1988-08-24,0.421875
1988-08-25,0.429688
1988-08-26,0.421875
1988-08-29,0.421875
1988-08-30,0.429688
1988-08-31,0.414063
1988-09-01,0.390625
1988-09-02,0.40625
1988-09-06,0.382813
1988-09-07,0.382813
1988-09-08,0.382813
1988-09-09,0.382813
1988-09-12,0.382813
1988-09-13,0.382813
1988-09-14,0.382813
1988-09-15,0.382813
1988-09-16,0.390625
1988-09-19,0.367188
1988-09-20,0.367188
1988-09-21,0.390625
1988-09-22,0.390625
1988-09-23,0.398438
1988-09-26,0.398438
1988-09-27,0.382813
1988-09-28,0.398438
1988-09-29,0.398438
1988-09-30,0.390625
1988-10-03,0.390625
1988-10-04,0.382813
1988-10-05,0.382813
1988-10-06,0.382813
1988-10-07,0.398438
1988-10-10,0.40625
1988-10-11,0.382813
1988-10-12,0.398438
1988-10-13,0.398438
1988-10-14,0.398438
1988-10-17,0.398438
1988-10-18,0.398438
1988-10-19,0.40625
1988-10-20,0.40625
1988-10-21,0.40625
1988-10-24,0.40625
1988-10-25,0.398438
1988-10-26,0.40625
1988-10-27,0.390625
1988-10-28,0.390625
1988-10-31,0.398438
1988-11-01,0.398438
1988-11-02,0.390625
1988-11-03,0.398438
1988-11-04,0.40625
1988-11-07,0.40625
