Date,SLB
1981-12-31,13.96875
1982-01-04,13.6875
1982-01-05,13.0
1982-01-06,12.875
1982-01-07,12.625
1982-01-08,12.78125
1982-01-11,12.3125
1982-01-12,12.65625
1982-01-13,12.375
1982-01-14,12.65625
1982-01-15,12.6875
1982-01-18,12.78125
1982-01-19,12.40625
1982-01-20,12.1875
1982-01-21,12.0625
1982-01-22,11.8125
1982-01-25,12.46875
1982-01-26,12.1875
1982-01-27,12.53125
1982-01-28,13.0625
1982-01-29,13.5
1982-02-01,12.71875
1982-02-02,12.75
1982-02-03,12.21875
1982-02-04,12.5
1982-02-05,12.625
1982-02-08,12.03125
1982-02-09,12.15625
1982-02-10,12.25
1982-02-11,11.9375
1982-02-12,12.0
1982-02-16,12.4375
1982-02-17,12.25
1982-02-18,12.34375
1982-02-19,12.21875
1982-02-22,11.6875
1982-02-23,11.75
1982-02-24,12.28125
1982-02-25,12.09375
1982-02-26,11.96875
1982-03-01,11.75
1982-03-02,11.0625
1982-03-03,10.75
1982-03-04,10.75
1982-03-05,10.78125
1982-03-08,10.0625
1982-03-09,10.59375
1982-03-10,10.875
1982-03-11,10.8125
1982-03-12,10.65625
1982-03-15,11.0
1982-03-16,10.84375
1982-03-17,10.65625
1982-03-18,10.875
1982-03-19,10.71875
1982-03-22,11.0625
1982-03-23,11.0625
1982-03-24,11.125
1982-03-25,11.0
1982-03-26,10.625
1982-03-29,10.75
1982-03-30,10.65625
1982-03-31,10.65625
1982-04-01,11.0625
1982-04-02,11.4375
1982-04-05,11.1875
1982-04-06,11.40625
1982-04-07,11.53125
1982-04-08,11.6875
1982-04-12,11.53125
1982-04-13,11.4375
1982-04-14,11.40625
1982-04-15,11.3125
1982-04-16,11.375
1982-04-19,11.21875
1982-04-20,10.84375
1982-04-21,10.5625
1982-04-22,11.21875
1982-04-23,11.75
1982-04-26,12.0
1982-04-27,11.625
1982-04-28,11.65625
1982-04-29,11.53125
1982-04-30,11.5
1982-05-03,11.65625
1982-05-04,11.9375
1982-05-05,11.84375
1982-05-06,12.0
1982-05-07,12.25
1982-05-10,12.03125
1982-05-11,12.21875
1982-05-12,12.03125
1982-05-13,12.1875
1982-05-14,12.1875
1982-05-17,11.9375
1982-05-18,11.8125
1982-05-19,11.5
1982-05-20,11.625
1982-05-21,11.71875
1982-05-24,11.75
1982-05-25,11.5625
1982-05-26,11.25
1982-05-27,11.21875
1982-05-28,10.9375
1982-06-01,11.1875
1982-06-02,10.78125
1982-06-03,10.53125
1982-06-04,10.25
1982-06-07,10.21875
1982-06-08,9.875
1982-06-09,9.59375
1982-06-10,9.875
1982-06-11,10.25
1982-06-14,10.03125
1982-06-15,9.9375
1982-06-16,9.71875
1982-06-17,9.53125
1982-06-18,9.59375
1982-06-21,9.625
1982-06-22,9.96875
1982-06-23,10.34375
1982-06-24,9.96875
1982-06-25,9.71875
1982-06-28,9.875
1982-06-29,9.71875
1982-06-30,9.5625
1982-07-01,9.21875
1982-07-02,8.9375
1982-07-06,9.21875
1982-07-07,9.1875
1982-07-08,9.28125
1982-07-09,9.6875
1982-07-12,9.375
1982-07-13,9.1875
1982-07-14,9.375
1982-07-15,9.1875
1982-07-16,9.15625
1982-07-19,9.15625
1982-07-20,9.25
1982-07-21,9.1875
1982-07-22,9.4375
1982-07-23,9.875
1982-07-26,9.8125
1982-07-27,9.59375
1982-07-28,9.34375
1982-07-29,9.25
1982-07-30,8.9375
1982-08-02,9.3125
1982-08-03,9.15625
1982-08-04,8.96875
1982-08-05,8.96875
1982-08-06,8.78125
1982-08-09,8.96875
1982-08-10,8.75
1982-08-11,8.78125
1982-08-12,8.5
1982-08-13,8.53125
1982-08-16,7.875
1982-08-17,8.25
1982-08-18,8.25
1982-08-19,8.09375
1982-08-20,8.5
1982-08-23,8.8125
1982-08-24,9.0
1982-08-25,9.34375
1982-08-26,9.21875
1982-08-27,9.15625
1982-08-30,9.125
1982-08-31,9.125
1982-09-01,9.0625
1982-09-02,9.15625
1982-09-03,9.75
1982-09-07,9.40625
1982-09-08,9.46875
1982-09-09,9.25
1982-09-10,9.09375
1982-09-13,9.4375
1982-09-14,9.65625
1982-09-15,9.78125
1982-09-16,9.28125
1982-09-17,9.3125
1982-09-20,9.34375
1982-09-21,9.5625
1982-09-22,9.25
1982-09-23,9.15625
1982-09-24,9.125
1982-09-27,9.0
1982-09-28,8.90625
1982-09-29,8.875
1982-09-30,8.75
1982-10-01,8.875
1982-10-04,8.78125
1982-10-05,8.6875
1982-10-06,8.65625
1982-10-07,9.15625
1982-10-08,9.34375
1982-10-11,9.8125
1982-10-12,10.5625
1982-10-13,11.1875
1982-10-14,10.84375
1982-10-15,10.78125
1982-10-18,11.1875
1982-10-19,10.8125
1982-10-20,11.0625
1982-10-21,10.75
1982-10-22,10.5
1982-10-25,9.90625
1982-10-26,9.84375
1982-10-27,10.21875
1982-10-28,10.03125
1982-10-29,9.25
1982-11-01,9.84375
1982-11-02,9.96875
1982-11-03,10.6875
1982-11-04,10.71875
1982-11-05,10.375
1982-11-08,10.375
1982-11-09,11.125
1982-11-10,10.6875
1982-11-11,10.625
1982-11-12,9.875
1982-11-15,9.71875
1982-11-16,9.90625
1982-11-17,9.9375
1982-11-18,9.90625
1982-11-19,9.5
1982-11-22,9.5625
1982-11-23,9.65625
1982-11-24,9.6875
1982-11-26,9.78125
1982-11-29,9.6875
1982-11-30,9.8125
1982-12-01,9.875
1982-12-02,9.6875
1982-12-03,9.625
1982-12-06,10.375
1982-12-07,10.71875
1982-12-08,10.625
1982-12-09,10.75
1982-12-10,11.0
1982-12-13,11.0625
1982-12-14,10.5
1982-12-15,10.59375
1982-12-16,10.9375
1982-12-17,11.0625
1982-12-20,10.9375
1982-12-21,11.21875
1982-12-22,11.40625
1982-12-23,11.625
1982-12-27,11.78125
1982-12-28,11.375
1982-12-29,11.3125
1982-12-30,11.5
1982-12-31,11.65625
1983-01-03,11.40625
1983-01-04,11.90625
1983-01-05,12.40625
1983-01-06,12.78125
1983-01-07,12.625
1983-01-10,12.3125
1983-01-11,12.3125
1983-01-12,12.4375
1983-01-13,12.125
1983-01-14,12.40625
1983-01-17,12.6875
1983-01-18,12.25
1983-01-19,12.03125
1983-01-20,12.53125
1983-01-21,12.5625
1983-01-24,11.78125
1983-01-25,11.4375
1983-01-26,11.3125
1983-01-27,11.4375
1983-01-28,11.46875
1983-01-31,11.34375
1983-02-01,10.75
1983-02-02,10.75
1983-02-03,10.65625
1983-02-04,10.84375
1983-02-07,11.1875
1983-02-08,11.03125
1983-02-09,10.875
1983-02-10,11.3125
1983-02-11,11.25
1983-02-14,11.28125
1983-02-15,11.09375
1983-02-16,11.03125
1983-02-17,10.9375
1983-02-18,10.9375
1983-02-22,10.25
1983-02-23,10.21875
1983-02-24,10.6875
1983-02-25,10.625
1983-02-28,9.78125
1983-03-01,10.25
1983-03-02,10.46875
1983-03-03,10.875
1983-03-04,10.65625
1983-03-07,10.46875
1983-03-08,10.46875
1983-03-09,10.90625
1983-03-10,10.5625
1983-03-11,10.4375
1983-03-14,10.4375
1983-03-15,10.59375
1983-03-16,9.8125
1983-03-17,9.78125
1983-03-18,9.625
1983-03-21,9.90625
1983-03-22,9.65625
1983-03-23,9.84375
1983-03-24,9.90625
1983-03-25,9.6875
1983-03-28,9.6875
1983-03-29,9.875
1983-03-30,10.15625
1983-03-31,10.6875
1983-04-04,10.65625
1983-04-05,10.28125
1983-04-06,10.28125
1983-04-07,10.34375
1983-04-08,10.5625
1983-04-11,10.78125
1983-04-12,10.59375
1983-04-13,10.6875
1983-04-14,10.8125
1983-04-15,10.46875
1983-04-18,10.375
1983-04-19,10.34375
1983-04-20,10.46875
1983-04-21,10.34375
1983-04-22,10.28125
1983-04-25,10.1875
1983-04-26,10.875
1983-04-27,10.90625
1983-04-28,11.03125
1983-04-29,11.28125
1983-05-02,11.3125
1983-05-03,11.625
1983-05-04,11.34375
1983-05-05,11.28125
1983-05-06,11.375
1983-05-09,11.375
1983-05-10,11.3125
1983-05-11,11.5625
1983-05-12,11.4375
1983-05-13,11.59375
1983-05-16,11.5
1983-05-17,11.6875
1983-05-18,11.6875
1983-05-19,11.53125
1983-05-20,11.65625
1983-05-23,11.90625
1983-05-24,12.1875
1983-05-25,12.375
1983-05-26,12.09375
1983-05-27,12.09375
1983-05-31,12.125
1983-06-01,11.90625
1983-06-02,12.03125
1983-06-03,11.9375
1983-06-06,11.96875
1983-06-07,11.53125
1983-06-08,11.34375
1983-06-09,11.8125
1983-06-10,12.0625
