Date,A_x,A_y,ACT,ADP,AGN,AIG,AIV,ALEX,ALX,APD,BEAM,BGP,BHC,BRK-B,C,K,CMG,CSG,FBHS,FO,GLRE,GM,H,HHC,HLT,JCP,LDG,MA,MATX,MCD,MDLZ,NKE,NOMD,PG,QSR,RTX,SBUX,SHLDQ,SKS,TGT,V,WEN,YUM,ZTS
1999-11-18,31.473534,31.473534,,39.752338,37.875,1487.5,37.0,,73.3125,30.642923,,,18.15625,38.34,421.875,35.0625,,,,,,,,,,22.5,,,11.328188,47.0,,5.875,,54.78125,,18.388138,3.765625,,17.938,31.8125,,19.9375,7.750719,
1999-11-19,28.880543,28.880543,,40.000172,37.4375,1460.833374,37.5,,73.3125,29.42877,,,18.046875,37.099998,423.75,34.375,,,,,,,,,,22.5,,,11.26825,47.375,,6.15625,,55.25,,17.955475,3.546875,,17.688,32.28125,,19.875,7.638389999999999,
1999-11-22,31.473534,31.473534,,39.70277,36.875,1452.5,36.875,,73.3125,29.197502000000004,,,17.859375,38.18,420.0,33.3125,,,,,,,,,,21.875,,,11.118406,46.90625,,6.070313,,55.390625,,17.149151,3.46875,,17.0,32.21875,,19.875,7.514827,
1999-11-23,28.612303000000004,28.612303000000004,,38.909706,36.625,1405.833374,36.75,,73.375,29.660035999999998,,,17.75,37.779999,410.15625,33.875,,,,,,,,,,22.0,,,11.118406,46.625,,5.921875,,56.15625,,17.660479000000002,3.375,,16.563,33.34375,,19.5625,7.391265,
1999-11-24,29.372318,29.372318,,39.603638000000004,37.1875,1414.583374,36.875,,73.125,29.949121,,,17.421875,37.900002,404.53125,34.75,,,,,,,,,,21.5625,,,10.998531,45.375,,5.820313,,56.21875,,17.660479000000002,3.4375,,16.813,33.28125,,19.4375,7.211538000000001,
1999-11-26,29.461731,29.461731,,39.653206,36.875,1408.75,36.625,,73.1875,29.775671000000003,,,17.53125,37.66,407.8125,34.0,,,,,,,,,,21.6875,,,11.0285,44.5625,,5.875,,56.5,,17.385147,3.34375,,16.938,33.375,,19.4375,7.222771000000001,
1999-11-29,30.132332,30.132332,,38.959274,36.75,1368.333374,36.5625,,73.1875,29.370953000000004,,,17.546875,37.48,397.5,34.5,,,,,,,,,,22.375,,,10.908625,45.5,,5.796875,,55.75,,17.090151000000002,3.3359379999999996,,17.438,35.5,,19.25,7.278936,
1999-11-30,30.177038,30.177038,,39.157539,37.1875,1383.333374,37.1875,,74.0,29.949121,,,17.4375,37.299999,404.0625,33.875,,,,,,,,,,22.3125,,,10.908625,45.75,,5.75,,54.0,,17.778477,3.3203129999999996,,17.5,35.28125,,19.4375,7.4586630000000005,
1999-12-01,30.713520000000003,30.713520000000003,,38.513176,37.6875,1378.958374,37.5625,,74.0,29.833488,,,17.40625,37.200001,407.34375,33.125,,,,,,,,,,22.4375,,,10.968562,46.015625,,5.875,,56.125,,18.270138,3.3203129999999996,,18.375,34.65625,,19.1875,7.312635,
1999-12-02,31.562946000000004,31.562946000000004,,39.801903,37.0,1373.958374,37.3125,,75.25,30.180389,,,17.484375,37.0,405.0,32.75,,,,,,,,,,20.9375,,,11.148375,45.1875,,5.699219,,56.25,,18.496304000000002,3.4609379999999996,,17.313,34.15625,,18.875,7.234004,
1999-12-03,31.831188,31.831188,,40.644535,37.4375,1386.666626,37.4375,,75.75,29.25532,,,17.546875,36.799999,428.90625,33.5625,,,,,,,,,,21.125,,,11.088436999999999,45.875,,5.796875,,56.875,,18.997797,3.4765629999999996,,16.5,33.96875,,18.875,7.189073,
1999-12-06,32.725322999999996,32.725322999999996,,39.950603,38.8125,1378.333374,37.375,,76.125,29.139684999999997,,,18.6875,36.720001,421.40625,32.9375,,,,,,,,,,20.5,,,11.0285,46.0625,,5.882813,,56.625,,18.368471,3.3671879999999996,,16.25,33.5,,18.625,7.200305,
1999-12-07,32.367668,32.367668,,40.545403,40.6875,1414.166626,37.375,,76.3125,28.5037,,,19.0,36.220001,428.90625,32.375,,,,,,,,,,19.5,,,11.208312,44.6875,,5.804688,,54.96875,,17.660479000000002,3.3828129999999996,,15.938,33.3125,,18.5625,7.234004,
1999-12-08,32.322959999999995,32.322959999999995,,40.396702000000005,42.25,1424.791626,37.0625,,76.5625,29.25532,,,18.875,36.0,419.648438,32.4375,,,,,,,,,,19.125,,,10.998531,44.5625,,5.650391,,55.34375,,18.407804000000002,3.226563,,15.438,33.4375,,18.4375,7.278936,
1999-12-09,32.770027,32.770027,,40.644535,41.3125,1469.166626,36.8125,,76.1875,29.081869,,,18.65625,35.700001,413.4375,32.6875,,,,,,,,,,19.0,,,10.668875,44.640625,,5.71875,,54.9375,,18.702801,3.007813,,15.313,33.0,,17.8125,7.301402,
1999-12-10,32.010014,32.010014,,39.851471000000004,39.8125,1489.166626,36.75,,76.0,29.25532,,,18.734375,35.740002000000004,420.9375,32.5,,,,,,,,,,19.0625,,,10.608937,43.25,,5.484375,,55.21875,,18.643801,3.164063,,15.625,33.875,,17.6875,7.211538000000001,
