,Date,Close,retrun
0,1927-12-01,17.66,-0.05947
1,1928-01-01,17.57,-0.19234
2,1928-02-01,17.26,2.77394
3,1928-03-01,19.280001000000002,0.33512
4,1928-04-01,19.75,0.16293
5,1928-05-01,20.0,-0.40988
6,1928-06-01,19.139999,0.19776
7,1928-07-01,19.43,1.35828
8,1928-08-01,20.870001000000002,0.16678
9,1928-09-01,21.139999,0.35348
10,1928-10-01,21.68,2.89290
11,1928-11-01,24.280001000000002,0.03515
12,1928-12-01,24.35,0.94677
13,1929-01-01,25.74,-0.06773
14,1929-02-01,25.59,-0.02778
15,1929-03-01,25.530001000000002,0.21068
16,1929-04-01,25.940001000000002,-0.40833
17,1929-05-01,24.83,2.27482
18,1929-06-01,27.41,0.87179
19,1929-07-01,28.879998999999998,2.07036
20,1929-08-01,31.709999,-0.45195
21,1929-09-01,30.16,-0.93052
22,1929-10-01,24.15,-0.82146
23,1929-11-01,20.92,0.35017
24,1929-12-01,21.450001,1.06921
25,1930-01-01,22.790001,0.29081
26,1930-02-01,23.280001000000002,0.55314
27,1930-03-01,24.15,0.44340
28,1930-04-01,24.9,-0.18064
29,1930-05-01,24.49,-0.88439
30,1930-06-01,20.459999,0.54035
31,1930-07-01,21.209999,0.09438
32,1930-08-01,21.370001000000002,-0.81220
33,1930-09-01,18.59,-0.67220
34,1930-10-01,16.940001000000002,-0.33196
35,1930-11-01,16.379998999999998,-0.54487
36,1930-12-01,15.34,0.91011
37,1931-01-01,16.190001000000002,2.63904
38,1931-02-01,18.030001000000002,-0.60415
39,1931-03-01,16.690001000000002,-0.70160
40,1931-04-01,15.09,-0.82976
41,1931-05-01,13.02,3.76828
42,1931-06-01,14.83,-0.60340
43,1931-07-01,13.73,0.11973
44,1931-08-01,13.86,-0.98602
45,1931-09-01,9.71,1.35929
46,1931-10-01,10.43,-0.67396
47,1931-11-01,9.5,-0.84795
48,1931-12-01,8.12,-0.23586
49,1932-01-01,7.94,0.67806
50,1932-02-01,8.29,-0.77902
51,1932-03-01,7.31,-0.93378
52,1932-04-01,5.83,-0.95873
