日期,零售,個人支出,信心,失業率,GDP,FED,PMI,貿易帳,predict
2020-01-01,107.932170799296,0.3,99.8,3.5,2.1,1.75,47.2,-431.0,1
2019-12-01,107.441105570678,0.4,99.3,3.5,2.1,1.75,48.1,-472.0,1
2019-11-01,107.811827875419,0.3,96.8,3.6,2.1,3.7823318385650200,48.3,-525.0,2
2019-10-01,107.718693724279,0.2,95.5,3.5,1.9,1.75,47.8,-549.0,3
2019-09-01,107.550979541508,0.1,93.2,3.7,2.0,2.0,49.1,-540.0,3
2019-08-01,108.310048044751,0.6,89.8,3.7,2.0,2.25,51.2,-552.0,3
2019-07-01,107.712562737251,0.3,98.4,3.7,2.1,3.7823318385650200,51.7,-555.0,2
2019-06-01,107.194808044333,0.4,98.2,3.6,3.1,2.5,52.1,-508.0,2
2019-05-01,106.961201707274,0.3,100.0,3.6,3.1,2.5,52.8,-500.0,2
2019-04-01,106.60657848181,0.9,97.2,3.8,3.2,3.7823318385650200,55.3,-494.0,3
2019-03-01,106.612309224998,0.1,98.4,3.8,2.2,2.5,54.2,-511.0,1
2019-02-01,105.285714006536,0.5278745644599300,95.5,4.0,2.6,3.7823318385650200,56.6,-493.0,3
2019-01-01,105.642769290249,0.5278745644599300,90.7,3.9,1.78,2.5,54.3,-213.32350993377500,2
2018-12-01,104.361345508109,0.4,98.3,3.7,3.4,2.5,58.8,-555.0,3
2018-11-01,106.742199087668,0.6,97.5,3.7,3.5,2.25,57.5,-540.0,3
2018-10-01,106.546229480205,0.4,98.6,3.7,3.5,3.7823318385650200,59.5,-532.0,1
2018-09-01,105.496253605665,0.3,100.1,3.9,4.2,2.25,60.8,-501.0,2
2018-08-01,105.380523458435,0.4,96.2,3.9,4.2,2.0,58.4,-463.0,1
2018-07-01,105.932016939735,0.4,97.9,4.0,4.1,3.7823318385650200,60.0,-431.0,2
2018-06-01,105.541616186419,0.2,98.2,3.8,2.0,2.0,58.7,-462.0,3
2018-05-01,105.886730729726,0.6,98.0,3.9,2.2,1.75,57.9,-490.0,3
2018-04-01,105.040240739607,0.4,98.8,4.1,2.3,3.7823318385650200,59.3,-576.0,2
2018-03-01,104.62525754347,0.2,101.4,4.1,2.9,1.75,60.7,-566.0,3
2018-02-01,104.784749720005,0.5278745644599300,99.9,4.1,2.5,1.5,59.1,-531.0,2
2018-01-01,104.937400956218,0.4,94.4,4.1,2.6,3.7823318385650200,59.7,-505.0,1
2017-12-01,105.166536419786,0.6,95.9,4.1,3.2,1.5,58.2,-487.0,1
2017-11-01,104.902031414347,0.3,98.5,4.1,3.3,1.25,58.7,-435.0,3
2017-10-01,104.482022545291,1.0,100.7,4.2,3.0,3.7823318385650200,60.8,-424.0,3
2017-09-01,104.264085419342,0.1,95.1,4.4,3.1,1.25,58.8,-437.0,2
2017-08-01,102.490181923991,0.3,97.6,4.3,3.0,3.7823318385650200,56.3,-436.0,3
2017-07-01,102.733804536779,0.5278745644599300,93.4,4.4,2.6,1.25,57.8,-465.0,2
2017-06-01,102.652263698036,0.1,95.1,4.3,1.4,1.25,54.9,-476.0,2
2017-05-01,102.248232586995,0.4,97.1,4.4,1.2,1.0,54.8,-437.0,2
2017-04-01,102.746250430979,0.5278745644599300,97.0,4.5,0.7,3.7823318385650200,57.2,-436.0,2
2017-03-01,102.14041762709,0.1,96.9,4.7,2.1,1.0,57.7,-485.0,2
2017-02-01,102.22027107574,0.5278745644599300,96.3,4.8,1.9,0.75,56.0,-443.0,2
2017-01-01,102.656239508985,0.5,98.5,4.7,1.9,3.7823318385650200,54.7,-452.0,2
2016-12-01,102.124777746692,0.2,98.2,4.6,3.5,0.75,53.2,-426.0,3
2016-11-01,100.978591758779,0.3,93.8,4.9,3.2,0.5,51.9,-364.4,2
2016-10-01,101.454484008505,0.5,87.2,5.0,2.9,3.7823318385650200,51.5,-407.3,2
2016-09-01,101.306971226641,0.0,91.2,4.9,1.4,0.5,49.4,-394.7,3
2016-08-01,101.060506988183,0.3,89.8,4.9,1.1,3.7823318385650200,52.6,-445.1,2
2016-07-01,101.243193271214,0.5278745644599300,90.0,4.9,1.2,0.5,53.2,-411.4,2
2016-06-01,101.288342396902,0.4,93.5,4.7,1.1,0.5,51.3,-374.0,2
2016-05-01,100.45766575185,1.0,94.7,5.0,0.8,3.7823318385650200,50.8,-404.4,3
2016-04-01,100.398854776214,0.1,89.0,5.0,0.5,0.5,51.8,-470.6,2
2016-03-01,100.216688676472,0.1,90.0,4.9,1.4,0.5,49.5,-456.8,2
2016-02-01,100.743185222337,0.5,91.7,4.9,1.0,3.7823318385650200,48.2,-433.6,2
2016-01-01,99.9098627151066,0.5278745644599300,92.0,5.0,0.7,0.5,48.2,-423.7,3
2015-12-01,100.382977053291,0.3,92.6,5.0,2.0,0.5,48.6,-438.9,2
2015-11-01,100.030591797546,0.1,91.3,5.0,2.1,3.7823318385650200,50.1,-408.1,1
2015-10-01,99.8126026620101,0.1,90.0,5.1,1.5,0.25,50.2,-483.3,2
2015-09-01,100.273479577786,0.4,87.2,5.1,3.9,0.25,51.1,-418.6,2
2015-08-01,100.40284190872,0.3,91.9,5.3,3.7,3.7823318385650200,52.7,-438.4,3
2015-07-01,100.466297523426,0.5278745644599300,93.1,5.3,2.3,0.25,53.5,-418.7,1
2015-06-01,99.9069830574105,0.9,96.1,5.5,-0.2,0.25,52.8,-408.8,1
2015-05-01,100.012350926172,0.5278745644599300,90.7,5.4,-0.7,3.7823318385650200,51.5,-513.7,2
2015-04-01,99.4702804611723,0.4,95.9,5.5,0.2,0.25,51.5,-354.4,1
2015-03-01,99.4894217598121,0.1,93.0,5.5,2.2,0.25,52.9,-418.0,2
2015-02-01,98.9655454935324,-0.3,95.4,5.7,2.2,3.7823318385650200,53.5,-465.6,2
2015-01-01,99.7650284685707,0.5278745644599300,98.1,5.6,2.6,0.25,55.5,-390.0,2
2014-12-01,100.018312430489,0.6,93.6,5.8,5.0,0.25,58.7,-434.0,3
2014-11-01,100.868491705033,0.2,88.8,5.8,3.9,3.7823318385650200,59.0,-430.3,1
2014-10-01,100.290554301995,-0.2,86.9,5.9,3.5,0.25,56.6,-401.0,2
2014-09-01,100.082672843427,0.5,84.6,6.1,4.6,0.25,59.0,-405.5,3
2014-08-01,100.298890374796,-0.1,82.5,6.2,4.2,3.7823318385650200,57.1,-415.4,3
2014-07-01,99.7028524732382,0.5278745644599300,81.3,6.1,4.0,0.25,55.3,-443.9,2
2014-06-01,99.5797187999628,0.2,82.5,6.3,-2.9,0.25,55.4,-472.4,3
2014-05-01,99.3163138199745,-0.1,81.9,6.3,-1.0,0.25,54.9,-403.8,2
2014-04-01,99.1563627380316,0.5278745644599300,84.1,6.7,0.1,3.7823318385650200,53.7,-423.0,2
