,0,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-07-31,2008-04-30,2008-01-31,2008-07-31,2008-04-30,2008-01-31,2007-07-31,2006-07-31,2005-07-31,2004-07-31,2003-07-31
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,"2,220.1","2,406.1","2,248.7","2,696.8","2,735.9","2,923.3","2,791.3","2,986.5","3,066.9","2,722.6","3,273.6","2,332.6","1,869.3",655.5,"1,293.2",514.8,313.1,279.1,206.4,215.3,195.7,238.8,336.6,337.6,356.9,387.6,450.4,418.8,401.6,545.6,454.4,361.2,319.5,407.3,421.4,430.1,270.3,247.2,374.3,405.3,230.9,323.0,488.2,70.3,79.7,103.5, , ,103.5, , ,40.5,35.2,55.8,0.0,76.2
3,Short-term investments  , , ,166.0, ,2.6,12.3,184.7,7.3,137.0,407.1,404.0,"1,016.1","1,423.2", , , ,"1,373.3","1,288.5","1,406.2","1,440.8","1,381.4","1,430.4","1,486.0","1,612.7","1,613.7","1,561.2","1,544.3","1,616.0","1,519.4","1,508.0","1,544.7","1,418.5","1,381.8","1,529.5","1,361.6","1,649.8","1,606.1","1,485.7","1,481.9","1,416.4","1,458.8","1,377.8","1,363.2","1,332.6","1,272.2","1,575.2", , ,"1,575.2", , ,"1,512.8","1,549.8","1,453.2","1,454.7","1,188.5"
4,"Accounts receivable, net  ","1,399.4","1,288.6","1,260.2","1,340.7","1,258.5","1,268.2","1,207.2","1,227.6","1,252.3","1,233.4","1,174.0","1,101.2","1,176.3","1,063.3","1,146.2","1,563.2",649.8,665.6,657.8,681.9,693.3,709.7,706.0,690.2,665.3,693.4,706.1,705.9,728.1,746.5,786.6,699.5,696.0,704.1,670.2,639.6,597.2,584.5,571.6,499.2,504.7,522.6,509.6,495.8,506.6,503.7, , ,503.7, , ,476.7,492.3,453.5,505.9,483.1
5,Inventories  ,399.7,400.6,388.3,408.3,408.3,403.4,396.1,322.1,339.9,347.4,335.4,293.3,322.8,330.7,255.0,611.1,695.0,545.8,523.1,764.3,844.1,758.3,766.2,699.3,664.0,687.9,738.3,740.0,730.1,763.0,630.1,553.9,945.6,535.3,736.6,557.0,502.9,552.8,606.0,624.5,627.6,559.8,636.8,672.4,737.9,665.7, , ,665.7, , ,828.4,535.3,452.2,456.3,361.7
6,Other current assets  ,669.3,624.4,555.1,469.4,489.9,482.7,502.9,512.0,600.2,645.0,689.7,603.8,502.5,"1,499.3","1,622.9",689.7,"3,031.2","2,779.0","2,793.5","3,102.3","3,114.5","3,137.2","3,294.8","3,339.8","3,299.9","3,330.1","3,439.1","3,480.7","3,379.2","3,563.1","3,415.8","3,033.1","3,342.9","3,176.2","3,189.8","3,276.5","2,976.5","2,870.2","3,033.8","2,945.4","2,822.0","2,783.2","2,997.8","2,571.1","2,596.4","2,848.1", , ,"2,848.1", , ,"2,858.4","2,612.6","2,414.7","2,416.9","2,109.5"
7,Total current assets  ,"4,688.5","4,719.7","4,618.3","4,915.2","4,895.2","5,089.9","5,082.2","5,055.5","5,396.3","5,355.5","5,876.7","5,347.0","5,294.1","3,548.8","4,317.3","3,378.8","8,854.1","9,619.0","8,745.1","9,720.8","9,485.9","9,607.6","9,532.1","9,579.1","9,312.3","9,152.0","8,974.0","8,665.7","8,488.8","8,482.3","8,240.6","7,708.1","7,644.9","7,525.9","7,222.7","7,524.2","7,361.8","7,157.5","7,051.3","6,770.8","6,941.5","6,945.2","6,859.6","6,675.0","6,410.1","6,614.8", , ,"6,614.8", , ,"6,528.8","6,111.7","5,777.7","5,702.2","5,637.1"
8,"Property, plant, and equipment, net  ","10,623.7","10,692.2","10,337.6","10,427.6","10,193.8","9,959.8","9,923.7","9,902.0","8,817.7","8,631.9","8,440.2","8,317.0","8,198.2","8,030.3","8,259.7","8,798.6",499.9,491.0,508.3,541.5,553.4,585.2,615.8,665.6,674.1,700.5,717.3,716.9,734.3,754.8,761.6,356.8,276.0,249.8,260.5,295.0,288.7,277.1,285.7,263.9,293.7,259.5,262.6,251.4,215.0,289.6, , ,289.6, , ,260.5,113.0,95.6,101.4,104.1
9,Intangibles  ,377.9,415.9,419.5,441.1,418.6,416.9,438.5,449.0,444.4,429.1,368.3,363.8,377.6,376.7,387.9,491.2,"1,150.6","1,115.4","1,131.3","1,163.8","1,155.4","1,200.7","1,237.3","1,612.5","1,614.0","1,642.9","1,653.8","1,615.1","1,595.7","1,610.7","1,598.4",927.9,831.8,877.5,796.2,969.1,945.6,912.2,914.6,842.5,913.9,912.2,916.0,872.7,811.2,928.1, , ,928.1, , ,906.8,983.9,881.4,830.5,725.8
10,Goodwill  ,785.3,816.1,797.1,820.4,811.9,780.4,788.9,794.1,815.0,790.8,721.5,705.1,827.2,811.1,845.1,"1,135.2","1,264.3","1,262.4","1,265.7","1,244.2","1,223.9","1,252.2","1,257.9","1,256.3","1,230.5","1,212.7","1,195.5","1,203.3","1,198.2","1,185.2","1,175.7","1,135.0","1,051.5","1,007.2","1,011.6","1,035.6",979.3,912.0,912.8, , , ,868.1, , , , , ,504.1, , ,311.8,574.6,442.2,359.6,343.5
11,Long-term investments  ,"1,314.6","1,339.9","1,276.2","1,290.4","1,279.3","1,242.4","1,277.2","1,259.3","1,305.6","1,258.0","1,286.9","1,244.7","1,296.3","1,254.7","1,283.6","1,270.4",719.2,674.1,648.6,523.8,586.8,454.9,426.3,426.3,392.6,398.9,393.5,348.3,373.3,360.1,393.6,444.2,367.2,448.0,478.2,403.0,386.4,520.0,537.3,581.8,540.4,418.5,438.0,478.9,550.3,504.1, , ,"12,571.3", , ,"12,659.5","11,180.7","10,408.8","10,040.4","9,473.5"
12,Other fixed assets  ,870.4,784.6,604.1,698.8,671.0,666.7,654.5,687.9,603.6,617.5,641.8,736.9,730.2,772.0,671.0,763.7,"16,810.8","17,260.3","17,334.5","17,671.5","17,493.8","17,635.4","17,779.1","18,316.2","17,963.0","17,915.2","17,850.1","17,491.3","17,221.2","17,393.1","16,941.8","14,880.9","14,955.8","14,391.3","14,290.7","14,451.5","13,820.7","13,459.7","13,505.9","12,999.4","13,152.6","12,914.5","13,029.1","12,243.5","11,878.9","12,571.3", , ,,,,,,,,
