,0,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-07-31,2018-04-30,2017-10-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-07-31,2007-04-30,2006-10-31,2006-10-31,2006-07-31,2006-04-30
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,"3,040.5","2,686.6","4,763.3","2,055.1","4,761.6","8,756.3","1,892.1","2,142.0","3,661.4","2,462.3","2,716.2","2,163.9","2,034.6","2,128.8","2,141.8","1,294.4","2,263.5","1,530.1","2,080.5","1,750.4","1,857.0","1,708.4","1,019.4","1,190.3","1,545.8","2,575.7","1,430.8","1,223.2","1,852.1","1,188.6","1,501.3","1,432.2","1,569.6","1,148.1","1,720.8","1,645.2","1,792.0","1,164.0","1,125.2","1,086.0","1,306.3",599.8,292.0,253.2,356.8,269.8,297.0,303.4,349.3,281.3,172.8,200.2,270.9,312.6,215.7,202.7
3,Short-term investments  ,68.4,70.5,72.1,76.6,230.2,181.5,84.5,100.5,106.6,228.6,289.9,231.0,140.8,134.4,174.5,123.2,116.4,81.3,94.7,99.4,96.1,135.4,176.9,299.2,157.0,658.1,613.5,474.5,607.6,848.4,996.3,802.1,703.6,902.6,231.7,282.3,258.6,285.7,269.9,207.9,50.4,66.3,44.7,33.5,35.7,52.5,52.7,68.1,186.1,157.4,157.2,143.7,165.6,141.0,226.2,242.8
4,"Accounts receivable, net  ",908.1,879.2,790.6,703.6,721.4,693.1,854.8,869.6,851.8,870.4,791.1,791.0,865.1,768.8,747.3,743.7,764.4,719.0,672.7,655.6,664.9,631.0,580.9,590.0,589.8,561.4,506.8,520.0,469.2,485.9,433.0,437.4,431.0,386.5,361.5,355.7,316.1,302.7,282.5,299.7,263.4,271.0,295.2,309.3,332.0,329.5,284.1,300.3,316.2,287.9,250.9,240.8,227.8,224.3,184.9,190.6
5,Inventories  ,"1,677.8","1,817.4","1,769.4","1,691.3","1,354.6","1,673.6","1,387.4","1,375.9","1,313.2","1,364.0","1,357.3","1,323.6","1,218.7","1,378.5","1,325.1","1,293.1","1,242.6","1,306.4","1,166.0","1,061.1","1,018.3","1,090.9","1,025.8",954.7,943.3,"1,111.2","1,173.8","1,124.5","1,093.2","1,241.5","1,249.2","1,205.0","1,124.0",965.8,856.7,772.4,620.5,543.3,496.6,488.7,544.9,664.9,703.6,627.8,590.4,692.8,662.7,607.3,580.9,691.7,657.5,578.9,547.3,636.2,557.4,456.7
6,Other current assets  ,204.9,200.2,339.4,425.7,608.5,"1,189.7","1,364.6","1,169.0",950.5,358.1,354.8,409.9,357.0,347.4,467.5,429.1,340.8,334.2,746.8,678.9,909.8,603.0,553.9,544.8,523.5,565.0,514.8,468.0,393.9,435.2,389.8,474.8,408.9,391.9,416.3,484.7,413.2,460.7,436.7,408.1,418.9,433.8,382.2,380.3,379.0,403.4,360.8,300.1,305.1,278.2,229.4,221.4,218.0,215.7,185.4,174.6
7,Total current assets  ,"5,899.7","5,653.9","7,734.8","4,952.3","7,676.3","12,494.2","5,583.4","5,657.0","6,883.5","5,283.4","5,509.3","4,919.4","4,616.2","4,757.9","4,856.2","3,883.5","4,727.7","3,971.0","4,760.7","4,245.4","4,546.1","4,168.7","3,356.9","3,579.0","3,759.4","5,471.4","4,239.7","3,810.2","4,416.0","4,199.6","4,569.6","4,351.5","4,237.1","3,794.9","3,587.0","3,540.3","3,400.4","2,756.4","2,610.9","2,490.4","2,583.9","2,035.8","1,717.7","1,604.1","1,693.9","1,748.0","1,657.3","1,579.2","1,737.6","1,696.5","1,467.8","1,384.9","1,429.5","1,529.8","1,369.7","1,267.4"
8,"Property, plant, and equipment, net  ","6,390.9","6,431.7","6,187.8","6,135.5","6,039.3","5,929.1","5,689.6","5,576.8","5,378.7","4,919.5","4,699.8","4,564.5","4,478.5","4,533.8","4,359.2","4,246.9","4,122.5","4,088.3","3,977.7","3,897.7","3,822.3","3,519.0","3,373.7","3,278.1","3,233.0","3,200.5","2,987.1","2,845.3","2,711.1","2,658.9","2,444.2","2,382.5","2,347.3","2,355.0","2,384.8","2,378.5","2,393.6","2,416.5","2,361.5","2,414.6","2,482.7","2,536.4","2,594.2","2,658.0","2,822.5","2,956.4","2,947.4","3,052.3","2,993.0","2,890.4","2,687.0","2,523.9","2,396.8","2,287.9","2,090.9","1,963.7"
9,Intangibles  ,739.1,781.8,853.2,918.3,981.6,"1,042.2","1,122.9","1,228.4","1,246.2",441.4,454.8,467.7,470.6,516.3,526.7,515.2,509.1,520.4,525.8,547.0,555.5,273.5,278.7,277.2,276.1,274.8,268.8,267.4,146.6,143.7,117.8,112.5,110.8,111.9,74.5,72.6,71.9,70.8,69.7,69.1,68.6,68.2,67.7,67.3,66.8,66.6,65.8,58.1,42.4,42.1,40.4,39.9,39.5,38.0,36.8,36.7
10,Goodwill  ,"3,515.9","3,490.8","3,564.7","3,603.5","3,560.3","3,541.6","3,647.6","3,793.5","3,674.8","1,539.2","1,549.1","1,635.8","1,599.0","1,719.6","1,705.1","1,625.0","1,572.3","1,575.4","1,560.6","1,592.2","1,584.9",856.2,861.7,860.8,862.6,862.9,860.9,863.6,400.2,399.1,336.7,340.7,337.1,321.6,265.7,265.3,263.8,262.4,260.9,262.8,262.5,259.1,257.2,261.1,261.9,266.5,234.8,223.4,216.1,215.6,215.2,208.5,207.9,161.5,166.0,172.3
